n t PE VE R R2 BS
9000 0 0.409742 0.465441 0.00298557 0.450243 0.4524
19000 2.35e+06 0.472491 0.437261 -0.000623943 0.444608 0.472422
29000 2.36e+06 0.481652 0.471576 0.00899102 0.460783 0.491975
39000 2.35e+06 0.490939 0.427945 0.00252022 0.40738 0.468881
49000 2.36e+06 0.49215 0.436774 -0.0183377 0.41828 0.489363
59000 2.35e+06 0.451644 0.443843 0.016864 0.457977 0.472999
69000 2.36e+06 0.426071 0.453322 -0.00715981 0.434966 0.47812
79000 2.36e+06 0.421323 0.461516 -0.00411629 0.467672 0.486494
89000 2.35e+06 0.45742 0.394225 0.0270694 0.401257 0.449836
99000 2.36e+06 0.413585 0.504454 -0.0127455 0.501066 0.509797
109000 2.35e+06 0.413044 0.548185 -0.0163303 0.521577 0.519474
119000 2.36e+06 0.497474 0.540854 -0.0123115 0.560413 0.514701
129000 2.35e+06 0.488412 0.452616 -0.0205226 0.438039 0.485831
139000 2.35e+06 0.498014 0.529669 -0.00280719 0.516636 0.510528
149000 2.36e+06 0.487557 0.521047 -0.0625589 0.554056 0.490201
159000 2.35e+06 0.600003 0.574972 -0.0228004 0.59103 0.533941
169000 2.36e+06 0.388414 0.486323 -0.0419881 0.453628 0.511056
179000 2.35e+06 0.473843 0.541264 -0.0261773 0.535932 0.522987
189000 2.36e+06 0.387673 0.444788 0.0423158 0.427007 0.487366
199000 2.36e+06 0.514863 0.472458 -0.0017154 0.470655 0.496277
209000 2.35e+06 0.512013 0.497453 0.0053648 0.494604 0.499092
219000 2.36e+06 0.445875 0.471777 -0.0131552 0.49234 0.483152
229000 2.35e+06 0.431139 0.470033 -0.0155208 0.460435 0.501772
239000 2.36e+06 0.427573 0.400734 0.0181242 0.413065 0.455859
249000 2.35e+06 0.568032 0.504844 -0.0271381 0.501915 0.497302
259000 2.36e+06 0.617361 0.478258 0.0246492 0.507957 0.490457
269000 2.35e+06 0.591397 0.566554 0.0153847 0.542844 0.548421
279000 2.36e+06 0.39527 0.419141 0.031555 0.407214 0.47006
289000 2.35e+06 0.564245 0.54248 -0.0182328 0.559553 0.507868
299000 2.36e+06 0.484771 0.524157 0.0309772 0.532276 0.511658
309000 2.36e+06 0.483456 0.480965 -0.017042 0.492469 0.502074
319000 2.35e+06 0.376146 0.494884 -0.020351 0.483132 0.492302
329000 2.35e+06 0.475 0.480336 0.0282897 0.480759 0.500322
339000 2.36e+06 0.56071 0.512708 -0.00795697 0.516404 0.513961
349000 2.35e+06 0.483591 0.463116 -0.0110264 0.445231 0.498647
359000 2.36e+06 0.487616 0.451843 -0.0164159 0.466395 0.475655
369000 2.35e+06 0.492868 0.590553 0.0130118 0.633672 0.526026
379000 2.36e+06 0.488984 0.549371 0.00230449 0.522011 0.535873
389000 2.36e+06 0.462451 0.48468 0.0147607 0.478111 0.482824
399000 2.36e+06 0.574081 0.586807 0.00357529 0.571134 0.539455
409000 2.35e+06 0.567234 0.541495 0.00880659 0.547055 0.517266
419000 2.36e+06 0.494406 0.504185 0.00538201 0.510042 0.506886
429000 2.35e+06 0.404358 0.482633 0.0270735 0.476755 0.50326
439000 2.36e+06 0.401872 0.442453 -0.009185 0.455163 0.478562
449000 2.35e+06 0.53443 0.462901 -0.0197932 0.491946 0.477863
459000 2.36e+06 0.465765 0.486994 -0.0398333 0.478915 0.502626
469000 2.36e+06 0.534862 0.631614 0.00840129 0.605388 0.557385
479000 2.35e+06 0.529301 0.47927 0.00408619 0.497434 0.494269
489000 2.36e+06 0.427583 0.439925 -0.0245399 0.437159 0.481388
499000 2.35e+06 0.485027 0.474109 0.00421983 0.484315 0.496722
509000 2.36e+06 0.550076 0.459804 -0.0116834 0.460147 0.489065
519000 2.36e+06 0.505992 0.434503 -0.0194097 0.438766 0.478468
529000 2.35e+06 0.50425 0.461492 -0.0144792 0.482378 0.476842
539000 2.36e+06 0.483321 0.457925 0.000165039 0.454435 0.485757
549000 2.35e+06 0.483672 0.384795 -0.0156324 0.387415 0.448067
559000 2.36e+06 0.618365 0.580453 -0.0116192 0.584597 0.537989
569000 2.36e+06 0.460266 0.560718 0.000313114 0.52518 0.537225
579000 2.35e+06 0.479399 0.475941 -0.00670038 0.462106 0.506842
589000 2.36e+06 0.53069 0.492826 0.00631042 0.475219 0.508549
599000 2.35e+06 0.54555 0.448095 -0.0159184 0.464317 0.471583
609000 2.36e+06 0.474305 0.524824 0.0274969 0.528919 0.520178
619000 2.36e+06 0.522407 0.515432 0.0239462 0.515918 0.513278
629000 2.36e+06 0.551708 0.543601 0.00435346 0.534246 0.529448
639000 2.35e+06 0.485073 0.524067 0.0128517 0.502769 0.516707
649000 2.35e+06 0.502349 0.448071 0.0212535 0.444735 0.484921
659000 2.36e+06 0.467048 0.460115 0.0254753 0.458494 0.484719
669000 2.35e+06 0.486635 0.444151 0.0302186 0.461526 0.475717
679000 2.36e+06 0.438647 0.436215 -0.0319877 0.436951 0.468239
689000 2.36e+06 0.331206 0.437435 -0.0161785 0.440804 0.479261
699000 2.35e+06 0.518632 0.57244 0.0272245 0.557131 0.532649
709000 2.36e+06 0.533659 0.494637 -0.011211 0.502784 0.503351
719000 2.35e+06 0.62272 0.612426 0.0400469 0.569848 0.558499
729000 2.36e+06 0.553514 0.499938 -5.03884e-05 0.514653 0.500773
739000 2.36e+06 0.50635 0.428558 0.0372819 0.426722 0.478566
749000 2.36e+06 0.583907 0.480571 -0.00989458 0.512103 0.488759
759000 2.36e+06 0.530641 0.512789 0.0144285 0.571288 0.483806
769000 2.36e+06 0.498239 0.483573 0.0130166 0.476567 0.500385
779000 2.35e+06 0.474377 0.522682 0.00275207 0.534558 0.501895
789000 2.36e+06 0.437791 0.477125 0.0153455 0.479494 0.480231
799000 2.35e+06 0.597965 0.572211 0.00298917 0.585445 0.512796
809000 2.36e+06 0.47441 0.464567 0.0265158 0.471298 0.487943
819000 2.35e+06 0.465049 0.50071 0.008485 0.487516 0.513806
829000 2.35e+06 0.419659 0.607594 0.0299983 0.585055 0.569979
839000 2.36e+06 0.41114 0.400498 0.0201166 0.40456 0.459321
849000 2.36e+06 0.464406 0.436885 0.00135923 0.441967 0.46933
859000 2.35e+06 0.489588 0.49167 -0.0333048 0.493309 0.49895
869000 2.36e+06 0.428684 0.478205 0.00206511 0.487996 0.496425
879000 2.36e+06 0.464761 0.439704 0.00854969 0.439634 0.474698
889000 2.35e+06 0.493364 0.50979 -0.00452377 0.509664 0.506795
899000 2.36e+06 0.556031 0.490045 0.0015234 0.494988 0.482624
909000 2.35e+06 0.471295 0.4861 0.0271996 0.488181 0.502203
919000 2.36e+06 0.439486 0.402653 -0.0202163 0.414871 0.454841
929000 2.35e+06 0.536461 0.490876 0.0205015 0.491561 0.514334
939000 2.36e+06 0.436233 0.469515 -0.00711632 0.463615 0.488414
949000 2.35e+06 0.488828 0.58439 0.0496326 0.571806 0.532898
959000 2.35e+06 0.546316 0.491036 0.0284165 0.477561 0.511784
969000 2.36e+06 0.466288 0.456634 -0.00902589 0.481213 0.47745
