t PE VE R R2
1 1.3768 2.1598 1.22597 2.50855
2 1.36918 2.13819 1.21846 2.48449
3 1.36061 2.11497 1.21019 2.45829
4 1.35111 2.09018 1.20115 2.43001
5 1.34071 2.06389 1.19134 2.3997
6 1.32943 2.03614 1.18079 2.36744
7 1.31731 2.00699 1.16948 2.33329
8 1.30437 1.97669 1.15744 2.29732
9 1.29065 1.94514 1.14465 2.25961
10 1.27619 1.91239 1.13114 2.22025
11 1.26101 1.87852 1.1169 2.17933
12 1.24517 1.84361 1.10195 2.13694
13 1.2287 1.80771 1.0863 2.09317
14 1.21165 1.77092 1.06994 2.04812
15 1.19406 1.73351 1.05291 2.00189
16 1.17598 1.69544 1.03519 1.9546
17 1.15745 1.65699 1.01681 1.90635
18 1.13853 1.61811 0.997778 1.85724
19 1.11927 1.57875 0.9781 1.8074
20 1.09971 1.53906 0.957793 1.75695
21 1.07991 1.49924 0.936867 1.70598
22 1.05993 1.45919 0.915337 1.65463
23 1.03982 1.419 0.893215 1.60302
24 1.01962 1.37876 0.870516 1.55126
25 0.999405 1.33854 0.847255 1.49947
26 0.979217 1.29866 0.823447 1.44778
27 0.959115 1.25904 0.799107 1.39631
28 0.939152 1.2197 0.77425 1.34517
29 0.919382 1.18071 0.748894 1.29448
30 0.899861 1.14215 0.723054 1.24436
31 0.880639 1.10426 0.696748 1.19492
32 0.861771 1.06694 0.669994 1.14629
33 0.843306 1.03026 0.642809 1.09856
34 0.825295 0.994283 0.615211 1.05186
35 0.807788 0.959084 0.587218 1.00627
36 0.790831 0.924838 0.55885 0.961918
37 0.774471 0.891512 0.530125 0.918887
38 0.758752 0.859155 0.501063 0.877275
39 0.743717 0.827991 0.471683 0.837175
40 0.729406 0.798057 0.442005 0.798673
41 0.715858 0.769232 0.412049 0.76185
42 0.70311 0.741674 0.381834 0.726786
43 0.691195 0.715458 0.351382 0.693551
44 0.680147 0.690495 0.320713 0.662214
45 0.669994 0.666822 0.289847 0.632837
46 0.660764 0.644475 0.258805 0.605476
47 0.652482 0.623585 0.227608 0.580182
48 0.645168 0.604097 0.196276 0.557
49 0.638843 0.586023 0.164831 0.535971
50 0.633522 0.569372 0.133293 0.517127
51 0.62922 0.554159 0.101684 0.500497
52 0.625948 0.540379 0.0700245 0.486101
53 0.623713 0.528039 0.0383352 0.473957
54 0.622521 0.51714 0.00663713 0.464072
55 0.622375 0.507681 -0.0250488 0.456452
56 0.623275 0.499658 -0.0567019 0.451092
57 0.625216 0.493067 -0.0883014 0.447986
58 0.628194 0.487893 -0.119827 0.447119
59 0.6322 0.484127 -0.151258 0.44847
60 0.637222 0.481752 -0.182573 0.452014
61 0.643247 0.480739 -0.213754 0.45772
