n t PE VE R R2 BS
99000 0 0.551962 0.494937 -0.0138539 0.516346 0.405993
199000 2.35e+06 0.504968 0.48724 -0.00254177 0.496816 0.407182
299000 2.35e+06 0.563608 0.488569 -9.77081e-05 0.49791 0.409749
399000 2.35e+06 0.444911 0.486722 -0.0146123 0.496689 0.410484
499000 2.36e+06 0.538578 0.494582 -0.0187389 0.50878 0.410423
599000 2.35e+06 0.525323 0.519723 -0.012093 0.544207 0.422521
699000 2.35e+06 0.50342 0.503916 0.0235835 0.526571 0.410129
799000 2.35e+06 0.491838 0.499359 -0.00878168 0.513595 0.414701
899000 2.35e+06 0.545001 0.493899 -0.00671328 0.511949 0.406364
999000 2.35e+06 0.536121 0.489147 -0.0115795 0.501381 0.410361
1099000 2.35e+06 0.445045 0.500636 -0.0398961 0.517787 0.412614
1199000 2.35e+06 0.525785 0.494613 -0.0207521 0.515009 0.406227
1299000 2.36e+06 0.529202 0.513272 -0.0193893 0.535503 0.419092
1399000 2.35e+06 0.517807 0.486624 0.0409481 0.496059 0.408939
1499000 2.35e+06 0.468909 0.501071 -0.0364025 0.51655 0.411957
1599000 2.35e+06 0.47856 0.495274 -0.0223714 0.511448 0.410727
1699000 2.35e+06 0.48098 0.499383 0.0211246 0.510384 0.416579
1799000 2.35e+06 0.489981 0.506977 -0.0154789 0.527372 0.413435
1899000 2.35e+06 0.536668 0.493953 0.0281409 0.507305 0.41237
1999000 2.35e+06 0.546356 0.495822 -0.00495202 0.512318 0.410952
2099000 2.36e+06 0.573089 0.51571 0.00819161 0.5413 0.417618
2199000 2.35e+06 0.532472 0.498406 0.00219338 0.516563 0.412237
2299000 2.35e+06 0.495602 0.510676 0.00767205 0.534411 0.417566
2399000 2.35e+06 0.489567 0.488185 0.0153004 0.495637 0.413266
2499000 2.35e+06 0.484913 0.501534 0.000802283 0.517565 0.414407
2599000 2.35e+06 0.538622 0.49778 0.0212968 0.513893 0.412428
2699000 2.35e+06 0.507817 0.503303 0.00484245 0.523049 0.413113
2799000 2.35e+06 0.489445 0.504458 0.0260137 0.526115 0.412223
2899000 2.35e+06 0.446648 0.507001 0.0150557 0.527363 0.414154
2999000 2.36e+06 0.50417 0.493065 -0.0176358 0.509746 0.407656
3099000 2.35e+06 0.573658 0.501311 0.00451046 0.52091 0.411897
3199000 2.35e+06 0.576576 0.49495 -0.038869 0.510609 0.409438
3299000 2.35e+06 0.519691 0.494619 0.00821614 0.51278 0.407943
3399000 2.35e+06 0.514486 0.504525 -0.00988756 0.522961 0.413924
3499000 2.35e+06 0.490868 0.495888 0.00548072 0.508208 0.412306
3599000 2.35e+06 0.542949 0.50116 -0.0174436 0.521158 0.41116
3699000 2.35e+06 0.550303 0.522051 0.00226671 0.54878 0.421241
3799000 2.35e+06 0.51571 0.515842 -0.010643 0.541029 0.415103
3899000 2.35e+06 0.529079 0.515791 -0.0205847 0.53975 0.413954
3999000 2.35e+06 0.553788 0.498911 0.060599 0.520958 0.410794
4099000 2.36e+06 0.526653 0.49487 0.0127206 0.506256 0.412341
4199000 2.35e+06 0.519015 0.508879 0.0268818 0.532805 0.413447
4299000 2.35e+06 0.453079 0.497907 0.0220633 0.509141 0.417602
4399000 2.35e+06 0.579731 0.498964 0.0033264 0.515951 0.414558
4499000 2.35e+06 0.540632 0.487754 -0.0178967 0.499963 0.411731
4599000 2.35e+06 0.517033 0.50817 0.00979991 0.531468 0.413209
4699000 2.35e+06 0.476916 0.504791 0.0086432 0.522018 0.41423
4799000 2.35e+06 0.49617 0.510096 0.0287975 0.527381 0.419428
4899000 2.35e+06 0.499753 0.512314 0.0209068 0.529892 0.418471
4999000 2.35e+06 0.58225 0.484758 -0.00532298 0.499478 0.406287
5099000 2.36e+06 0.571164 0.488217 -0.0234205 0.507461 0.405432
5199000 2.35e+06 0.576314 0.509941 0.0159632 0.531053 0.415609
5299000 2.35e+06 0.508931 0.505369 0.00165933 0.523166 0.416772
5399000 2.35e+06 0.537042 0.508023 0.0303695 0.525824 0.417103
5499000 2.35e+06 0.545741 0.49923 -0.0101069 0.516591 0.411513
5599000 2.35e+06 0.537037 0.516102 -0.0110729 0.538773 0.419366
5699000 2.35e+06 0.503375 0.504722 -0.0226998 0.516909 0.419348
5799000 2.36e+06 0.547986 0.496071 -0.0170255 0.515583 0.410139
5899000 2.35e+06 0.516868 0.509416 0.00162318 0.53309 0.415971
5999000 2.35e+06 0.53864 0.501672 0.0121136 0.521613 0.410401
6099000 2.35e+06 0.44516 0.489798 -0.0284561 0.496474 0.414016
6199000 2.35e+06 0.475678 0.494993 0.0150704 0.506263 0.415086
6299000 2.35e+06 0.47054 0.512732 0.0133862 0.533451 0.416786
6399000 2.35e+06 0.532266 0.491568 -0.0219908 0.49909 0.411852
6499000 2.35e+06 0.497128 0.500384 -0.00992448 0.51155 0.418978
6599000 2.35e+06 0.521496 0.487438 0.00317737 0.502283 0.408451
6699000 2.36e+06 0.520718 0.480636 -0.0421677 0.494618 0.403905
6799000 2.35e+06 0.515597 0.506223 -0.000229279 0.524008 0.415706
6899000 2.35e+06 0.453502 0.504486 -0.000798796 0.525147 0.415015
6999000 2.35e+06 0.54953 0.500519 -0.00693568 0.519669 0.411855
7099000 2.35e+06 0.525978 0.489692 -0.0122594 0.500073 0.411244
7199000 2.35e+06 0.487593 0.503535 0.0638305 0.519985 0.41505
7299000 2.35e+06 0.522886 0.489153 -0.0173797 0.502698 0.409437
7399000 2.35e+06 0.552082 0.507023 0.0428087 0.528373 0.413889
7499000 2.35e+06 0.562159 0.488837 -0.0308844 0.498912 0.411243
7599000 2.36e+06 0.493754 0.503717 0.00311364 0.524216 0.413516
7699000 2.35e+06 0.574254 0.505256 0.00930563 0.531187 0.41225
7799000 2.35e+06 0.518368 0.514754 0.0215235 0.533843 0.421162
7899000 2.35e+06 0.517222 0.496974 0.01853 0.517641 0.410365
7999000 2.35e+06 0.563829 0.500602 -0.0198719 0.525006 0.408173
8099000 2.35e+06 0.515084 0.516965 -0.043138 0.542576 0.41718
8199000 2.35e+06 0.532709 0.502115 -0.0191226 0.517394 0.415445
8299000 2.35e+06 0.548548 0.478135 0.0269003 0.492333 0.402772
8399000 2.35e+06 0.486397 0.515098 0.00537102 0.532072 0.42093
8499000 2.36e+06 0.501235 0.496086 -0.00767308 0.513026 0.410143
8599000 2.34e+06 0.515188 0.479689 0.00564562 0.485563 0.408613
8699000 2.36e+06 0.582031 0.494849 0.0276421 0.509668 0.411855
8799000 2.35e+06 0.419707 0.492781 0.01779 0.504191 0.413554
8899000 2.35e+06 0.559351 0.506498 -0.0398916 0.533092 0.410419
8999000 2.35e+06 0.530463 0.490178 -0.0462317 0.503533 0.410834
9099000 2.35e+06 0.529523 0.503869 0.00951079 0.521152 0.414683
9199000 2.35e+06 0.530798 0.488992 0.0138887 0.493723 0.415843
9299000 2.35e+06 0.529509 0.492329 0.028588 0.503732 0.413168
9399000 2.35e+06 0.462511 0.514246 0.0299416 0.535188 0.418158
9499000 2.35e+06 0.501474 0.487074 0.0128115 0.497282 0.409832
9599000 2.35e+06 0.45119 0.493983 0.00955455 0.507457 0.411109
9699000 2.36e+06 0.463439 0.514806 -0.0348535 0.53559 0.422527
9799000 2.35e+06 0.531613 0.501099 -0.0271047 0.512042 0.415762
9899000 2.35e+06 0.486753 0.504437 0.0192649 0.523363 0.415624
9999000 2.35e+06 0.519533 0.519529 -0.00793554 0.539494 0.419383
