n t PE VE R R2 BS
9000 0 0.39978 0.44979 -0.0716475 0.437666 0.460464
19000 4.54e+06 0.495005 0.491122 -0.0773356 0.513402 0.486731
29000 4.54e+06 0.461681 0.585043 -0.0478294 0.537506 0.545737
39000 4.55e+06 0.453878 0.467357 -0.0188733 0.454443 0.494266
49000 4.54e+06 0.47805 0.424463 -0.14217 0.434435 0.463984
59000 4.54e+06 0.397015 0.423594 0.0523493 0.411157 0.48285
69000 4.54e+06 0.518434 0.434336 -0.00719126 0.461093 0.46416
79000 4.55e+06 0.433652 0.491704 0.067569 0.485269 0.515037
89000 4.54e+06 0.525766 0.474745 -0.133152 0.523674 0.46761
99000 4.55e+06 0.452306 0.388112 0.063313 0.384089 0.446867
109000 4.55e+06 0.502117 0.450682 0.115479 0.474984 0.471297
119000 4.54e+06 0.491279 0.413403 0.152518 0.436751 0.453096
129000 4.55e+06 0.546536 0.581094 0.0654235 0.603626 0.529136
139000 4.54e+06 0.476971 0.46243 -0.0112985 0.437419 0.51321
149000 4.54e+06 0.463664 0.408939 -0.0694008 0.429314 0.450441
159000 4.55e+06 0.423052 0.40968 0.0208743 0.423292 0.452214
169000 4.54e+06 0.659498 0.623823 0.0198881 0.672072 0.536929
179000 4.55e+06 0.447794 0.534297 -0.114372 0.492668 0.528747
189000 4.54e+06 0.484202 0.487979 -0.0368985 0.466423 0.520374
199000 4.54e+06 0.479 0.498986 0.00490409 0.524893 0.501355
209000 4.55e+06 0.564527 0.559554 0.0525892 0.570944 0.505935
219000 4.54e+06 0.520968 0.527476 -0.0217966 0.51618 0.517449
229000 4.55e+06 0.532226 0.542906 0.0635375 0.599413 0.494376
239000 4.54e+06 0.609042 0.555361 -0.00774214 0.561013 0.514413
249000 4.54e+06 0.44938 0.474761 0.0632137 0.493088 0.493517
259000 4.55e+06 0.497333 0.459855 -0.00502369 0.443093 0.4923
269000 4.54e+06 0.580338 0.627189 -0.0293578 0.571585 0.576763
279000 4.54e+06 0.465758 0.425992 0.0273754 0.420848 0.470696
289000 4.54e+06 0.507109 0.402339 -0.0118709 0.464088 0.433044
299000 4.54e+06 0.405838 0.432228 -0.176494 0.457675 0.462934
309000 4.54e+06 0.53242 0.578922 -0.0597537 0.588183 0.537924
319000 4.54e+06 0.57133 0.592742 0.084634 0.612078 0.510227
329000 4.54e+06 0.531248 0.616267 -0.116999 0.564032 0.556973
339000 4.54e+06 0.483539 0.417243 0.0228308 0.425768 0.46178
349000 4.54e+06 0.478292 0.455114 0.113041 0.46329 0.476767
359000 4.54e+06 0.460293 0.478845 -0.0277834 0.499953 0.489538
369000 4.54e+06 0.426367 0.528017 -0.186192 0.511414 0.524802
379000 4.54e+06 0.590831 0.503384 0.105936 0.49635 0.522222
389000 4.54e+06 0.460048 0.463445 -0.0585763 0.454577 0.505814
