n t PE VE R R2 BS
0 0 0.145352 0.0689872 0.0226354 0.0353322 0.045725
10 1831 1.47281 0.655588 0.23266 0.337913 0.440183
20 2445 1.50878 0.602686 0.24131 0.312563 0.413718
30 1838 1.53244 0.570312 0.24084 0.293457 0.3926
40 1847 1.54492 0.573427 0.242886 0.292332 0.383829
50 1836 1.54112 0.606771 0.252742 0.308151 0.386114
60 2360 1.52957 0.661303 0.253826 0.332637 0.404502
70 1958 1.47838 0.748632 0.257503 0.372914 0.437256
80 1841 1.39091 0.852698 0.275664 0.424378 0.471356
90 2432 1.29698 0.953491 0.313696 0.480032 0.497349
100 1844 1.20298 1.05083 0.349248 0.531888 0.518876
110 1844 1.13839 1.16341 0.388272 0.593331 0.542137
120 1828 1.06788 1.26408 0.415282 0.647316 0.565736
130 2465 0.972875 1.34411 0.435374 0.690374 0.584569
140 1835 0.875561 1.36165 0.444507 0.702448 0.589145
150 1825 0.797086 1.37578 0.443227 0.708822 0.59556
160 2211 0.732555 1.40041 0.433204 0.713988 0.605667
170 2086 0.640538 1.43886 0.41789 0.721809 0.617725
180 1851 0.520985 1.43999 0.386104 0.708298 0.621111
190 1838 0.383591 1.4183 0.348118 0.685304 0.61837
200 2487 0.243804 1.41198 0.316514 0.673789 0.617599
210 1846 0.114316 1.38883 0.290591 0.657583 0.610937
220 2457 0.00549665 1.36523 0.26911 0.64123 0.603125
230 1835 -0.0976708 1.31743 0.252489 0.613301 0.587923
240 1835 -0.160659 1.24277 0.242504 0.578231 0.562479
250 1849 -0.212247 1.14703 0.236464 0.537169 0.529183
260 2147 -0.239653 1.05809 0.225141 0.49561 0.496217
270 2165 -0.251329 0.979046 0.210317 0.455145 0.469657
280 1832 -0.252142 0.89885 0.190264 0.411339 0.446022
290 1844 -0.264896 0.823801 0.166391 0.368877 0.420695
300 2464 -0.276638 0.756163 0.142329 0.332322 0.399975
310 1835 -0.279701 0.691811 0.122602 0.301047 0.387737
320 2462 -0.262037 0.628997 0.104657 0.273413 0.389273
330 1850 -0.231844 0.58828 0.069379 0.254999 0.394801
340 1856 -0.195609 0.570475 0.0215605 0.247536 0.398555
350 1836 -0.1156 0.563141 -0.0247232 0.246282 0.397621
360 2475 -0.0109284 0.572233 -0.0640045 0.253128 0.395761
370 1846 0.114487 0.593582 -0.108852 0.267723 0.400011
380 2212 0.257133 0.659104 -0.148704 0.303022 0.417305
390 1852 0.408516 0.774025 -0.17904 0.358632 0.439872
400 1834 0.587055 0.89817 -0.207995 0.418314 0.46928
410 2307 0.734849 1.02001 -0.234091 0.477168 0.501584
420 1992 0.903286 1.17666 -0.259253 0.548268 0.539736
430 1838 1.07086 1.38361 -0.278529 0.635359 0.582661
440 1861 1.20075 1.6099 -0.287512 0.724671 0.630285
450 2487 1.30074 1.81297 -0.289678 0.801077 0.673626
460 2248 1.38171 2.00277 -0.287512 0.869003 0.713307
470 1864 1.44878 2.17644 -0.285759 0.930754 0.745324
