n t PE VE R R2 BS
0 0 0.000885565 0.000508566 -0.000535459 0.000590073 0.000431343
1000 1.11e+06 0.618463 0.609788 -0.545495 0.67551 0.47862
2000 1.11e+06 0.708752 0.665196 -0.148172 0.580924 0.607595
3000 1.11e+06 0.448134 0.399302 0.215954 0.374936 0.441149
4000 1.12e+06 0.518507 0.49882 0.612107 0.636794 0.400566
5000 1.11e+06 0.542185 0.766668 0.774201 0.982793 0.500032
6000 1.12e+06 0.652892 0.431948 0.277353 0.45814 0.466145
7000 1.11e+06 0.667669 0.477288 0.0818321 0.432143 0.512428
8000 1.11e+06 0.704302 0.377224 0.255961 0.363335 0.434907
9000 1.11e+06 0.430872 0.247571 -0.101681 0.213639 0.360621
10000 1.12e+06 0.411641 0.344307 -0.0356217 0.303937 0.446521
11000 1.11e+06 1.04511 0.505613 -0.553888 0.674542 0.397212
12000 1.11e+06 0.818314 0.641474 -0.714262 0.863898 0.441404
13000 1.12e+06 0.5171 0.522792 -0.156269 0.467005 0.538029
14000 1.11e+06 0.365496 0.300082 0.018444 0.256199 0.397558
15000 1.11e+06 0.538487 0.247531 0.115981 0.219269 0.367099
16000 1.11e+06 0.439653 0.230116 0.109795 0.211621 0.332746
17000 1.12e+06 0.723114 0.505085 -0.546894 0.609036 0.436722
18000 1.11e+06 0.576464 1.26204 -0.780451 1.41676 0.765765
19000 1.11e+06 1.07301 0.718013 -0.814366 0.996857 0.460727
20000 1.12e+06 0.433821 0.816925 -0.0628755 0.688107 0.665312
21000 1.11e+06 0.569663 0.433396 0.0530335 0.388013 0.520271
22000 1.11e+06 0.763576 0.427463 0.315282 0.440958 0.477533
23000 1.11e+06 0.529939 0.551001 0.510439 0.618574 0.494458
24000 1.12e+06 0.278088 0.420532 0.16748 0.420562 0.481909
25000 1.11e+06 0.0240845 0.370405 -0.251383 0.367857 0.415184
26000 1.12e+06 0.775765 0.408964 0.244977 0.372718 0.426952
27000 1.11e+06 0.566576 0.629255 0.52722 0.701135 0.533578
28000 1.11e+06 0.397922 0.414932 0.298838 0.421732 0.456023
29000 1.11e+06 0.525567 0.308887 0.011892 0.275079 0.427175
30000 1.12e+06 0.34137 0.299782 0.291453 0.300397 0.369308
31000 1.11e+06 0.448494 0.30545 0.168052 0.285737 0.387756
32000 1.11e+06 0.733531 0.762322 -0.602459 0.892838 0.568887
33000 1.12e+06 0.74949 0.403783 -0.477232 0.49112 0.404664
34000 1.11e+06 0.453608 0.26397 0.0332523 0.234911 0.373155
35000 1.11e+06 0.380054 0.341849 0.395976 0.383265 0.373963
36000 1.11e+06 0.445754 0.372451 -0.107718 0.32985 0.440918
37000 1.11e+06 0.573863 0.899051 -0.392387 0.861043 0.712439
38000 1.12e+06 0.874892 0.473862 0.148961 0.440739 0.495996
39000 1.11e+06 0.736935 0.671249 0.416189 0.671032 0.551211
40000 1.11e+06 0.405192 0.287448 -0.200658 0.262969 0.361025
41000 1.11e+06 0.231571 0.610585 -0.316865 0.566145 0.534925
42000 1.11e+06 0.755138 0.956006 -0.480191 0.935025 0.692388
43000 1.11e+06 0.737151 0.475398 -0.333496 0.493235 0.502412
44000 1.12e+06 0.319511 0.562352 -0.340512 0.552469 0.535692
45000 1.11e+06 0.490475 0.364818 -0.135912 0.32689 0.445324
46000 1.11e+06 0.372653 0.496694 0.0306112 0.432069 0.526545
47000 1.11e+06 0.364983 0.314137 0.14233 0.278735 0.404983
48000 1.12e+06 0.701391 0.293571 0.10841 0.259964 0.40432
49000 1.11e+06 0.384883 0.473102 -0.140885 0.412152 0.486378
50000 1.11e+06 0.587725 0.365456 -0.473802 0.438924 0.375152
51000 1.11e+06 0.503234 0.290492 -0.278129 0.309558 0.362707
52000 1.11e+06 0.341821 0.64153 0.395108 0.653088 0.560864
53000 1.12e+06 0.724667 0.377548 0.460991 0.450574 0.376647
54000 1.11e+06 0.513482 0.378588 0.0649695 0.323869 0.450874
55000 1.11e+06 0.455937 0.561096 0.469089 0.607497 0.495996
56000 1.11e+06 0.574046 0.589383 0.172309 0.52977 0.563854
57000 1.12e+06 0.208068 0.432193 0.209198 0.412935 0.510656
58000 1.11e+06 0.474063 0.569234 -0.28881 0.592042 0.523376
59000 1.12e+06 0.633057 0.510428 -0.254901 0.492534 0.520819
60000 1.11e+06 0.350608 0.342363 0.0773529 0.307749 0.444329
61000 1.11e+06 0.0862582 0.480346 -0.352935 0.522429 0.473913
62000 1.11e+06 1.03211 0.622329 -0.858155 0.929499 0.34725
63000 1.12e+06 0.633887 0.27937 -0.10589 0.268894 0.36226
64000 1.11e+06 0.317525 0.344471 0.229243 0.331691 0.419315
65000 1.11e+06 0.561158 0.577075 0.482011 0.642405 0.51996
66000 1.11e+06 0.462892 0.575715 0.331827 0.560206 0.54155
67000 1.11e+06 0.668183 0.765152 -0.444248 0.853354 0.575353
68000 1.12e+06 0.797964 0.687926 -0.528808 0.821729 0.521189
69000 1.11e+06 0.920585 0.955306 0.660316 1.08139 0.633837
70000 1.11e+06 0.640806 0.441019 0.407333 0.493142 0.447243
71000 1.11e+06 0.3641 0.288123 0.155307 0.256449 0.379129
72000 1.11e+06 0.42007 0.396744 0.250657 0.375474 0.435425
73000 1.12e+06 0.482051 0.620301 0.354957 0.596776 0.553149
74000 1.11e+06 0.457382 0.318543 0.400824 0.365187 0.355743
75000 1.11e+06 0.397308 0.441561 0.388019 0.472018 0.440743
76000 1.11e+06 0.385228 0.306187 0.0896481 0.275286 0.418925
77000 1.11e+06 0.480318 0.375738 -0.156984 0.381906 0.416986
78000 1.12e+06 0.426021 0.896084 -0.546644 0.880478 0.599161
79000 1.11e+06 0.729885 0.497137 -0.475771 0.558995 0.460808
80000 1.11e+06 0.505101 0.735815 -0.260325 0.673326 0.652938
81000 1.11e+06 0.476115 0.344857 0.098372 0.313871 0.435999
82000 1.11e+06 0.435055 0.330318 -0.0535421 0.294274 0.433804
83000 1.11e+06 0.54296 0.487234 -0.0280939 0.436642 0.526869
84000 1.11e+06 0.237872 0.367305 0.00233802 0.319232 0.450872
85000 1.12e+06 0.464508 0.244932 0.284937 0.260487 0.311835
86000 1.11e+06 0.521507 0.424394 0.443214 0.509955 0.404474
87000 1.11e+06 0.341831 0.488415 -0.127653 0.43919 0.540448
88000 1.11e+06 0.359681 0.483077 -0.113512 0.436747 0.538963
89000 1.12e+06 0.623568 0.360936 -0.357824 0.386078 0.417303
90000 1.11e+06 0.387547 0.450914 -0.123055 0.411755 0.457987
91000 1.11e+06 0.942032 0.588384 0.618744 0.733436 0.450618
92000 1.11e+06 0.658702 0.901983 0.472963 0.918286 0.637678
93000 1.11e+06 0.274005 0.538759 -0.171024 0.481453 0.536143
94000 1.11e+06 0.313597 0.346779 -0.403726 0.388688 0.365834
95000 1.12e+06 0.311078 0.444808 0.185271 0.412051 0.494312
96000 1.11e+06 0.338806 0.312398 -0.05966 0.279967 0.405712
97000 1.11e+06 0.309606 0.28124 -0.120888 0.256275 0.385186
98000 1.11e+06 0.591451 0.348147 -0.00471919 0.316084 0.43242
99000 1.12e+06 0.537831 0.557744 -0.627564 0.6974 0.450476
