t PE VE R R2 BS
1 3.19645 0.171802 -0.0101559 0.0709545 0.0491873
2 3.12567 0.17875 -0.0120652 0.0770766 0.0690577
3 3.03111 0.185589 -0.013699 0.0826943 0.0887548
4 2.93644 0.192635 -0.0149219 0.0883614 0.105481
5 2.83218 0.199762 -0.0185477 0.0938993 0.121936
6 2.75214 0.206277 -0.0206198 0.0990631 0.135541
7 2.67211 0.21276 -0.0189284 0.104233 0.149699
8 2.59778 0.217966 -0.0177573 0.108403 0.160828
9 2.52423 0.222491 -0.0162644 0.111573 0.169803
10 2.44618 0.229563 -0.0150095 0.116845 0.17776
11 2.36349 0.236889 -0.0132494 0.121822 0.187926
12 2.29793 0.241398 -0.00826047 0.12449 0.19518
13 2.22242 0.24749 -0.00567789 0.128006 0.204054
14 2.11935 0.25758 -0.00172924 0.134102 0.216921
15 2.01192 0.270369 0.00312481 0.141799 0.231911
16 1.87518 0.287436 0.00430225 0.151736 0.249446
17 1.72596 0.304389 0.00405159 0.161387 0.263971
18 1.62567 0.321385 0.00530484 0.170928 0.27508
19 1.54217 0.340419 0.00662064 0.181579 0.284203
20 1.42413 0.36279 0.00907148 0.193961 0.293232
21 1.32616 0.384883 0.0114454 0.205904 0.302978
22 1.24142 0.407509 0.0116063 0.217622 0.313032
23 1.18433 0.426541 0.0142701 0.227286 0.323342
24 1.11631 0.446298 0.0181914 0.236819 0.333823
25 1.07104 0.462925 0.0212758 0.245243 0.34142
26 1.0313 0.476734 0.0242447 0.252427 0.34667
27 0.980555 0.489499 0.0268334 0.259591 0.352308
28 0.919148 0.502544 0.0303358 0.266443 0.35557
29 0.849214 0.517468 0.0319137 0.274248 0.359101
30 0.816597 0.528268 0.0305816 0.279985 0.361212
31 0.824241 0.538727 0.0263055 0.285196 0.36313
32 0.825306 0.55294 0.0213722 0.290942 0.365773
33 0.79102 0.572018 0.0160318 0.298385 0.370238
34 0.772258 0.59281 0.0117983 0.306345 0.377219
35 0.788643 0.610331 0.00676695 0.313305 0.383128
36 0.824613 0.624444 0.000771889 0.318636 0.38664
37 0.837248 0.638993 -0.00656056 0.323756 0.389306
38 0.771443 0.655948 -0.017137 0.33104 0.393428
39 0.721481 0.672339 -0.0250397 0.33768 0.397253
40 0.698959 0.686405 -0.0298591 0.34261 0.397806
41 0.661622 0.698786 -0.0334203 0.345929 0.397142
42 0.637047 0.710621 -0.0373177 0.349567 0.396678
43 0.637498 0.718061 -0.0394349 0.352946 0.395968
44 0.679782 0.723173 -0.0397114 0.354743 0.3932
45 0.725272 0.7315 -0.0373504 0.357052 0.390401
46 0.799428 0.740171 -0.033768 0.358406 0.389053
47 0.889696 0.749649 -0.0321903 0.360926 0.388981
48 0.986453 0.758086 -0.030639 0.362739 0.389997
49 1.07901 0.759228 -0.0293819 0.362522 0.393884
50 1.16176 0.755585 -0.0261946 0.361649 0.397295
51 1.20729 0.754135 -0.0230807 0.36252 0.400953
