t PE VE R00
1 5 0.05 -0.000103814
2 5 0.0500001 -0.00015572
3 5 0.0500001 -0.000207627
4 5 0.0500002 -0.000259533
5 5 0.0500003 -0.000311439
6 5 0.0500004 -0.000363344
7 5 0.0500006 -0.000415249
8 5 0.0500007 -0.000467153
9 5 0.0500009 -0.000519056
10 4.99999 0.0500011 -0.000570958
11 4.99999 0.0500013 -0.000622859
12 4.99999 0.0500015 -0.00067476
13 4.99999 0.0500018 -0.000726659
14 4.99999 0.0500021 -0.000778556
15 4.99999 0.0500023 -0.000830453
16 4.99999 0.0500026 -0.000882347
17 4.99999 0.050003 -0.00093424
18 4.99998 0.0500033 -0.000986132
19 4.99998 0.0500037 -0.00103802
20 4.99998 0.050004 -0.00108991
21 4.99998 0.0500044 -0.0011418
22 4.99998 0.0500048 -0.00119368
23 4.99998 0.0500053 -0.00124556
24 4.99997 0.0500057 -0.00129744
25 4.99997 0.0500062 -0.00134932
26 4.99997 0.0500067 -0.00140119
27 4.99997 0.0500072 -0.00145306
28 4.99996 0.0500077 -0.00150493
29 4.99996 0.0500082 -0.0015568
30 4.99996 0.0500088 -0.00160866
31 4.99996 0.0500094 -0.00166052
32 4.99995 0.0500099 -0.00171238
33 4.99995 0.0500106 -0.00176423
34 4.99995 0.0500112 -0.00181608
35 4.99995 0.0500118 -0.00186793
36 4.99994 0.0500125 -0.00191977
37 4.99994 0.0500132 -0.00197161
38 4.99994 0.0500139 -0.00202345
39 4.99993 0.0500146 -0.00207528
40 4.99993 0.0500154 -0.00212711
41 4.99993 0.0500161 -0.00217894
42 4.99992 0.0500169 -0.00223076
43 4.99992 0.0500177 -0.00228257
44 4.99992 0.0500185 -0.00233439
45 4.99991 0.0500193 -0.00238619
46 4.99991 0.0500202 -0.002438
47 4.9999 0.0500211 -0.0024898
48 4.9999 0.0500219 -0.00254159
49 4.9999 0.0500229 -0.00259338
50 4.99989 0.0500238 -0.00264516
51 4.99989 0.0500247 -0.00269694
52 4.99988 0.0500257 -0.00274872
53 4.99988 0.0500267 -0.00280049
54 4.99987 0.0500277 -0.00285225
55 4.99987 0.0500287 -0.00290401
56 4.99986 0.0500297 -0.00295576
57 4.99986 0.0500308 -0.00300751
58 4.99985 0.0500318 -0.00305925
59 4.99985 0.0500329 -0.00311099
60 4.99984 0.050034 -0.00316272
61 4.99984 0.0500351 -0.00321444
62 4.99983 0.0500363 -0.00326616
63 4.99983 0.0500375 -0.00331787
64 4.99982 0.0500386 -0.00336958
65 4.99982 0.0500398 -0.00342127
66 4.99981 0.050041 -0.00347297
67 4.99981 0.0500423 -0.00352465
68 4.9998 0.0500435 -0.00357633
69 4.99979 0.0500448 -0.003628
70 4.99979 0.0500461 -0.00367967
71 4.99978 0.0500474 -0.00373133
72 4.99978 0.0500487 -0.00378298
73 4.99977 0.0500501 -0.00383462
74 4.99976 0.0500514 -0.00388626
75 4.99976 0.0500528 -0.00393789
76 4.99975 0.0500542 -0.00398951
77 4.99974 0.0500556 -0.00404113
78 4.99974 0.0500571 -0.00409273
79 4.99973 0.0500585 -0.00414433
80 4.99972 0.05006 -0.00419592
81 4.99972 0.0500615 -0.00424751
82 4.99971 0.050063 -0.00429908
83 4.9997 0.0500645 -0.00435065
84 4.9997 0.0500661 -0.00440221
85 4.99969 0.0500676 -0.00445376
86 4.99968 0.0500692 -0.0045053
87 4.99968 0.0500708 -0.00455683
88 4.99967 0.0500724 -0.00460836
89 4.99966 0.0500741 -0.00465987
90 4.99965 0.0500757 -0.00471138
91 4.99965 0.0500774 -0.00476288
92 4.99964 0.0500791 -0.00481437
93 4.99963 0.0500808 -0.00486584
94 4.99962 0.0500825 -0.00491732
95 4.99961 0.0500843 -0.00496878
96 4.99961 0.0500861 -0.00502023
97 4.9996 0.0500878 -0.00507167
98 4.99959 0.0500896 -0.0051231
99 4.99958 0.0500915 -0.00517452
100 4.99957 0.0500933 -0.00522594
101 4.99956 0.0500952 -0.00527734
102 4.99956 0.050097 -0.00532873
103 4.99955 0.0500989 -0.00538011
104 4.99954 0.0501008 -0.00543149
105 4.99953 0.0501028 -0.00548285
106 4.99952 0.0501047 -0.0055342
107 4.99951 0.0501067 -0.00558554
108 4.9995 0.0501087 -0.00563687
109 4.99949 0.0501107 -0.00568819
110 4.99948 0.0501127 -0.0057395
111 4.99947 0.0501147 -0.00579079
112 4.99946 0.0501168 -0.00584208
113 4.99945 0.0501189 -0.00589335
114 4.99945 0.0501209 -0.00594462
115 4.99944 0.0501231 -0.00599587
116 4.99943 0.0501252 -0.00604711
117 4.99942 0.0501273 -0.00609834
118 4.99941 0.0501295 -0.00614956
119 4.9994 0.0501317 -0.00620076
