t PE VE
1 0.0500002 0.0500002
2 0.0500004 0.0500004
3 0.0500008 0.0500008
4 0.0500012 0.0500012
5 0.0500018 0.0500018
6 0.0500024 0.0500024
7 0.0500032 0.0500032
8 0.050004 0.050004
9 0.050005 0.050005
10 0.050006 0.050006
11 0.0500072 0.0500072
12 0.0500084 0.0500084
13 0.0500098 0.0500098
14 0.0500112 0.0500112
15 0.0500128 0.0500128
16 0.0500144 0.0500144
17 0.0500162 0.0500162
18 0.050018 0.050018
19 0.05002 0.05002
20 0.050022 0.050022
21 0.0500242 0.0500242
22 0.0500264 0.0500264
23 0.0500288 0.0500288
24 0.0500312 0.0500312
25 0.0500338 0.0500338
26 0.0500364 0.0500364
27 0.0500392 0.0500392
28 0.050042 0.050042
29 0.050045 0.050045
30 0.050048 0.050048
31 0.0500512 0.0500512
32 0.0500544 0.0500544
33 0.0500578 0.0500578
34 0.0500612 0.0500612
35 0.0500648 0.0500648
36 0.0500684 0.0500684
37 0.0500722 0.0500722
38 0.050076 0.050076
39 0.05008 0.05008
40 0.050084 0.050084
41 0.0500882 0.0500882
42 0.0500924 0.0500924
43 0.0500968 0.0500968
44 0.0501012 0.0501012
45 0.0501058 0.0501058
46 0.0501104 0.0501104
47 0.0501152 0.0501152
48 0.05012 0.05012
49 0.050125 0.050125
50 0.05013 0.05013
51 0.0501351 0.0501351
52 0.0501404 0.0501404
53 0.0501457 0.0501457
54 0.0501512 0.0501512
55 0.0501567 0.0501567
56 0.0501624 0.0501624
57 0.0501681 0.0501681
58 0.050174 0.050174
59 0.0501799 0.0501799
60 0.0501859 0.0501859
61 0.0501921 0.0501921
62 0.0501983 0.0501983
63 0.0502047 0.0502047
64 0.0502111 0.0502111
65 0.0502176 0.0502176
66 0.0502243 0.0502243
67 0.050231 0.050231
68 0.0502379 0.0502379
69 0.0502448 0.0502448
70 0.0502518 0.0502518
71 0.050259 0.050259
72 0.0502662 0.0502662
73 0.0502736 0.0502736
74 0.050281 0.050281
75 0.0502885 0.0502885
76 0.0502962 0.0502962
77 0.0503039 0.0503039
78 0.0503117 0.0503117
79 0.0503197 0.0503197
80 0.0503277 0.0503277
81 0.0503358 0.0503358
82 0.0503441 0.0503441
83 0.0503524 0.0503524
84 0.0503608 0.0503608
85 0.0503694 0.0503694
86 0.050378 0.050378
87 0.0503867 0.0503867
88 0.0503955 0.0503955
89 0.0504045 0.0504045
90 0.0504135 0.0504135
91 0.0504226 0.0504226
92 0.0504318 0.0504318
93 0.0504412 0.0504412
94 0.0504506 0.0504506
95 0.0504601 0.0504601
96 0.0504697 0.0504697
97 0.0504795 0.0504795
98 0.0504893 0.0504893
99 0.0504992 0.0504992
100 0.0505092 0.0505092
101 0.0505193 0.0505193
102 0.0505295 0.0505295
103 0.0505399 0.0505399
104 0.0505503 0.0505503
105 0.0505608 0.0505608
106 0.0505714 0.0505714
107 0.0505821 0.0505821
108 0.0505929 0.0505929
109 0.0506038 0.0506038
110 0.0506148 0.0506148
111 0.0506259 0.0506259
112 0.0506371 0.0506371
113 0.0506484 0.0506484
114 0.0506598 0.0506598
115 0.0506713 0.0506713
116 0.0506829 0.0506829
117 0.0506946 0.0506946
118 0.0507064 0.0507064
119 0.0507183 0.0507183
120 0.0507303 0.0507303
121 0.0507424 0.0507424
122 0.0507546 0.0507546
123 0.0507669 0.0507669
124 0.0507793 0.0507793
125 0.0507918 0.0507918
126 0.0508043 0.0508043
127 0.050817 0.050817
128 0.0508298 0.0508298
129 0.0508427 0.0508427
130 0.0508557 0.0508557
131 0.0508687 0.0508687
132 0.0508819 0.0508819
133 0.0508952 0.0508952
134 0.0509085 0.0509085
135 0.050922 0.050922
136 0.0509356 0.0509356
137 0.0509492 0.0509492
138 0.050963 0.050963
139 0.0509769 0.0509769
140 0.0509908 0.0509908
141 0.0510049 0.0510049
142 0.051019 0.051019
