n t PE VE R R2 BS
9000 0 0.43976 0.345019 -0.00138156 0.323225 0.36006
19000 330000 0.442986 0.441147 0.00827876 0.417903 0.455409
29000 330000 0.426847 0.389611 -0.00207522 0.379496 0.445532
39000 320000 0.449652 0.41464 -0.00629782 0.412016 0.465272
49000 330000 0.411436 0.425071 -0.00517949 0.407814 0.464808
59000 320000 0.435371 0.408805 0.0066093 0.40016 0.447153
69000 330000 0.454306 0.325954 0.00179826 0.323352 0.393757
79000 330000 0.41229 0.434721 -0.00180794 0.419998 0.459348
89000 320000 0.507818 0.419977 -0.016714 0.471162 0.407472
99000 330000 0.48318 0.399187 -0.0148008 0.429567 0.420997
109000 330000 0.472463 0.493167 0.0134488 0.523116 0.464575
119000 320000 0.393379 0.369682 0.000179093 0.371184 0.42342
129000 330000 0.456994 0.493364 -0.0363573 0.504015 0.483095
139000 320000 0.48928 0.450967 0.00303425 0.460078 0.452674
149000 330000 0.453537 0.396076 0.00657172 0.38107 0.42061
159000 330000 0.496076 0.420573 0.00533894 0.441006 0.440326
169000 320000 0.421942 0.448239 -0.00774939 0.455465 0.467713
179000 330000 0.449607 0.392269 -0.00197185 0.384092 0.445555
189000 330000 0.463961 0.417796 -0.00857878 0.414217 0.465099
199000 320000 0.451435 0.385738 -0.00075216 0.374922 0.4276
209000 330000 0.420017 0.361923 0.00466289 0.366351 0.417298
219000 320000 0.463588 0.385635 -0.0179063 0.406979 0.413773
229000 330000 0.430465 0.463576 -0.00909334 0.451994 0.48096
239000 330000 0.427496 0.402986 -0.00259506 0.378945 0.42839
249000 320000 0.444008 0.414959 0.000765345 0.418581 0.457169
259000 330000 0.468152 0.392266 0.0223974 0.404804 0.424089
269000 330000 0.482268 0.43325 0.00358207 0.463753 0.448429
279000 320000 0.422931 0.4033 -0.000137194 0.390149 0.430816
289000 330000 0.423882 0.37712 -0.0049425 0.370693 0.426583
299000 330000 0.412786 0.415057 -0.0167433 0.397832 0.443386
309000 320000 0.453081 0.449789 0.00766043 0.422594 0.451839
319000 330000 0.432069 0.420144 0.00622903 0.387335 0.431045
329000 320000 0.439413 0.40153 -0.00959402 0.388233 0.43184
339000 330000 0.427579 0.408209 -0.00467063 0.391532 0.443312
349000 330000 0.441655 0.370675 0.0107082 0.367904 0.42393
359000 320000 0.406618 0.414665 0.00501789 0.402379 0.460349
369000 330000 0.449914 0.388496 -0.00682447 0.379571 0.429406
379000 330000 0.420627 0.394339 -0.00921362 0.383673 0.433801
389000 320000 0.438515 0.39728 0.00442423 0.380814 0.431676
399000 330000 0.41864 0.42545 0.00896276 0.414883 0.454945
409000 320000 0.422329 0.388972 -0.000987401 0.375799 0.43551
419000 330000 0.395618 0.469298 -0.00413721 0.450069 0.477546
429000 330000 0.418994 0.436936 -0.00159421 0.419972 0.470652
439000 320000 0.43523 0.434588 0.0028815 0.414068 0.449546
449000 330000 0.415932 0.427263 0.000631415 0.4039 0.447961
459000 330000 0.450887 0.409533 0.000640595 0.396464 0.448557
469000 320000 0.448008 0.363374 -0.00199376 0.360075 0.425618
479000 330000 0.426883 0.434414 0.00804747 0.407052 0.439307
489000 320000 0.424396 0.426429 -0.00233557 0.416627 0.455182
499000 330000 0.479547 0.392228 -0.0198911 0.38337 0.43782
509000 330000 0.425225 0.426908 -0.00353392 0.40832 0.440902
519000 320000 0.442537 0.432588 -0.000519899 0.416264 0.436848
529000 330000 0.49408 0.438208 -0.0149327 0.468459 0.433991
539000 330000 0.400092 0.425 0.00634963 0.407025 0.471796
549000 320000 0.433711 0.416678 0.0113793 0.418632 0.439019
559000 330000 0.465626 0.420761 -0.00718077 0.452578 0.440834
569000 320000 0.496355 0.430431 0.0063613 0.450408 0.415277
579000 330000 0.493768 0.521067 0.0231353 0.542981 0.472771
589000 330000 0.483504 0.426659 0.0157556 0.454762 0.436266
599000 320000 0.474246 0.477408 0.00136362 0.525354 0.471233
609000 330000 0.477184 0.442324 -0.000765397 0.461807 0.447918
619000 330000 0.49799 0.445478 0.00450593 0.481802 0.444758
629000 320000 0.462178 0.459149 -0.00860504 0.485769 0.452051
639000 330000 0.458958 0.446097 -0.00593842 0.482137 0.447956
649000 320000 0.479309 0.488665 -0.00117812 0.51918 0.472718
659000 330000 0.45321 0.471581 -0.0337675 0.498633 0.457881
669000 330000 0.480596 0.427384 0.00526006 0.450164 0.430188
679000 320000 0.490641 0.499217 0.0112029 0.517729 0.472685
689000 330000 0.473678 0.469409 0.00164889 0.507214 0.465825
699000 330000 0.488059 0.474152 -0.00260232 0.499482 0.446949
709000 320000 0.475494 0.484258 0.00674294 0.51071 0.462923
719000 330000 0.489791 0.470134 -0.000801142 0.505736 0.459427
729000 320000 0.470334 0.472208 -0.00842158 0.506144 0.467186
739000 330000 0.43313 0.482245 0.0345816 0.498475 0.461621
749000 330000 0.473412 0.420858 -0.00783849 0.447296 0.433254
759000 320000 0.443378 0.389356 -0.00275756 0.371037 0.420435
769000 330000 0.439835 0.391115 -0.00242369 0.383158 0.440093
779000 330000 0.428508 0.382774 0.00259079 0.374856 0.425658
789000 320000 0.430124 0.40847 -0.0119562 0.400918 0.442132
799000 330000 0.430266 0.410511 -0.00659852 0.395787 0.431014
809000 330000 0.467267 0.471115 -0.00774323 0.491884 0.449381
819000 320000 0.463769 0.395533 0.0124097 0.384689 0.430631
829000 330000 0.520585 0.445443 0.0232478 0.474147 0.450826
839000 320000 0.451519 0.450863 -0.00307078 0.458455 0.471056
849000 330000 0.41978 0.419121 -0.00612908 0.396628 0.46607
859000 330000 0.449627 0.404171 0.0157609 0.409252 0.449666
869000 320000 0.453121 0.477264 0.00956042 0.503297 0.462371
