n t PE VE R R2 BS
0 0 0.018821 0.114048 -0.0533875 0.0611018 0.0435366
10 2563 0.19478 1.13635 -0.542648 0.619151 0.429832
20 2553 0.210411 1.14332 -0.577282 0.6535 0.422896
30 2543 0.231258 1.17457 -0.626775 0.708295 0.420201
40 2351 0.313518 1.1962 -0.669417 0.755262 0.425415
50 2153 0.49585 1.20936 -0.69823 0.784664 0.428997
60 2576 0.699857 1.21828 -0.725222 0.81096 0.423505
70 2557 0.936768 1.20892 -0.753412 0.829534 0.402265
80 2353 1.13829 1.19629 -0.781071 0.844519 0.374226
90 2128 1.2728 1.17264 -0.797856 0.842946 0.344701
100 2953 1.36185 1.12677 -0.791429 0.812186 0.322145
110 2725 1.32377 1.03677 -0.749978 0.732968 0.310669
120 2548 1.26967 0.930642 -0.699594 0.639216 0.301056
130 1924 1.15687 0.835752 -0.644331 0.553069 0.293313
140 2690 1.05934 0.747387 -0.581633 0.470615 0.285876
150 2698 1.00259 0.673249 -0.517244 0.398736 0.288362
160 2122 0.925338 0.602327 -0.435841 0.325441 0.302356
170 2558 0.812566 0.551284 -0.344301 0.26698 0.317194
180 2665 0.813392 0.512983 -0.233882 0.220347 0.336632
190 2443 0.974535 0.502672 -0.135129 0.202962 0.356072
200 2558 1.1882 0.521371 -0.0529375 0.213268 0.375858
210 2589 1.38203 0.557292 -0.00278388 0.239381 0.391405
220 2542 1.52621 0.604126 0.0373982 0.27438 0.401829
230 2577 1.65276 0.64467 0.0789371 0.305536 0.401765
240 2580 1.77667 0.682423 0.122344 0.337753 0.396096
250 1921 1.85331 0.710878 0.164997 0.367171 0.379599
260 3175 1.89729 0.739472 0.205677 0.393629 0.361981
270 1933 1.95116 0.784747 0.256722 0.435167 0.34755
280 2534 2.09516 0.821214 0.300409 0.477996 0.326239
290 2558 2.22213 0.874073 0.342615 0.537415 0.320998
300 2566 2.36671 0.944872 0.395593 0.610582 0.334157
310 1919 2.47666 1.01549 0.447069 0.680837 0.346027
320 2546 2.60803 1.08492 0.475598 0.74975 0.35054
330 2580 2.66281 1.1609 0.477324 0.812722 0.356589
340 2554 2.68372 1.20916 0.470461 0.848767 0.352424
350 2548 2.61747 1.24975 0.457969 0.872336 0.35177
360 2543 2.49713 1.26113 0.444376 0.873954 0.354649
370 2505 2.39356 1.26938 0.436155 0.879818 0.357622
380 1917 2.26844 1.26399 0.4316 0.878105 0.359733
390 2548 2.10383 1.2612 0.439678 0.881006 0.362713
400 2570 1.90977 1.2519 0.453155 0.871439 0.358592
410 2550 1.75581 1.25039 0.471782 0.853007 0.363062
420 2558 1.65646 1.26682 0.480711 0.839805 0.383859
430 1970 1.62545 1.28715 0.48004 0.823881 0.408281
440 2484 1.60373 1.30064 0.465528 0.797931 0.436778
450 2577 1.62096 1.30989 0.433453 0.7626 0.470194
460 2590 1.68866 1.27797 0.38719 0.706198 0.499483
470 2568 1.86399 1.26486 0.343228 0.668691 0.528635
480 2536 2.00802 1.27495 0.315413 0.656462 0.550158
490 2580 2.11391 1.23445 0.279018 0.622047 0.553437
500 2555 2.19006 1.15264 0.237261 0.564675 0.545778
510 2552 2.18409 1.05514 0.203532 0.502138 0.527954
520 2541 2.12494 0.966577 0.169367 0.443889 0.510195
530 1924 2.0238 0.897025 0.134927 0.39587 0.491456
540 2555 1.92788 0.830514 0.120611 0.354166 0.467642
550 2549 1.81049 0.764691 0.113904 0.317253 0.44175
560 2546 1.65547 0.718898 0.101183 0.29347 0.425612
570 2512 1.57473 0.683734 0.0992448 0.277788 0.411459
580 1993 1.52738 0.642096 0.106078 0.262138 0.403086
590 2502 1.41852 0.650249 0.108781 0.271482 0.417512
600 2554 1.24594 0.6948 0.125068 0.302542 0.438267
610 2561 1.07117 0.742018 0.14623 0.340401 0.449363
620 2506 0.983521 0.778416 0.170216 0.376933 0.448937
630 2544 0.963983 0.803245 0.193828 0.41002 0.438255
640 2543 0.931089 0.847218 0.200807 0.449695 0.438383
650 2285 0.873 0.921784 0.199264 0.507491 0.446734
660 2258 0.741124 0.997913 0.199579 0.559639 0.450234
670 2507 0.589055 1.03543 0.190292 0.583636 0.447373
680 2542 0.423279 1.07039 0.177611 0.609932 0.445529
690 2549 0.312642 1.09004 0.164431 0.629937 0.441837
700 2587 0.297019 1.07419 0.147945 0.629891 0.433206
710 1912 0.384241 1.02683 0.131672 0.61536 0.414541
720 2529 0.530992 0.988864 0.12274 0.602928 0.397824
730 3092 0.725213 0.973368 0.117208 0.60309 0.387471
740 2012 0.90686 0.953469 0.111479 0.599629 0.374165
750 2553 1.11461 0.906931 0.106785 0.574792 0.356882
760 2564 1.33371 0.865735 0.0901322 0.547145 0.342571
770 2576 1.58356 0.863206 0.0569865 0.543539 0.336594
780 2584 1.80716 0.853602 0.0106399 0.532113 0.326934
