n t PE VE R R2 BS
9000 0 2.32063 2.08471 -0.000224353 2.29062 0.0327497
19000 440000 2.53462 2.39984 -0.00869561 2.51679 0.106595
29000 440000 2.66349 2.49723 0.00125306 2.53819 0.0817054
39000 440000 2.63241 2.44388 0.00666238 2.53133 0.0731636
49000 440000 2.58252 2.42146 -0.00287832 2.51898 0.0887939
59000 440000 2.60859 2.38498 -0.00855729 2.52099 0.0561335
69000 440000 2.5377 2.35335 0.00108293 2.50671 0.0831163
79000 440000 2.57228 2.43497 0.00889466 2.51895 0.092793
89000 440000 2.70574 2.50895 -0.00197379 2.55363 0.0643588
99000 440000 2.52454 2.3353 -0.00867941 2.50016 0.0801311
109000 440000 2.5774 2.51213 0.00947693 2.52504 0.129974
119000 440000 2.55578 2.4345 -0.00346722 2.50668 0.120037
129000 440000 2.5495 2.52136 -0.00677474 2.52213 0.148116
139000 440000 2.56513 2.44272 0.00856861 2.51199 0.101282
149000 440000 2.61532 2.45563 -0.000997174 2.52886 0.0895179
159000 440000 2.61117 2.45714 -0.00736611 2.52301 0.0883564
169000 430000 2.52915 2.35786 0.00462611 2.50101 0.0909281
179000 440000 2.5835 2.35343 0.00777017 2.50277 0.0533413
189000 440000 2.60171 2.36829 -0.00730228 2.51669 0.048534
199000 450000 2.55099 2.42348 -0.00560867 2.50762 0.104197
209000 440000 2.61986 2.45947 0.00657646 2.51653 0.0830174
219000 430000 2.59743 2.40702 0.00351205 2.49922 0.0752006
229000 450000 2.53595 2.33166 -0.00484698 2.47902 0.0654514
239000 440000 2.56498 2.3289 -0.00262252 2.4917 0.0477607
249000 430000 2.57442 2.38589 0.00409385 2.50102 0.0765936
259000 440000 2.55576 2.30979 0.00264806 2.49528 0.0420692
269000 440000 2.59812 2.44832 -0.00680729 2.51469 0.0792712
279000 440000 2.58124 2.41225 -0.00141213 2.50948 0.0889853
289000 440000 2.58298 2.5704 0.00814665 2.51882 0.135572
299000 440000 2.58803 2.39786 -0.00246466 2.50185 0.0672601
309000 440000 2.55075 2.37936 -0.00560529 2.49121 0.0785344
319000 440000 2.59319 2.36948 0.00377976 2.49065 0.0523736
329000 440000 2.57364 2.39613 0.00254653 2.48597 0.0748724
339000 440000 2.57516 2.34077 0.000363192 2.47567 0.0459534
349000 440000 2.60223 2.48166 -0.00493867 2.49884 0.0960335
359000 440000 2.55918 2.47484 0.001989 2.4929 0.111066
369000 440000 2.5952 2.48997 0.00427818 2.49492 0.0997192
379000 440000 2.56283 2.45453 -0.00394056 2.48584 0.100781
389000 440000 2.53851 2.33854 -0.00176857 2.47382 0.0698025
399000 440000 2.56553 2.37097 0.0027688 2.48054 0.0670493
