r r 
-0.401715 -0.361893 
-0.27936 0.0554151 
-0.305785 0.394428 
0.0562154 -0.305093 
0.0875045 0.0756365 
-0.00272083 0.345371 
0.31558 -0.37277 
0.346146 0.0854851 
0.375152 0.381221 
-0.443771 -0.387307 
-0.263098 0.0675891 
-0.271277 0.433575 
0.0478124 -0.320496 
0.129238 0.112411 
0.0168312 0.3664 
0.294652 -0.393379 
0.331924 0.106323 
0.397016 0.405622 
-0.490614 -0.419629 
-0.253551 0.0702877 
-0.248625 0.453712 
0.0349716 -0.336163 
0.164333 0.143177 
0.0309036 0.37848 
0.289547 -0.391643 
0.329277 0.13755 
0.424169 0.434989 
-0.536801 -0.453354 
-0.24724 0.0673171 
-0.224335 0.469035 
0.000713988 -0.369443 
0.206407 0.181538 
0.0197676 0.362231 
0.279903 -0.388608 
0.328252 0.169 
0.451963 0.464681 
-0.592015 -0.498086 
-0.220506 0.0826572 
-0.185096 0.493559 
-0.0362291 -0.401977 
0.208838 0.180845 
-0.00296491 0.33161 
0.261522 -0.38915 
0.332897 0.204547 
0.484562 0.498878 
-0.623235 -0.520716 
-0.168754 0.121212 
-0.133308 0.525567 
-0.0678817 -0.426156 
0.202921 0.172368 
-0.0206968 0.303554 
0.24116 -0.387173 
0.339575 0.240408 
0.508822 0.524448 
-0.64256 -0.533245 
-0.113004 0.16226 
-0.0960217 0.538681 
-0.0855399 -0.433639 
0.191603 0.159025 
-0.0177946 0.294026 
0.213425 -0.388712 
0.337125 0.265309 
0.518548 0.53521 
-0.678208 -0.563785 
-0.0624862 0.196852 
-0.0628216 0.543964 
-0.0921077 -0.427685 
0.206533 0.172432 
-0.0291483 0.268455 
0.1886 -0.384098 
0.324237 0.277853 
0.508851 0.526291 
-0.697761 -0.579805 
-0.0140101 0.228449 
-0.0406744 0.535071 
-0.0671398 -0.388191 
0.223706 0.188553 
-0.0414353 0.240469 
0.16413 -0.376476 
0.301127 0.278197 
0.502783 0.520761 
-0.717936 -0.597908 
0.0171876 0.242064 
0.00279717 0.544974 
-0.0368615 -0.341711 
0.228525 0.192754 
-0.0577803 0.207235 
0.151958 -0.354461 
0.268465 0.266974 
0.509475 0.527769 
-0.739011 -0.618251 
0.0535913 0.260416 
0.0468081 0.553446 
-0.00076027 -0.288047 
0.247827 0.211838 
-0.0509905 0.196218 
0.151753 -0.318909 
0.241567 0.259491 
0.506012 0.524418 
-0.762204 -0.641931 
0.0923389 0.280861 
0.101611 0.571267 
0.0315299 -0.237128 
0.246171 0.210327 
-0.041947 0.186796 
0.151784 -0.282041 
0.218133 0.253453 
0.496186 0.514517 
-0.757631 -0.638945 
0.122962 0.293127 
0.128871 0.560591 
0.0728207 -0.176423 
0.257603 0.222232 
-0.0171532 0.192702 
0.157595 -0.238767 
0.19418 0.244903 
