t PE VE
217 0.499666 0.0502433
218 0.499663 0.0502456
219 0.49966 0.0502479
220 0.499657 0.0502502
221 0.499654 0.0502525
222 0.49965 0.0502548
223 0.499647 0.0502571
224 0.499644 0.0502594
225 0.499641 0.0502618
226 0.499638 0.0502641
227 0.499635 0.0502665
228 0.499631 0.0502689
229 0.499628 0.0502713
230 0.499625 0.0502737
231 0.499622 0.0502761
232 0.499618 0.0502785
233 0.499615 0.0502809
234 0.499612 0.0502834
235 0.499608 0.0502858
236 0.499605 0.0502883
237 0.499602 0.0502907
238 0.499598 0.0502932
239 0.499595 0.0502957
240 0.499592 0.0502982
241 0.499588 0.0503007
242 0.499585 0.0503033
243 0.499581 0.0503058
244 0.499578 0.0503084
245 0.499574 0.0503109
246 0.499571 0.0503135
247 0.499567 0.0503161
248 0.499564 0.0503187
249 0.49956 0.0503213
250 0.499557 0.0503239
251 0.499553 0.0503265
252 0.49955 0.0503291
253 0.499546 0.0503318
254 0.499542 0.0503344
255 0.499539 0.0503371
256 0.499535 0.0503398
257 0.499532 0.0503425
258 0.499528 0.0503452
259 0.499524 0.0503479
260 0.499521 0.0503506
261 0.499517 0.0503534
262 0.499513 0.0503561
263 0.499509 0.0503589
264 0.499506 0.0503616
265 0.499502 0.0503644
266 0.499498 0.0503672
267 0.499494 0.05037
268 0.49949 0.0503728
269 0.499487 0.0503756
270 0.499483 0.0503785
271 0.499479 0.0503813
272 0.499475 0.0503842
273 0.499471 0.050387
274 0.499467 0.0503899
275 0.499463 0.0503928
276 0.49946 0.0503957
277 0.499456 0.0503986
278 0.499452 0.0504015
279 0.499448 0.0504045
280 0.499444 0.0504074
281 0.49944 0.0504104
282 0.499436 0.0504133
283 0.499432 0.0504163
284 0.499428 0.0504193
285 0.499424 0.0504223
286 0.49942 0.0504253
287 0.499415 0.0504283
288 0.499411 0.0504314
289 0.499407 0.0504344
290 0.499403 0.0504375
291 0.499399 0.0504406
292 0.499395 0.0504436
293 0.499391 0.0504467
294 0.499387 0.0504498
295 0.499382 0.0504529
296 0.499378 0.0504561
297 0.499374 0.0504592
298 0.49937 0.0504623
299 0.499365 0.0504655
300 0.499361 0.0504687
301 0.499357 0.0504718
302 0.499353 0.050475
303 0.499348 0.0504782
304 0.499344 0.0504814
305 0.49934 0.0504847
306 0.499335 0.0504879
307 0.499331 0.0504911
308 0.499326 0.0504944
309 0.499322 0.0504977
310 0.499318 0.0505009
311 0.499313 0.0505042
312 0.499309 0.0505075
313 0.499304 0.0505109
314 0.4993 0.0505142
315 0.499295 0.0505175
316 0.499291 0.0505209
317 0.499286 0.0505242
318 0.499282 0.0505276
319 0.499277 0.050531
320 0.499273 0.0505344
321 0.499268 0.0505378
322 0.499263 0.0505412
323 0.499259 0.0505446
324 0.499254 0.050548
325 0.49925 0.0505515
326 0.499245 0.0505549
327 0.49924 0.0505584
328 0.499236 0.0505619
329 0.499231 0.0505654
330 0.499226 0.0505689
331 0.499222 0.0505724
332 0.499217 0.0505759
333 0.499212 0.0505795
334 0.499207 0.050583
335 0.499202 0.0505866
336 0.499198 0.0505902
337 0.499193 0.0505937
338 0.499188 0.0505973
339 0.499183 0.050601
340 0.499178 0.0506046
341 0.499173 0.0506082
342 0.499169 0.0506118
343 0.499164 0.0506155
344 0.499159 0.0506192
345 0.499154 0.0506228
346 0.499149 0.0506265
347 0.499144 0.0506302
348 0.499139 0.0506339
349 0.499134 0.0506376
350 0.499129 0.0506414
351 0.499124 0.0506451
352 0.499119 0.0506489
353 0.499114 0.0506526
354 0.499109 0.0506564
355 0.499104 0.0506602
356 0.499099 0.050664
357 0.499093 0.0506678
358 0.499088 0.0506717
359 0.499083 0.0506755
360 0.499078 0.0506793
361 0.499073 0.0506832
362 0.499068 0.0506871
363 0.499063 0.0506909
364 0.499057 0.0506948
365 0.499052 0.0506987
366 0.499047 0.0507027
367 0.499042 0.0507066
368 0.499036 0.0507105
369 0.499031 0.0507145
370 0.499026 0.0507184
371 0.49902 0.0507224
372 0.499015 0.0507264
373 0.49901 0.0507304
374 0.499004 0.0507344
375 0.498999 0.0507384
376 0.498994 0.0507425
377 0.498988 0.0507465
378 0.498983 0.0507506
379 0.498977 0.0507546
380 0.498972 0.0507587
381 0.498966 0.0507628
382 0.498961 0.0507669
383 0.498955 0.050771
384 0.49895 0.0507751
385 0.498944 0.0507793
386 0.498939 0.0507834
387 0.498933 0.0507876
388 0.498928 0.0507917
389 0.498922 0.0507959
390 0.498917 0.0508001
391 0.498911 0.0508043
392 0.498905 0.0508085
393 0.4989 0.0508128
394 0.498894 0.050817
395 0.498888 0.0508213
396 0.498883 0.0508255
397 0.498877 0.0508298
398 0.498871 0.0508341
399 0.498865 0.0508384
400 0.49886 0.0508427
401 0.498854 0.050847
402 0.498848 0.0508514
403 0.498842 0.0508557
404 0.498836 0.0508601
405 0.498831 0.0508644
406 0.498825 0.0508688
407 0.498819 0.0508732
408 0.498813 0.0508776
409 0.498807 0.050882
410 0.498801 0.0508864
411 0.498795 0.0508909
412 0.498789 0.0508953
413 0.498783 0.0508998
414 0.498778 0.0509043
415 0.498772 0.0509088
416 0.498766 0.0509133
417 0.49876 0.0509178
418 0.498753 0.0509223
419 0.498747 0.0509268
420 0.498741 0.0509314
421 0.498735 0.0509359
422 0.498729 0.0509405
423 0.498723 0.0509451
424 0.498717 0.0509497
425 0.498711 0.0509543
426 0.498705 0.0509589
427 0.498699 0.0509635
428 0.498692 0.0509682
429 0.498686 0.0509728
430 0.49868 0.0509775
431 0.498674 0.0509822
432 0.498668 0.0509868
433 0.498661 0.0509915
434 0.498655 0.0509963
435 0.498649 0.051001
436 0.498642 0.0510057
437 0.498636 0.0510105
438 0.49863 0.0510152
439 0.498623 0.05102
440 0.498617 0.0510248
441 0.498611 0.0510296
442 0.498604 0.0510344
443 0.498598 0.0510392
444 0.498591 0.051044
445 0.498585 0.0510489
446 0.498579 0.0510537
447 0.498572 0.0510586
448 0.498566 0.0510635
449 0.498559 0.0510684
450 0.498553 0.0510733
451 0.498546 0.0510782
452 0.498539 0.0510831
453 0.498533 0.0510881
454 0.498526 0.051093
455 0.49852 0.051098
456 0.498513 0.0511029
457 0.498507 0.0511079
458 0.4985 0.0511129
459 0.498493 0.0511179
460 0.498487 0.051123
461 0.49848 0.051128
462 0.498473 0.051133
463 0.498466 0.0511381
464 0.49846 0.0511432
465 0.498453 0.0511483
