t PE VE R R2 BS
0 2.92085 0.751272 0.502213 0.558142 0.16196
1 2.91974 0.751541 0.502239 0.558198 0.162086
2 2.91865 0.75181 0.502266 0.558255 0.162207
3 2.91755 0.752076 0.502291 0.558313 0.16233
4 2.91646 0.752337 0.502311 0.558363 0.16245
5 2.9154 0.752597 0.502332 0.558415 0.162569
6 2.91434 0.752855 0.502351 0.558467 0.162688
7 2.91326 0.753124 0.50237 0.558522 0.162808
8 2.91219 0.753391 0.502388 0.558578 0.162923
9 2.91114 0.753666 0.50241 0.558633 0.163037
10 2.9101 0.753948 0.502433 0.558689 0.163151
11 2.90907 0.754226 0.502457 0.558745 0.163265
12 2.90808 0.754494 0.50248 0.558802 0.163379
13 2.90707 0.754755 0.502503 0.55886 0.163492
14 2.90605 0.75504 0.502527 0.558919 0.163605
15 2.90503 0.755327 0.502551 0.558977 0.16372
16 2.90401 0.755622 0.502569 0.559029 0.163832
17 2.903 0.755913 0.502585 0.559078 0.163941
18 2.902 0.756209 0.502604 0.55913 0.164051
19 2.901 0.756508 0.502622 0.559183 0.16416
20 2.89998 0.756806 0.502638 0.559231 0.164269
21 2.89898 0.757095 0.502656 0.559278 0.164377
22 2.89798 0.757386 0.502674 0.559328 0.164487
23 2.89699 0.757677 0.502693 0.559378 0.164597
24 2.89599 0.757965 0.502709 0.559429 0.164706
25 2.895 0.758257 0.502726 0.559479 0.164813
26 2.89403 0.758543 0.50274 0.559523 0.164918
27 2.89307 0.758829 0.502755 0.559567 0.165022
28 2.89211 0.759113 0.502771 0.559611 0.165125
29 2.89118 0.759399 0.502788 0.559657 0.165228
30 2.89025 0.75969 0.502805 0.559703 0.16533
31 2.88932 0.759994 0.502827 0.559754 0.165434
32 2.88836 0.7603 0.502848 0.559804 0.16554
33 2.8874 0.760598 0.502867 0.559853 0.165645
34 2.88643 0.76089 0.502888 0.559903 0.16575
35 2.8855 0.761174 0.50291 0.559952 0.165854
36 2.88457 0.76146 0.502931 0.560003 0.165958
37 2.88364 0.761755 0.502952 0.560056 0.166064
38 2.88272 0.762044 0.502973 0.560106 0.166167
39 2.88181 0.762332 0.502994 0.560155 0.166268
40 2.88088 0.762622 0.503014 0.560203 0.166369
41 2.87995 0.762916 0.503034 0.560253 0.166473
42 2.87902 0.763212 0.503053 0.560302 0.16658
43 2.87807 0.763513 0.503071 0.560349 0.166688
44 2.87714 0.763813 0.503091 0.560398 0.166797
45 2.8762 0.764119 0.503114 0.560451 0.166907
46 2.87524 0.764419 0.503133 0.560503 0.167017
47 2.87429 0.764722 0.503152 0.560555 0.167127
48 2.87333 0.765016 0.503169 0.560603 0.167238
49 2.87239 0.76531 0.503189 0.560657 0.167346
50 2.87146 0.765599 0.503211 0.560711 0.16746
51 2.87051 0.765897 0.503234 0.560767 0.167574
52 2.86956 0.766199 0.503256 0.560821 0.167692
53 2.86859 0.766505 0.503278 0.560874 0.167811
54 2.86765 0.766813 0.503301 0.560928 0.16793
55 2.86671 0.767118 0.503321 0.560979 0.168047
56 2.86578 0.76743 0.503343 0.56103 0.168165
57 2.86483 0.767744 0.503362 0.561079 0.168282
58 2.86388 0.76806 0.503381 0.561129 0.168399
59 2.86293 0.768376 0.5034 0.561179 0.168515
60 2.86196 0.7687 0.503421 0.561231 0.16863
61 2.86097 0.769032 0.503442 0.561283 0.168746
62 2.85999 0.769378 0.503466 0.561335 0.168861
63 2.85901 0.76972 0.503489 0.561386 0.168974
64 2.85802 0.770071 0.503513 0.561437 0.169085
65 2.85703 0.770415 0.503536 0.561486 0.169198
66 2.85604 0.770753 0.503558 0.561532 0.169312
67 2.85508 0.771092 0.503578 0.561575 0.169428
68 2.85409 0.771446 0.5036 0.561621 0.169545
69 2.85312 0.771785 0.503624 0.561666 0.169663
70 2.85216 0.772134 0.503653 0.561716 0.16978
71 2.85121 0.772479 0.503679 0.561763 0.169898
72 2.85025 0.772806 0.503703 0.561806 0.170013
73 2.84931 0.773132 0.503726 0.561845 0.170126
74 2.8484 0.773435 0.503752 0.561882 0.170236
75 2.84747 0.773739 0.503778 0.561917 0.170346
76 2.84652 0.774039 0.5038 0.561947 0.170457
77 2.8456 0.774334 0.503821 0.561974 0.170569
78 2.8447 0.774635 0.503846 0.562002 0.170679
79 2.8438 0.774937 0.503871 0.562026 0.170789
80 2.84293 0.775228 0.503895 0.562047 0.170894
81 2.84206 0.775524 0.503917 0.562069 0.171001
82 2.84121 0.775827 0.503939 0.562091 0.171108
83 2.84037 0.776132 0.503963 0.562119 0.171213
84 2.83956 0.77643 0.503983 0.562141 0.171316
85 2.83875 0.776713 0.504005 0.562165 0.171421
86 2.83794 0.776998 0.504028 0.562188 0.171524
87 2.83712 0.777287 0.504048 0.562211 0.171628
88 2.83629 0.777575 0.504069 0.562229 0.171733
89 2.83545 0.777853 0.504089 0.562245 0.171835
90 2.83466 0.778128 0.504106 0.56226 0.171937
91 2.83387 0.778399 0.504121 0.56227 0.172037
92 2.83308 0.778663 0.504137 0.562281 0.172137
93 2.83228 0.778917 0.504153 0.562292 0.172236
94 2.83148 0.77918 0.504169 0.562306 0.172335
95 2.83069 0.779435 0.504189 0.562327 0.17243
96 2.82991 0.779698 0.504207 0.562346 0.172525
97 2.82911 0.779966 0.504228 0.562372 0.17262
98 2.82833 0.780231 0.504248 0.562393 0.172714
99 2.82753 0.780497 0.504265 0.562411 0.172811
100 2.8267 0.780757 0.504278 0.562425 0.172908
101 2.82586 0.781014 0.504293 0.562442 0.173004
102 2.82501 0.78126 0.504307 0.562454 0.173101
103 2.82414 0.781513 0.504319 0.562465 0.1732
104 2.82325 0.781773 0.504331 0.562477 0.173301
105 2.82238 0.782027 0.504344 0.562491 0.173402
106 2.82146 0.782287 0.504354 0.562504 0.173506
107 2.82057 0.78255 0.504364 0.562516 0.17361
108 2.81965 0.782804 0.504375 0.562529 0.173716
109 2.81871 0.783075 0.504386 0.562545 0.173823
110 2.81778 0.783335 0.504393 0.562557 0.173928
111 2.81683 0.783593 0.504399 0.56257 0.174034
112 2.81589 0.783855 0.504405 0.562581 0.17414
113 2.81498 0.784125 0.504413 0.56259 0.174245
114 2.81409 0.784393 0.504423 0.562597 0.174348
115 2.81319 0.784655 0.504432 0.562607 0.17446
116 2.81231 0.78491 0.504443 0.562617 0.174575
117 2.8114 0.785167 0.504453 0.562624 0.174697
118 2.81047 0.785429 0.504462 0.562633 0.174825
119 2.80953 0.785699 0.504468 0.562637 0.174951
120 2.80858 0.785976 0.504479 0.562642 0.175079
121 2.80766 0.78624 0.504489 0.562648 0.175201
122 2.80677 0.7865 0.504499 0.56265 0.175323
123 2.80585 0.786767 0.504511 0.562659 0.175449
124 2.80491 0.787031 0.504522 0.562667 0.175575
125 2.80399 0.787293 0.504534 0.562676 0.175699
126 2.80304 0.787562 0.504546 0.562682 0.175824
127 2.80212 0.787825 0.504556 0.562687 0.175947
128 2.80119 0.788089 0.504567 0.562697 0.176073
129 2.80029 0.788355 0.504578 0.562706 0.176197
130 2.79941 0.788622 0.504591 0.562719 0.176321
131 2.79852 0.788887 0.504604 0.562733 0.176445
132 2.7976 0.78917 0.504615 0.562748 0.176575
133 2.79667 0.789457 0.504626 0.562764 0.176704
134 2.79571 0.789748 0.504639 0.562784 0.176834
135 2.79477 0.79004 0.50465 0.562808 0.176965
136 2.79381 0.79033 0.50466 0.562827 0.177096
137 2.79285 0.790632 0.504669 0.562848 0.177229
138 2.79183 0.790957 0.504679 0.56287 0.177362
139 2.79082 0.791289 0.504691 0.562893 0.177496
140 2.78982 0.791617 0.504702 0.562916 0.177628
141 2.7888 0.791941 0.504713 0.562936 0.17776
142 2.78782 0.792259 0.504724 0.562955 0.177893
143 2.78684 0.792577 0.504734 0.562974 0.178025
144 2.78584 0.792908 0.504745 0.562995 0.178158
145 2.78481 0.793262 0.504757 0.563018 0.178295
146 2.78376 0.793621 0.504771 0.563043 0.178431
147 2.7827 0.79399 0.504785 0.563071 0.178567
148 2.78162 0.794369 0.504801 0.563101 0.178703
149 2.78052 0.794761 0.504815 0.563129 0.178841
150 2.7794 0.795142 0.504824 0.563152 0.178978
151 2.77829 0.795523 0.504832 0.563171 0.179114
152 2.77719 0.795895 0.504844 0.563191 0.179246
153 2.77613 0.796272 0.504856 0.563211 0.179376
154 2.77505 0.796661 0.504867 0.563232 0.179507
155 2.77398 0.797069 0.504876 0.563251 0.179637
156 2.77293 0.797474 0.504885 0.563269 0.179766
157 2.77186 0.797899 0.504895 0.563292 0.179898
158 2.77075 0.798334 0.504904 0.563314 0.18003
159 2.76964 0.79876 0.504915 0.563337 0.180161
160 2.76855 0.799187 0.504924 0.563358 0.180293
161 2.76744 0.799603 0.50493 0.563375 0.180426
162 2.76633 0.800037 0.504936 0.563393 0.180558
163 2.76525 0.800473 0.504943 0.563411 0.18069
164 2.76419 0.800906 0.504951 0.563431 0.180821
165 2.76314 0.801342 0.50496 0.56345 0.180951
166 2.76206 0.801791 0.504968 0.56347 0.181084
167 2.76094 0.802253 0.504974 0.563486 0.181221
168 2.75981 0.802719 0.504979 0.5635 0.181357
169 2.75869 0.803201 0.504982 0.563514 0.181494
170 2.75752 0.803689 0.504984 0.563529 0.181632
171 2.75638 0.804167 0.504986 0.563543 0.181769
172 2.75527 0.804641 0.504987 0.563552 0.181902
173 2.75417 0.805112 0.504988 0.563563 0.182032
174 2.75306 0.805581 0.504987 0.563572 0.182161
175 2.75195 0.806061 0.504987 0.563586 0.182291
176 2.75081 0.806542 0.504989 0.563601 0.182423
177 2.74968 0.807029 0.504994 0.563617 0.182555
178 2.74855 0.807513 0.504998 0.563636 0.182688
179 2.74743 0.808021 0.505001 0.563656 0.18282
180 2.7463 0.808535 0.505005 0.563675 0.182953
181 2.74519 0.809028 0.505008 0.56369 0.183084
182 2.7441 0.809513 0.505012 0.563703 0.183213
183 2.74305 0.809985 0.505018 0.563717 0.183338
184 2.742 0.810453 0.505023 0.563732 0.183463
