t PE VE R R2 BS
1 66.3599 63.3172 -0.0420215 63.1686 0.0676793
2 64.2818 61.3173 -0.0519529 61.1048 0.104631
3 61.1436 58.326 -0.0582966 57.9925 0.152882
4 57.3729 54.8148 -0.0696928 54.2614 0.21963
5 53.1362 50.8847 -0.0713532 50.0745 0.281958
6 48.7779 46.8432 -0.0700281 45.7772 0.341276
7 44.0432 42.4345 -0.0605845 41.1036 0.401871
8 39.0326 37.7125 -0.0631343 36.1512 0.455173
9 34.1055 32.9832 -0.071814 31.2998 0.489846
10 29.2858 28.3112 -0.106888 26.551 0.52039
11 24.7941 23.8175 -0.142705 22.1285 0.530227
12 20.8259 19.8271 -0.178535 18.2214 0.538741
13 17.2084 16.1172 -0.20419 14.6748 0.53172
14 14.0876 12.9163 -0.229833 11.6325 0.527012
15 11.3848 10.1712 -0.259817 9.0132 0.528659
16 9.07209 7.81955 -0.28731 6.79282 0.5304
17 7.27032 5.99884 -0.314521 5.07617 0.545257
18 5.86312 4.53496 -0.336362 3.74447 0.552445
19 4.73829 3.35695 -0.368807 2.68371 0.562045
20 3.87329 2.52892 -0.400296 1.9051 0.576361
21 3.25372 2.21217 -0.41561 1.36566 0.592026
22 2.8288 4.44894 -0.410723 0.99922 0.598252
23 2.53704 4.27055 -0.392065 0.751434 0.589678
24 2.37018 53.1956 -0.376889 0.627896 0.570744
25 3.54931 10.2774 -0.354317 2.48344 1.0375
26 6.54378 20092.9 -0.296619 7.31868 1.92271
27 12950.4 1.98402e+06 -0.233229 19759.7 91.0989
28 46348.5 1.35939e+07 -0.173189 70983 173.67
29 92886.4 3.88392e+07 -0.134865 142634 246.551
30 146232 7.72536e+07 -0.102493 225212 309.882
31 201087 1.25578e+08 -0.0895137 310806 363.892
32 253246 1.79171e+08 -0.0731167 393133 408.908
33 299492 2.33027e+08 -0.0600378 467373 445.282
34 337584 2.82619e+08 -0.0501595 530147 473.477
35 366116 3.24289e+08 -0.0383027 579293 493.958
36 384470 3.55575e+08 -0.0382977 613794 507.269
37 392631 3.75146e+08 -0.0430347 633497 513.939
38 391097 3.82783e+08 -0.0521209 638999 514.535
39 380765 3.79287e+08 -0.0479757 631468 509.632
40 362791 3.65782e+08 -0.0368466 612461 499.798
41 338542 3.44466e+08 -0.0305999 583835 485.616
42 309402 3.16945e+08 -0.0256486 547508 467.655
43 276819 2.8558e+08 -0.0200581 505474 446.472
44 242163 2.52156e+08 -0.0179079 459643 422.587
45 206693 2.18473e+08 -0.0162868 411787 396.771
46 171526 1.85907e+08 -0.0247327 363484 370.561
47 137608 1.55688e+08 -0.0125928 316096 343.187
48 105726 1.28135e+08 0.0104966 270761 314.972
49 76488.9 1.0353e+08 0.0376903 228374 286.295
50 50323.3 8.21157e+07 0.0497984 189592 257.496
51 27493 6.39258e+07 0.0657849 154842 229.249
52 8123.45 4.88314e+07 0.0878656 124362 203.649
53 -7805.31 3.65921e+07 0.112126 98203.7 178.638
54 -20413 2.68899e+07 0.122933 76266.6 154.426
55 -29893.9 1.93696e+07 0.133478 58343.4 132.795
56 -36535.3 1.36882e+07 0.141347 44116.5 113.663
57 -40648.7 9.60385e+06 0.142419 33217.2 101.123
58 -42580.7 6.74186e+06 0.130259 25231.2 96.1017
59 -42685.1 4.80972e+06 0.112406 19730.3 96.2992
60 -41314.2 3.55914e+06 0.0956656 16282.2 96.9125
61 -38803.4 2.81299e+06 0.0894807 14470.3 98.4312
62 -35464.9 2.41334e+06 0.0643774 13907.3 100.833
63 -31579.2 2.24262e+06 0.0415192 14241.4 104.514
64 -27395.1 2.21465e+06 0.0133344 15161.9 107.801
65 -23122.1 2.26217e+06 -0.0105554 16408.3 110.021
66 -18932 2.33581e+06 -0.0416676 17767.7 111.236
67 -14965.9 2.39466e+06 -0.0770932 19063.3 111.501
68 -11323.4 2.42303e+06 -0.111333 20169.8 112.84
69 -8073.25 2.41156e+06 -0.148066 21001.8 113.294
70 -5256.23 2.35513e+06 -0.173695 21500.9 112.993
71 -2887.57 2.25587e+06 -0.189738 21651.7 111.737
72 -965.428 2.12124e+06 -0.206363 21451.8 109.567
73 526.797 1.95387e+06 -0.202758 20916 106.572
74 1625.64 1.76307e+06 -0.196056 20085.5 102.861
75 2368.36 1.55784e+06 -0.200141 18997.9 98.5235
76 2802.8 1.34995e+06 -0.206972 17709.4 93.6665
77 2981.92 1.14591e+06 -0.2257 16274.8 88.3769
78 2950.97 952797 -0.240544 14744.9 82.7474
79 2757.79 775485 -0.242053 13166.6 76.8551
80 2445.74 617483 -0.250695 11585.3 70.7825
81 2059.58 480839 -0.247683 10046.1 64.6199
82 1633.06 366581 -0.235102 8580.58 58.5578
83 1195.89 273533 -0.223107 7214.75 52.6441
84 769.218 199536 -0.217639 5965.92 46.7929
85 372.436 144542 -0.188174 4847.16 41.0578
86 20.5515 102545 -0.16001 3866.03 35.4871
87 -279.43 69901.6 -0.120944 3022.17 30.1258
88 -522.933 45468.2 -0.0912347 2313.58 25.0167
89 -708.366 27902.8 -0.0691747 1733.26 20.4385
90 -837.721 16344.3 -0.0427872 1271.61 16.1967
91 -915.005 9234.32 -0.00975539 916.583 12.2499
92 -943.916 5366.5 0.0282658 655.879 10.585
93 -932.205 3756.53 0.0536292 475.582 9.99513
94 -887.692 3610.42 0.0709959 361.637 10.3381
95 -816.137 5178.91 0.0963391 301.712 11.043
96 -726.049 5900.64 0.110256 283.38 12.2424
97 -622.738 7491.89 0.129241 296.558 13.4329
98 -511.868 9152.16 0.150924 331.238 15.0454
99 -399.235 10680.8 0.170342 378.23 16.4563
100 -289.379 11991.3 0.178813 430.468 17.615
101 -185.598 12998.3 0.190692 481.966 18.5456
102 -90.7898 13657.7 0.205944 528.496 19.2137
103 -7.34457 13933.1 0.228812 566.906 19.6218
104 64.023 13835.2 0.24178 595.071 19.7917
105 122.87 13370.6 0.233467 612.14 19.7392
106 169.489 12749.7 0.224236 618.073 19.4914
107 204.035 13102.5 0.225126 612.791 19.06
108 228.344 10389.4 0.210726 597.818 18.4198
109 243.159 9115.66 0.213352 575.215 17.6674
110 249.076 7840.82 0.216425 545.55 16.8126
111 248.048 6610.52 0.231421 510.792 15.8713
112 241.371 5464.99 0.250576 472.403 14.8617
113 229.699 4425.84 0.260573 431.36 13.7958
114 214.319 5474.08 0.258323 388.842 12.688
115 194.794 2788.91 0.266926 345.466 11.6292
116 173.718 2170.68 0.276921 302.836 10.5506
117 151.919 1663.15 0.281169 261.911 9.47413
118 130.361 1252.33 0.277183 223.499 8.40416
119 109.624 983.487 0.266392 188.051 7.37327
120 89.9659 687.537 0.250767 155.869 6.49319
121 72.054 515.169 0.227984 127.339 5.65859
122 56.3312 485.356 0.212159 102.736 4.97955
123 42.3246 281.004 0.202717 81.4127 4.40321
124 30.2852 197.45 0.195229 63.3923 3.85909
125 20.6829 161.262 0.182336 48.989 3.34821
126 13.0415 99.8648 0.157919 37.5593 2.92685
127 7.21811 84.4217 0.122264 28.8588 2.57038
128 3.22591 63.6164 0.0894002 22.6714 2.27874
129 0.532794 63.1846 0.0509295 18.4171 2.32485
130 -1.01062 69.2042 0.0070594 15.7231 2.4696
131 -1.50854 79.8303 -0.0492992 14.3341 2.61537
132 -1.16988 91.7953 -0.0994297 13.9389 2.74003
133 -0.259321 103.644 -0.146474 14.2106 2.85492
134 1.10211 113.94 -0.185767 14.9667 2.94672
135 2.65909 139.765 -0.223636 15.9637 3.00603
136 2.35479 116.381 -0.267386 15.5921 3.06263
137 2.40862 113.692 -0.305343 15.8408 3.26137
138 2.64703 112.851 -0.341391 16.4081 3.44706
139 2.96914 113.515 -0.371815 17.1883 3.60427
140 3.28535 115.991 -0.394707 17.9852 3.75142
141 3.59532 118.287 -0.414031 18.7283 3.88349
142 3.79551 120.29 -0.422876 19.2496 3.96379
143 4.06062 122.913 -0.424566 19.7579 4.0266
144 4.2011 123.755 -0.424989 19.9486 4.04042
145 4.24692 396.983 -0.409353 19.9197 4.02261
146 63.7633 1386.85 -0.394367 116.291 7.66751
147 226.799 6167.8 -0.375904 370.784 12.8845
148 456.409 16000.8 -0.345753 727.978 17.8548
149 721.264 30523.9 -0.324782 1140.73 22.2147
150 994.145 48463.6 -0.318499 1568.74 25.9698
151 1253.28 68058.5 -0.314694 1979.34 29.0805
152 1482.41 91171.3 -0.307038 2348.39 31.5718
153 1670.62 105475 -0.295463 2660.19 33.5135
154 1812.02 120263 -0.275541 2903.99 34.8978
155 1903.45 131289 -0.245001 3074.88 35.784
156 1945.09 138107 -0.213944 3172.98 36.2327
157 1937.43 140598 -0.185198 3199.35 36.2615
158 1886.55 139035 -0.159161 3160.97 35.9045
159 1796.62 133832 -0.127731 3063.83 35.1924
160 1676.87 125827 -0.10829 2920.55 34.1808
161 1533.19 115669 -0.0989163 2739.07 32.9015
162 1372.23 104459 -0.0801668 2529.57 31.3992
163 1199.46 92055.9 -0.0692789 2300.02 29.7156
164 1021.97 79886.7 -0.051785 2059.39 27.8878
165 846.622 67617.2 -0.0395771 1817.6 25.9908
166 677.256 56848.7 -0.00415907 1579.92 24.0391
167 518.857 46438.6 0.0334725 1353.42 22.0288
168 373.537 37540 0.0852989 1141.75 19.982
169 243.235 29788.2 0.136103 947.976 17.9303
170 129.547 23199.8 0.180061 774.411 15.9576
171 32.5408 17740.4 0.234327 622.084 14.1193
172 -47.0036 13295 0.270443 491.238 12.337
173 -109.864 9782.89 0.299389 381.948 10.6633
174 -157.183 7058.53 0.327177 292.778 9.23735
175 -190.219 5017.11 0.349369 222.379 7.88319
176 -210.778 3531.39 0.359287 168.235 6.93174
177 -220.445 2496.39 0.363292 128.754 6.74111
178 -221.093 1792.8 0.351497 101.523 6.79912
179 -214.019 1428.52 0.331585 84.279 6.91148
180 -200.746 1208.55 0.311532 75.3579 7.04463
181 -184.277 961.021 0.28905 72.0334 7.25472
182 -164.03 911.368 0.280675 74.0023 7.51959
183 -141.666 908.276 0.270966 79.456 7.73357
184 -118.469 936.386 0.271228 86.6601 7.87247
185 -95.4744 951.899 0.258197 94.721 7.94794
186 -73.5893 968.676 0.232293 102.381 7.94947
187 -53.2587 976.106 0.199251 109.097 7.97304
188 -35.0824 1081.75 0.179045 114.288 7.96155
189 -18.852 1014.06 0.171202 117.891 7.86881
190 -5.40465 880.582 0.148076 119.432 7.73094
191 5.46592 819.273 0.135186 118.945 7.53823
192 13.8434 751.83 0.114158 116.559 7.29543
193 20.0742 681.964 0.0803623 112.651 7.01256
