n t PE VE R R2 BS
0 0 0.303517 0.241855 0.106274 0.137347 0.0170487
10 2307 3.46812 2.37963 1.01347 1.31371 0.216727
20 2187 4.04904 2.38301 0.936522 1.27161 0.303559
30 2436 5.49582 2.32257 0.8495 1.19633 0.327065
40 2068 8.6184 2.0775 0.746785 1.00738 0.256774
50 2569 9.31914 1.87153 0.666258 0.839872 0.17159
60 1952 6.37944 1.80649 0.603099 0.763045 0.193008
70 2541 4.22411 1.75566 0.53549 0.687592 0.274084
80 1909 5.63943 1.65768 0.471522 0.571859 0.317423
90 2562 6.31823 1.49244 0.386497 0.415577 0.301424
100 2560 4.37002 1.32071 0.308216 0.27444 0.251693
110 1960 4.14117 1.18551 0.248208 0.162866 0.191492
120 2561 5.84148 1.12477 0.208205 0.105751 0.185918
130 1947 6.23205 1.13215 0.177094 0.104794 0.221113
140 2388 3.85458 1.15377 0.139052 0.117783 0.243861
150 2106 2.78143 1.14462 0.0895238 0.111074 0.23062
160 2586 5.49263 1.13126 0.0522734 0.104019 0.197636
170 1937 6.79279 1.13037 0.00559452 0.108924 0.175308
180 2562 4.54551 1.15776 -0.0586076 0.129004 0.19906
190 1954 1.87125 1.2082 -0.126356 0.162767 0.25622
200 2474 1.87977 1.27681 -0.213184 0.212153 0.294475
210 1950 2.79873 1.34568 -0.292019 0.258953 0.337361
220 2556 7.11805 1.31359 -0.347981 0.249143 0.298482
230 2369 9.38936 1.26584 -0.410451 0.235286 0.213252
240 2650 6.81224 1.29211 -0.477994 0.272355 0.172846
250 2462 3.4194 1.44697 -0.58627 0.411624 0.211059
260 2607 6.04011 1.65541 -0.708617 0.59309 0.255376
270 1937 10.2838 1.92289 -0.857092 0.834634 0.268533
280 2559 9.75453 2.15613 -0.987657 1.07357 0.235451
290 2459 8.72666 2.29714 -1.06387 1.23048 0.200875
300 2153 8.11798 2.53543 -1.1455 1.45679 0.210756
310 2387 8.81767 2.83408 -1.23442 1.74275 0.232697
320 2557 9.79284 3.11263 -1.33094 2.04161 0.203988
330 1939 6.96679 3.45939 -1.43414 2.39245 0.167662
340 2566 4.84829 3.91366 -1.52768 2.82541 0.162943
350 1961 4.5149 4.48507 -1.61401 3.37215 0.213821
360 2561 5.29841 4.94767 -1.67324 3.83286 0.224231
370 1959 7.22024 5.24771 -1.71253 4.14866 0.204699
380 2570 10.782 5.38808 -1.72939 4.29108 0.189271
390 1954 13.1801 5.44302 -1.75187 4.34095 0.198532
400 2589 10.8149 5.30732 -1.73768 4.18692 0.223317
410 2573 9.56857 5.07955 -1.72365 3.96498 0.219137
420 1936 9.99488 4.81307 -1.7106 3.7225 0.189348
430 2548 9.20494 4.59699 -1.68992 3.50727 0.181701
440 1939 8.42583 4.51272 -1.68812 3.37221 0.244891
450 2533 7.34653 4.39268 -1.68484 3.24264 0.247185
460 1969 6.51975 4.14833 -1.66744 3.04691 0.194425
470 2574 6.66736 3.86229 -1.62145 2.79709 0.161391
480 1945 8.8429 3.46792 -1.50355 2.39958 0.179896
490 2563 11.3111 2.9742 -1.32945 1.90052 0.198382
500 1939 10.6664 2.48392 -1.14422 1.42075 0.191425
510 2546 5.4706 2.08502 -0.967561 1.03193 0.198997
520 1931 -0.351037 1.78055 -0.788273 0.72798 0.222914
530 2638 -3.10134 1.5336 -0.585398 0.47541 0.261476
540 2493 -0.574259 1.35413 -0.389361 0.300224 0.275824
550 2555 3.06576 1.18614 -0.142207 0.153886 0.234469
560 2549 5.81606 1.14343 0.118739 0.128366 0.176601
570 1913 3.99062 1.28739 0.388652 0.265178 0.164235
580 2553 -2.28683 1.67566 0.694663 0.614708 0.201524
590 1941 -6.0421 2.2429 0.992348 1.13623 0.246475
600 2561 -4.24905 2.87265 1.26155 1.7467 0.247178
610 1907 -0.699138 3.52493 1.50706 2.40927 0.216365
620 1969 0.555975 4.11898 1.70053 3.02247 0.194713
630 2515 -2.83151 4.70919 1.85658 3.59556 0.198567
640 2481 -7.50589 5.19805 1.97149 4.05811 0.206757
650 2026 -7.64001 5.59792 2.06314 4.43733 0.223158
660 2493 -0.683285 5.98304 2.14758 4.8097 0.240537
670 2237 5.062 6.43071 2.23714 5.24899 0.247909
680 2274 5.05785 6.69119 2.29183 5.53134 0.220161
690 2514 -1.99244 7.02406 2.3396 5.82526 0.250185
700 1957 -8.15861 7.54598 2.40648 6.2479 0.310028
710 2573 -3.75157 7.91298 2.45028 6.55496 0.34175
720 1964 6.76268 7.9507 2.46609 6.66275 0.301279
