n t PE VE R R2 BS
0 0 0.00247744 0.00288718 0.000906471 0.00140683 0.000444483
1000 90000 2.21205 2.83225 0.837447 1.35907 0.455188
2000 80000 1.6545 1.91848 0.306548 0.781497 0.450716
3000 80000 1.81735 1.39921 -0.0511589 0.506665 0.426313
4000 80000 1.32379 0.971116 -0.235697 0.320129 0.348883
5000 80000 1.80145 1.03446 -0.129891 0.320154 0.371474
6000 90000 0.641291 1.03215 0.107439 0.325181 0.367192
7000 80000 1.56001 1.15469 0.192453 0.384879 0.390804
8000 80000 2.14986 1.58262 0.256685 0.636565 0.393975
9000 80000 2.5891 1.88287 0.10892 0.77016 0.448638
10000 80000 0.72879 1.6257 0.16506 0.586888 0.448179
11000 90000 0.730895 1.24395 0.128943 0.370551 0.451045
12000 80000 2.18777 1.50839 0.135254 0.48471 0.481875
13000 80000 1.00483 1.18837 0.246789 0.405099 0.401829
14000 80000 1.14416 1.18419 -0.0236964 0.338309 0.4372
15000 80000 2.12533 2.13795 0.112009 0.750126 0.552102
16000 80000 1.27324 1.37793 0.0978233 0.437769 0.46876
17000 90000 0.864283 1.00732 -0.0847633 0.2827 0.399595
18000 80000 1.13824 1.28659 -0.0785042 0.394149 0.455488
19000 80000 2.1084 1.16279 -0.252821 0.344398 0.40427
20000 80000 1.80137 1.19886 -0.171428 0.3632 0.423771
21000 80000 1.5915 1.00757 -0.210609 0.330643 0.34468
22000 90000 0.530359 1.13236 0.0261139 0.313902 0.431521
23000 80000 1.32507 1.08361 0.240166 0.334684 0.389917
24000 80000 2.28184 1.39421 0.498819 0.522855 0.385491
25000 80000 1.4141 1.60543 0.436992 0.588704 0.462473
26000 80000 2.15504 2.39743 0.519112 0.874299 0.564023
27000 80000 1.85938 2.02609 0.360396 0.753558 0.516863
28000 90000 0.876224 2.52497 -0.063792 0.814689 0.623849
29000 80000 1.6314 1.75712 0.0321108 0.606798 0.486837
30000 80000 2.12648 1.70154 0.14214 0.599424 0.487081
31000 80000 1.65572 1.47978 0.324496 0.5672 0.411059
32000 80000 2.66171 1.37534 0.451128 0.522815 0.383332
33000 90000 1.92139 1.76906 0.410177 0.637047 0.465443
34000 80000 2.45217 1.91872 0.432439 0.822559 0.397687
35000 80000 1.02029 1.36477 0.0972482 0.490702 0.407125
36000 80000 1.66144 1.09914 -0.220005 0.352393 0.375445
37000 80000 1.26107 1.63356 -0.498539 0.59894 0.445723
38000 90000 2.16398 1.3967 -0.525614 0.549099 0.379168
39000 80000 2.34606 1.70142 -0.490649 0.677463 0.432024
40000 80000 0.717963 2.06336 -0.282547 0.698109 0.574797
41000 80000 0.680463 1.52355 -0.0682537 0.465115 0.503191
42000 80000 1.48624 0.939868 -0.315716 0.301075 0.333166
43000 80000 1.8109 1.15017 -0.401414 0.405295 0.36281
44000 90000 1.63624 2.09136 -0.451726 0.778925 0.501683
45000 80000 1.2037 2.37814 -0.236937 0.807569 0.602943
46000 80000 1.2968 1.59708 0.0523262 0.561501 0.470774
47000 80000 1.25318 1.633 0.17667 0.571283 0.486405
48000 80000 0.920085 2.04723 0.225601 0.731094 0.536333
49000 90000 2.25181 1.73703 0.269987 0.743302 0.407188
50000 80000 1.50292 1.54161 0.27139 0.594377 0.411411
51000 80000 1.55139 1.61263 0.188305 0.647089 0.421732
52000 80000 1.67953 1.11809 -0.0575658 0.357447 0.409306
53000 80000 1.0048 1.43186 -0.183098 0.423565 0.494592
54000 80000 1.61371 1.17303 0.0449875 0.362381 0.425031
55000 90000 1.51493 0.894821 0.0564603 0.255247 0.363515
56000 80000 1.10867 0.938521 -0.196548 0.299429 0.350858
57000 80000 1.02822 0.956865 -0.0307918 0.269297 0.360538
58000 80000 0.903838 1.33545 -0.139956 0.384444 0.481925
59000 80000 1.18202 1.19554 -0.0618156 0.340867 0.442498
60000 90000 0.929752 1.31613 -0.104766 0.378383 0.46667
61000 80000 0.89237 1.16922 0.0362125 0.329635 0.425576
62000 80000 2.4059 0.843932 0.0201417 0.216827 0.346379
63000 80000 0.886333 1.2714 0.299462 0.410412 0.437042
64000 80000 2.10665 1.51249 0.565695 0.612229 0.410594
65000 90000 1.35307 1.13834 0.413476 0.407706 0.360995
66000 80000 1.24713 1.01924 0.236813 0.308797 0.393539
67000 80000 1.38687 0.990368 -0.0289475 0.268153 0.405942
68000 80000 2.07025 1.10398 0.191459 0.342025 0.381441
69000 80000 1.97633 1.4541 0.288582 0.476816 0.455064
70000 80000 1.27237 1.58698 0.341504 0.502337 0.46157
71000 90000 2.67542 1.41226 0.543049 0.568926 0.38467
72000 80000 2.05993 1.83152 0.436018 0.63828 0.506598
73000 80000 1.41575 2.2015 0.265493 0.654854 0.610518
74000 80000 1.39787 1.98769 0.459866 0.73485 0.503378
75000 80000 2.52341 1.21559 0.25959 0.380719 0.401508
76000 90000 1.26052 1.46982 0.181176 0.443908 0.492819
77000 80000 0.789819 1.20071 0.233597 0.37817 0.411719
78000 80000 1.21363 1.14052 0.171101 0.326797 0.42023
79000 80000 1.67056 1.2959 0.44228 0.468713 0.403733
