t PE VE R R2
138 3.0873 0.35517 -0.0197569 0.332549
139 2.54669 0.276747 -0.037171 0.258821
140 1.9807 0.244506 -0.0560036 0.225982
141 1.40163 0.260534 -0.075297 0.237428
142 0.821327 0.326421 -0.0940691 0.293326
143 0.250894 0.443197 -0.111371 0.39058
144 -0.299445 0.609995 -0.126341 0.523057
145 -0.820456 0.821706 -0.138258 0.682045
146 -1.30392 1.06783 -0.146577 0.856892
147 -1.74264 1.33264 -0.150967 1.03579
148 -2.13035 1.5966 -0.151325 1.20663
149 -2.4617 1.83818 -0.147782 1.35783
150 -2.73218 2.0363 -0.140693 1.47915
151 -2.93807 2.17281 -0.130616 1.56237
152 -3.07644 2.2347 -0.118277 1.60178
153 -3.14509 2.21567 -0.104524 1.5946
154 -3.14264 2.11703 -0.0902779 1.5411
155 -3.06853 1.94749 -0.0764742 1.44458
156 -2.92306 1.72218 -0.064008 1.31115
157 -2.70752 1.4608 -0.053679 1.14935
158 -2.42419 1.18527 -0.0461433 0.969586
159 -2.0765 0.91716 -0.0418733 0.783496
160 -1.66904 0.675334 -0.0411296 0.603161
161 -1.20768 0.473901 -0.0439443 0.440314
162 -0.699588 0.321068 -0.0501193 0.305536
163 -0.153277 0.21931 -0.0592376 0.207512
164 0.421452 0.16632 -0.0706883 0.152405
165 1.01359 0.157673 -0.0837026 0.143391
166 1.61107 0.191476 -0.0974002 0.180408
167 2.20102 0.268162 -0.110842 0.260148
168 2.77006 0.388011 -0.123086 0.376285
169 3.30469 0.549187 -0.133245 0.51995
170 3.7917 0.744757 -0.14054 0.680391
171 4.21866 0.962507 -0.144346 0.84579
172 4.57433 1.18594 -0.144233 1.00414
173 4.84913 1.3962 -0.139991 1.14414
174 5.0355 1.57442 -0.131644 1.25601
175 5.12819 1.70412 -0.11945 1.33219
176 5.12448 1.7734 -0.10389 1.3678
177 5.02427 1.77644 -0.0856357 1.36099
178 4.83008 1.71406 -0.0655165 1.31298
179 4.54695 1.59358 -0.0444691 1.2279
180 4.18224 1.42768 -0.0234842 1.1125
181 3.74539 1.2326 -0.00354959 0.975589
182 3.24757 1.02601 0.0144069 0.827457
183 2.70132 0.824763 0.0295709 0.679136
184 2.12012 0.643741 0.0412882 0.541662
185 1.518 0.495219 0.0491021 0.425328
186 0.909089 0.388169 0.0527788 0.338977
187 0.307218 0.328144 0.0523201 0.289385
188 -0.274483 0.317825 0.047962 0.280763
189 -0.823924 0.358093 0.0401594 0.314424
190 -1.33034 0.449354 0.029558 0.388634
191 -1.78451 0.589765 0.0169549 0.498679
192 -2.17888 0.773884 0.0032508 0.637142
193 -2.50766 0.992447 -0.0106044 0.794394
194 -2.76673 1.23142 -0.0236682 0.959263
195 -2.9536 1.47268 -0.0350622 1.11983
196 -3.06723 1.69593 -0.0440239 1.26433
197 -3.10784 1.88083 -0.0499521 1.382
198 -3.07674 2.00935 -0.0524424 1.46393
199 -2.97611 2.06815 -0.0513106 1.5037
200 -2.80887 2.05032 -0.0466031 1.49789
201 -2.57856 1.95639 -0.0385935 1.44632
202 -2.28926 1.79436 -0.0277651 1.35207
203 -1.94559 1.57871 -0.0147811 1.22119
204 -1.55271 1.32862 -0.000444025 1.06229
205 -1.11637 1.06556 0.0143531 0.885888
206 -0.642969 0.810734 0.0286818 0.703669
207 -0.139574 0.582551 0.0416344 0.527666
208 0.386034 0.394636 0.0523798 0.369455
209 0.92537 0.254558 0.0602149 0.239391
210 1.46929 0.163863 0.0646074 0.14594
211 2.00808 0.119177 0.0652297 0.0951337
212 2.53155 0.115255 0.06198 0.0901944
213 3.02924 0.150089 0.0549901 0.131321
214 3.49061 0.226566 0.0446192 0.215668
215 3.90526 0.348274 0.0314343 0.337517
216 4.26321 0.515091 0.0161778 0.488629
217 4.5552 0.721167 -0.000274784 0.65877
218 4.77304 0.954546 -0.0169655 0.836387
219 4.90987 1.19831 -0.03291 1.00939
220 4.96051 1.4325 -0.0471544 1.16597
221 4.92178 1.63654 -0.0588314 1.29548
222 4.79266 1.79181 -0.0672106 1.38919
223 4.57454 1.88406 -0.0717417 1.44092
224 4.27125 1.90517 -0.0720863 1.44753
225 3.88905 1.85417 -0.0681378 1.40917
226 3.43653 1.73729 -0.0600275 1.32921
227 2.92432 1.567 -0.048117 1.21404
228 2.3648 1.36034 -0.0329769 1.07256
229 1.77167 1.13662 -0.015353 0.915457
230 1.15949 0.91508 0.00387699 0.754443
231 0.543174 0.712476 0.0237554 0.601359
232 -0.0624851 0.541602 0.0433004 0.467327
233 -0.643282 0.410774 0.0615629 0.361961
234 -1.18602 0.325343 0.0776823 0.292714
235 -1.67888 0.288359 0.0909363 0.264398
236 -2.11165 0.300734 0.100782 0.278891
237 -2.47602 0.362934 0.106886 0.335058
238 -2.76562 0.473787 0.109144 0.428856
239 -2.97616 0.629179 0.107685 0.553637
240 -3.10533 0.821267 0.102859 0.700604
241 -3.15283 1.03808 0.0952204 0.859397
242 -3.12015 1.26439 0.0854854 1.01879
243 -3.01043 1.48243 0.0744938 1.16743
244 -2.82824 1.67338 0.0631542 1.29462
245 -2.57932 1.81942 0.0523889 1.39107
246 -2.27034 1.90612 0.0430771 1.44951
247 -1.90859 1.92437 0.0360011 1.46533
248 -1.50181 1.87164 0.031798 1.43687
249 -1.05793 1.75242 0.0309201 1.36563
250 -0.584933 1.57772 0.0336069 1.25622
251 -0.0907645 1.36365 0.0398694 1.11604
252 0.416747 1.12942 0.0494883 0.954788
253 0.929867 0.894813 0.0620256 0.783739
254 1.44093 0.677735 0.0768506 0.614943
255 1.94229 0.492135 0.0931759 0.460314
256 2.42625 0.346899 0.110104 0.330748
257 2.88506 0.245732 0.12668 0.23533
258 3.31092 0.18874 0.141949 0.180674
259 3.69605 0.176106 0.155012 0.170474
260 4.03279 0.208354 0.16508 0.205271
261 4.31378 0.286775 0.17152 0.282462
262 4.53216 0.412742 0.173896 0.39653
263 4.68185 0.584229 0.171993 0.539467
264 4.75776 0.793638 0.165831 0.701366
265 4.75606 1.02854 0.155665 0.871108
266 4.67441 1.27237 0.141974 1.03713
267 4.51217 1.50565 0.125427 1.18817
268 4.27053 1.70823 0.106851 1.31404
269 3.95265 1.86175 0.0871811 1.40628
270 3.56368 1.95199 0.0674056 1.45872
271 3.11075 1.97067 0.0485097 1.46787
272 2.60287 1.91645 0.0314184 1.43323
273 2.0508 1.79518 0.0169434 1.35733
274 1.46678 1.61904 0.00573629 1.24556
275 0.864265 1.40496 -0.00174844 1.1059
276 0.257511 1.1724 -0.00527861 0.948327
277 -0.338834 0.940972 -0.00485669 0.784174
278 -0.910196 0.728158 -0.000718004 0.625304
279 -1.44257 0.547748 0.00668473 0.483249
280 -1.923 0.409305 0.0167097 0.368352
281 -2.34 0.317589 0.0285656 0.288984
282 -2.68397 0.273417 0.0413595 0.250913
283 -2.94744 0.276768 0.0541516 0.256859
284 -3.12531 0.32853 0.0660113 0.306301
285 -3.21491 0.428752 0.0760741 0.39552
286 -3.21599 0.575195 0.083593 0.517906
287 -3.13058 0.761895 0.0879837 0.66446
288 -2.96282 0.978101 0.0888598 0.824482
289 -2.71866 1.20899 0.0860556 0.98636
290 -2.40558 1.43659 0.0796364 1.13841
291 -2.03226 1.64128 0.0698942 1.26968
292 -1.60823 1.80415 0.0573302 1.37072
293 -1.1436 1.90928 0.0426246 1.43419
294 -0.648735 1.94593 0.0265956 1.45537
295 -0.133989 1.90985 0.0101501 1.43238
296 0.39049 1.80395 -0.00577097 1.3664
297 0.914969 1.63792 -0.0202497 1.2615
298 1.43027 1.42702 -0.0324464 1.12444
299 1.92787 1.19015 -0.0416511 0.964221
300 2.39997 0.947503 -0.0473263 0.791517
301 2.83952 0.718084 -0.0491408 0.617968
302 3.2402 0.51746 -0.0469903 0.455411
303 3.59635 0.356093 -0.0410046 0.315066
304 3.90297 0.238665 -0.0315421 0.206744
305 4.1556 0.165455 -0.0191688 0.138128
306 4.3503 0.136936 -0.00462652 0.114191
307 4.48363 0.154435 0.0112101 0.136801
308 4.55268 0.219365 0.0273843 0.204549
309 4.5551 0.332761 0.0429131 0.312828
310 4.48927 0.493357 0.0568447 0.454148
311 4.35441 0.69558 0.0683136 0.618688
312 4.15078 0.928623 0.0765919 0.795022
313 3.8799 1.17675 0.0811314 0.970961
314 3.54466 1.42068 0.0815954 1.13445
315 3.1495 1.63973 0.0778786 1.27443
316 2.70049 1.8144 0.0701126 1.38164
317 2.20531 1.92874 0.0586583 1.4492
318 1.6732 1.97242 0.0440837 1.47311
319 1.11481 1.94198 0.0271307 1.45242
320 0.541935 1.84121 0.00867115 1.38925
321 -0.0327334 1.68063 -0.010345 1.28861
322 -0.59598 1.47612 -0.0289455 1.15802
323 -1.13444 1.24673 -0.0461929 1.00693
324 -1.63498 1.0125 -0.0612397 0.846144
325 -2.08516 0.792182 -0.073378 0.687023
326 -2.47357 0.601335 -0.0820804 0.540783
327 -2.79023 0.450997 -0.0870306 0.41772
328 -3.02695 0.347658 -0.0881409 0.326517
329 -3.17761 0.293618 -0.0855561 0.273642
330 -3.23837 0.28759 -0.079644 0.262874
331 -3.20784 0.327766 -0.0709722 0.295005
332 -3.08715 0.412668 -0.0602726 0.367739
333 -2.87988 0.540481 -0.0483971 0.475817
334 -2.59195 0.707424 -0.0362652 0.611353
335 -2.23139 0.905685 -0.0248083 0.764385
336 -1.808 1.12238 -0.0149129 0.923589
337 -1.33297 1.34063 -0.00736661 1.07712
338 -0.818483 1.54151 -0.0028102 1.21348
339 -0.277205 1.70614 -0.00169825 1.32243
340 0.278095 1.81805 -0.00427114 1.39571
341 0.834966 1.8654 -0.0105397 1.42769
342 1.38161 1.8426 -0.0202838 1.41578
343 1.90716 1.75118 -0.0330646 1.36057
344 2.40185 1.59958 -0.0482496 1.2658
345 2.85717 1.40207 -0.0650506 1.13804
346 3.26587 1.17684 -0.082569 0.986161
347 3.62201 0.943689 -0.0998498 0.820735
348 3.92088 0.721466 -0.115938 0.65324
349 4.15893 0.525864 -0.129935 0.495286
350 4.33369 0.367719 -0.141051 0.357825
351 4.44368 0.252486 -0.148658 0.250426
352 4.48832 0.181905 -0.152317 0.180651
353 4.46783 0.156749 -0.151814 0.153555
354 4.38319 0.177933 -0.147171 0.171351
355 4.23605 0.244947 -0.138642 0.233247
356 4.0287 0.357722 -0.1267 0.335468
357 3.76408 0.516514 -0.112015 0.471477
358 3.44576 0.718179 -0.0954069 0.632374
359 3.07799 0.953495 -0.0778035 0.807465
360 2.66576 1.20751 -0.0601843 0.984977
361 2.21486 1.46108 -0.0435241 1.15287
362 1.73195 1.69304 -0.0287355 1.29966
363 1.22458 1.88284 -0.0166162 1.4153
364 0.701285 2.01307 -0.00780293 1.49189
365 0.171473 2.0717 -0.00273413 1.52425
366 -0.354624 2.05362 -0.00162551 1.51038
367 -0.866132 1.96121 -0.00445799 1.45156
368 -1.35178 1.80402 -0.0109799 1.35225
369 -1.80019 1.5974 -0.0207229 1.21977
370 -2.20026 1.3605 -0.0330306 1.06374
371 -2.54156 1.11379 -0.0470983 0.895333
372 -2.81469 0.876695 -0.0620214 0.726448
373 -3.01171 0.66552 -0.0768502 0.56886
374 -3.12644 0.491912 -0.0906459 0.433378
375 -3.15477 0.362825 -0.102538 0.329111
376 -3.09483 0.281458 -0.111774 0.262864
377 -2.94709 0.249473 -0.117768 0.238719
378 -2.71445 0.267632 -0.120131 0.257801
379 -2.40209 0.334831 -0.118696 0.318241
380 -2.0174 0.448617 -0.113531 0.415338
381 -1.5697 0.604475 -0.104926 0.541888
382 -1.06999 0.794198 -0.0933856 0.688672
383 -0.530618 1.00591 -0.0795892 0.845072
384 0.0351492 1.22406 -0.0643562 0.999782
385 0.613507 1.43062 -0.0485937 1.14156
386 1.19057 1.60702 -0.0332421 1.26003
387 1.75279 1.73635 -0.0192185 1.34637
388 2.28741 1.80556 -0.00736125 1.394
389 2.78278 1.80731 0.00162131 1.3991
390 3.22875 1.74096 0.00719365 1.36087
391 3.61684 1.6128 0.00902617 1.28171
392 3.94043 1.43526 0.00701578 1.16703
393 4.19482 1.2253 0.00129316 1.02491
394 4.37715 1.00213 -0.00778401 0.865511
395 4.48635 0.784803 -0.0196512 0.700341
396 4.52292 0.589747 -0.0335699 0.541372
397 4.48873 0.428863 -0.0486702 0.400164
398 4.38677 0.308274 -0.0640021 0.286996
399 4.22094 0.228634 -0.0785911 0.210122
400 3.99584 0.189837 -0.0914954 0.17518
401 3.71658 0.194044 -0.101862 0.18481
402 3.38868 0.244318 -0.108975 0.238507
403 3.01799 0.343265 -0.112301 0.332692
404 2.61063 0.491455 -0.111519 0.461005
405 2.17296 0.685121 -0.106538 0.614772
406 1.71164 0.914663 -0.0975055 0.783618
407 1.23359 1.16529 -0.0847973 0.956175
408 0.746024 1.41813 -0.0689954 1.12085
409 0.25645 1.65221 -0.0508548 1.26656
410 -0.227329 1.84684 -0.0312585 1.3835
411 -0.697257 1.98408 -0.0111664 1.46376
412 -1.14507 2.05095 0.00844103 1.50187
413 -1.56238 2.04111 0.0266202 1.49518
414 -1.94079 1.95566 0.0425193 1.44408
415 -2.27204 1.80301 0.0554273 1.35202
416 -2.54822 1.59782 0.0648158 1.22529
417 -2.76195 1.35911 0.0703682 1.07266
418 -2.90672 1.10788 0.0719977 0.90474
