n t PE VE R R2 BS
9000 0 17.107 15.419 0.00743123 4.61147 0.288302
19000 6.43e+07 18.1769 17.306 0.0141856 5.13925 0.322674
29000 6.429e+07 18.4949 17.2489 0.0178513 5.19901 0.314657
39000 6.43e+07 18.1082 17.1242 0.00990893 5.1442 0.310763
49000 6.43e+07 18.4614 17.5167 -0.0175371 5.18976 0.319275
59000 6.43e+07 18.4783 17.4381 0.019804 5.24751 0.311683
69000 6.43e+07 18.6007 17.0769 -0.0018354 5.17856 0.304664
79000 6.43e+07 18.0641 17.1051 0.000933968 5.1364 0.314695
89000 6.431e+07 18.473 17.4577 0.00463089 5.17135 0.322392
99000 6.43e+07 18.3569 17.2896 0.0113359 5.17079 0.316839
109000 6.43e+07 18.4144 17.3645 -0.0374742 5.19484 0.316429
119000 6.43e+07 18.2377 17.3243 0.000226762 5.17068 0.317365
129000 6.43e+07 18.3886 17.4615 0.00606442 5.17004 0.323568
139000 6.43e+07 18.3189 17.1405 -0.00439738 5.17954 0.306793
149000 6.431e+07 18.3473 17.3166 0.000147759 5.20603 0.312625
159000 6.435e+07 18.3571 17.1407 0.00821535 5.16131 0.310862
169000 6.445e+07 18.2921 17.2364 0.000798288 5.15306 0.321265
179000 6.444e+07 18.3487 17.1986 0.010501 5.18151 0.307203
189000 6.444e+07 18.6969 17.4375 0.010194 5.21283 0.315294
199000 6.445e+07 18.4745 17.4925 -0.00983531 5.183 0.323781
209000 6.446e+07 18.5852 17.1302 -0.00250099 5.1495 0.310807
219000 6.446e+07 18.4025 17.2142 0.00398546 5.14455 0.315211
229000 6.444e+07 18.5783 17.3339 -0.000104023 5.18862 0.317371
239000 6.446e+07 18.1911 17.2297 0.0155927 5.12899 0.320276
249000 6.446e+07 18.155 17.3294 0.0118759 5.18944 0.313416
259000 6.446e+07 18.4212 17.3332 -0.0154223 5.19928 0.312179
269000 6.444e+07 18.323 17.1953 0.0038808 5.16586 0.314168
279000 6.448e+07 18.3649 17.0345 -0.009126 5.16919 0.30641
289000 6.444e+07 18.3314 17.2734 -0.0025609 5.15454 0.319213
299000 6.446e+07 18.7196 17.1529 -0.00135119 5.20246 0.303505
309000 6.445e+07 18.5178 17.1121 -0.0139987 5.15567 0.311707
319000 6.446e+07 18.2785 17.406 0.00557677 5.16125 0.321491
329000 6.445e+07 18.6941 17.3771 -0.00295248 5.19189 0.314493
