n t PE VE R R2 BS
9000 0 37.4164 34.2134 0.376072 7.83799 0.199401
19000 1.78e+06 39.9862 36.1828 -0.0705308 8.41057 0.217393
29000 1.78e+06 40.3632 36.5009 -0.100245 8.52152 0.211923
39000 1.77e+06 40.0519 37.0595 0.108023 8.48937 0.226293
49000 1.78e+06 40.0856 36.9964 0.0289781 8.48023 0.226526
59000 1.78e+06 39.7776 35.7648 0.0273169 8.37902 0.209601
69000 1.78e+06 39.9489 36.099 0.130932 8.45069 0.212907
79000 1.78e+06 39.3901 35.9284 0.0623069 8.26438 0.223334
89000 1.78e+06 40.3332 36.9771 0.0426104 8.49986 0.223768
99000 1.78e+06 39.5918 35.8967 -0.0494635 8.29488 0.21709
109000 1.78e+06 39.7751 36.3292 -0.16996 8.37177 0.219261
119000 1.78e+06 39.5183 36.2402 0.120761 8.28705 0.220849
129000 1.77e+06 39.9323 36.1725 -0.00978709 8.36703 0.217392
139000 1.78e+06 39.38 36.0545 -0.0604087 8.25676 0.223163
149000 1.78e+06 40.4166 37.1047 -0.0569241 8.56353 0.222891
159000 1.78e+06 39.4627 36.4046 -0.0267225 8.21105 0.226235
169000 1.78e+06 39.8647 36.5543 -0.0674961 8.43553 0.223992
179000 1.78e+06 39.7594 36.6621 0.2022 8.38387 0.227396
189000 1.77e+06 39.3216 35.2228 0.0435683 8.19593 0.20855
199000 1.78e+06 40.0062 36.2898 -0.135028 8.35464 0.217506
209000 1.78e+06 40.0358 36.6549 0.174251 8.42556 0.220832
219000 1.78e+06 40.1005 36.3689 -0.0898872 8.42756 0.213837
229000 1.78e+06 39.6625 36.121 0.107289 8.32026 0.220201
239000 1.78e+06 39.907 36.4367 -0.171267 8.41394 0.221694
249000 1.78e+06 40.5818 37.9893 -0.033311 8.65181 0.233213
259000 1.78e+06 39.6557 37.3272 0.0404874 8.39783 0.23748
269000 1.78e+06 39.9215 36.6232 -0.0229969 8.39158 0.220804
279000 1.78e+06 40.2833 36.977 0.0573654 8.49123 0.22467
289000 1.77e+06 40.3606 36.1118 0.108349 8.46448 0.210653
299000 1.78e+06 39.593 36.1054 -0.114562 8.27569 0.223977
309000 1.78e+06 39.3124 35.8075 -0.0382718 8.21104 0.222056
319000 1.78e+06 40.3327 36.9223 0.09026 8.44349 0.221368
329000 1.78e+06 39.8743 37.5482 0.0590596 8.43205 0.23957
339000 1.78e+06 39.7189 36.0694 -0.0934127 8.32551 0.220472
349000 1.78e+06 39.832 36.1837 -0.0389209 8.38294 0.219907
359000 1.78e+06 40.274 37.0419 -0.216779 8.50656 0.224899
369000 1.77e+06 39.9952 36.9744 -0.0630267 8.44245 0.23047
379000 1.78e+06 39.6973 36.2855 -0.102232 8.36369 0.219155
389000 1.78e+06 39.3086 36.9011 -0.0238638 8.29649 0.237662
399000 1.78e+06 39.4411 36.3425 -0.0396227 8.28036 0.229022
409000 1.78e+06 39.935 36.7355 -0.143351 8.43429 0.224886
419000 1.78e+06 40.3573 36.9855 0.00403494 8.512 0.221408
429000 1.78e+06 40.178 36.3282 -0.0196372 8.47524 0.215562
439000 1.78e+06 40.0966 36.3234 -0.115446 8.39781 0.218415
449000 1.77e+06 39.7873 37.0317 0.0242033 8.42529 0.225985
459000 1.78e+06 40.0665 37.09 0.104986 8.44925 0.232671
469000 1.78e+06 39.309 36.498 -0.0959913 8.28414 0.232068
479000 1.78e+06 39.6095 35.799 0.0570875 8.26947 0.215722
