r r 
0.468593 -0.120108 
-0.325464 -0.339598 
-0.0394531 -0.0517324 
-0.0913136 0.100288 
0.0775152 0.0303492 
0.0612027 -0.14266 
-0.132181 -0.0962823 
-0.0661649 0.246198 
0.409135 0.33061 
0.466601 -0.120059 
-0.318678 -0.332856 
-0.039842 -0.0521594 
-0.0972307 0.0930449 
0.0834417 0.0361294 
0.0552341 -0.14734 
-0.134671 -0.0986613 
-0.0651098 0.246301 
0.413008 0.334239 
0.464698 -0.119939 
-0.309703 -0.323917 
-0.0405462 -0.0528943 
-0.102819 0.0861994 
0.0880693 0.0406388 
0.0520696 -0.149278 
-0.137897 -0.101797 
-0.0674142 0.243043 
0.417397 0.338431 
0.460917 -0.121717 
-0.301427 -0.315668 
-0.0403336 -0.0527059 
-0.108179 0.0796462 
0.0939828 0.0464594 
0.0504575 -0.149721 
-0.140995 -0.104824 
-0.0701598 0.239342 
0.421756 0.342636 
0.456691 -0.123957 
-0.30054 -0.314803 
-0.0376826 -0.0500731 
-0.113583 0.0731069 
0.0972917 0.0496984 
0.0473411 -0.15172 
-0.150641 -0.114417 
-0.0728449 0.2357 
0.420728 0.341491 
0.453632 -0.125045 
-0.300942 -0.315219 
-0.0360122 -0.0484155 
-0.12051 0.065096 
0.102339 0.0546971 
0.0445352 -0.153455 
-0.158847 -0.122585 
-0.0760698 0.231517 
0.418189 0.33887 
0.452566 -0.124157 
-0.301972 -0.316257 
-0.0340651 -0.0464763 
-0.12829 0.0562813 
0.105667 0.0579946 
0.0401867 -0.156776 
-0.168726 -0.132442 
-0.0798592 0.22677 
0.415028 0.335659 
0.452134 -0.122648 
-0.302124 -0.316414 
-0.0339895 -0.0464041 
-0.137447 0.0461318 
0.109838 0.0621521 
0.0353798 -0.160595 
-0.177081 -0.140786 
-0.0841231 0.221548 
0.411489 0.332099 
0.449093 -0.123763 
-0.298931 -0.31322 
-0.0337657 -0.0461797 
-0.143904 0.0387236 
0.11479 0.0671068 
0.0275365 -0.167486 
-0.183669 -0.147377 
-0.0895076 0.215205 
0.410196 0.330809 
0.447834 -0.123108 
-0.294746 -0.30903 
-0.0316672 -0.0440769 
-0.150191 0.03152 
0.122467 0.0747995 
0.0185036 -0.175598 
-0.189433 -0.153153 
-0.0950765 0.208679 
0.409841 0.330481 
0.448319 -0.12072 
-0.286213 -0.300488 
-0.0286496 -0.0410518 
-0.155647 0.0251812 
0.12641 0.0787714 
0.0159687 -0.177243 
-0.194875 -0.158617 
-0.0991774 0.203621 
0.408888 0.329576 
0.448786 -0.118364 
-0.275584 -0.289847 
-0.0282328 -0.0406245 
-0.158715 0.021261 
0.130876 0.0832779 
0.0112608 -0.181088 
-0.198732 -0.162504 
-0.103532 0.19831 
0.409095 0.32985 
0.447744 -0.117526 
-0.259739 -0.273987 
-0.0301779 -0.0425565 
-0.157176 0.0219747 
0.132693 0.0851455 
0.00656297 -0.184948 
-0.201752 -0.165563 
-0.108264 0.192624 
0.408237 0.329077 
0.446599 -0.116803 
-0.248379 -0.262609 
-0.0315444 -0.0439073 
-0.153698 0.0246533 
0.133709 0.0862214 
0.00240397 -0.188291 
-0.20503 -0.168887 
-0.114782 0.185153 
0.413343 0.334283 
