t PE VE R R2
1 -2.11269 0.772212 0.449423 0.433747
2 0.789389 0.793129 0.529859 0.489137
3 2.11957 0.743162 0.486434 0.400609
4 1.32298 0.608484 0.253724 0.168769
5 0.0829025 0.552092 -0.1651 0.085856
6 -0.56312 0.758371 -0.662062 0.482698
7 -1.89095 1.23126 -1.09253 1.3222
8 -3.89879 1.81104 -1.38984 2.21601
9 -3.84875 2.14415 -1.50936 2.66321
10 -2.3208 2.01394 -1.44086 2.43909
11 -0.570297 1.50337 -1.20161 1.67786
12 0.874499 1.01166 -0.891349 0.913922
13 1.55762 0.726239 -0.583595 0.421027
14 1.89704 0.643388 -0.379678 0.240025
15 2.31978 0.64323 -0.32111 0.219926
16 2.7046 0.654591 -0.358321 0.238208
17 2.82637 0.668368 -0.439172 0.276819
18 2.58808 0.69132 -0.533673 0.343563
19 2.29804 0.707243 -0.579429 0.385929
20 2.35244 0.68482 -0.539306 0.342879
21 1.8403 0.631768 -0.417484 0.237396
22 -0.172555 0.588722 -0.267899 0.148618
23 -1.77496 0.567707 -0.169829 0.106039
24 -2.63529 0.607523 -0.19494 0.150557
25 -3.58476 0.679261 -0.200257 0.224694
26 -4.18172 0.670741 -0.0769739 0.202881
27 -4.59544 0.653333 0.0351086 0.183801
28 -3.2247 0.616315 0.144812 0.155336
29 -0.472593 0.578847 0.211715 0.125459
30 1.32154 0.552663 0.195313 0.0895099
31 1.07056 0.55415 0.165112 0.0872878
32 0.539789 0.555494 0.109227 0.0842037
33 0.669754 0.546535 0.0426602 0.0697832
34 1.19643 0.540789 -0.0297765 0.0616078
35 2.187 0.538062 -0.0846332 0.0597167
36 3.03661 0.532348 -0.0920338 0.0531578
37 2.73357 0.529052 -0.0613193 0.0473004
38 2.18816 0.528931 -0.035488 0.0448303
39 2.36552 0.52821 -0.0642097 0.0441506
40 2.23401 0.548196 -0.151498 0.0763509
41 1.4313 0.590391 -0.235248 0.13887
42 0.356534 0.638019 -0.325682 0.21384
43 0.170779 0.675582 -0.425727 0.290109
44 1.07636 0.679843 -0.485861 0.320387
45 2.0776 0.670516 -0.510313 0.31776
46 2.55992 0.684252 -0.544287 0.343492
47 2.63844 0.719259 -0.60689 0.409068
48 2.71282 0.815181 -0.749847 0.599824
49 2.22462 0.948176 -0.899533 0.855064
50 1.60874 1.04863 -0.990843 1.03976
51 1.00453 1.09226 -1.02474 1.11623
52 1.46151 1.04791 -0.986361 1.03478
53 2.90414 0.922973 -0.872107 0.806876
54 3.99554 0.766993 -0.69796 0.515568
55 3.95336 0.648409 -0.515801 0.286369
56 2.68673 0.592382 -0.378662 0.174573
57 0.916881 0.598266 -0.327117 0.173004
58 -0.449331 0.668091 -0.389366 0.278957
59 -1.36481 0.803766 -0.531991 0.489742
60 -1.39514 0.903491 -0.619164 0.637971
61 -0.820868 0.821723 -0.524883 0.501388
62 0.291471 0.671581 -0.391361 0.283761
63 0.703137 0.550748 -0.197829 0.0876116
64 0.127915 0.520875 -0.00510809 0.033931
65 0.58658 0.542722 0.182678 0.0727327
66 1.33632 0.617022 0.387255 0.203881
67 1.56509 0.72168 0.569847 0.392083
68 1.21481 0.79847 0.691484 0.543359
69 1.36568 0.823649 0.749226 0.609458
70 2.17901 0.848074 0.796626 0.66921
71 2.65941 0.951596 0.915523 0.871908
72 2.26961 1.09735 1.05205 1.14879
73 1.5643 1.15888 1.09499 1.25366
74 1.13077 1.13881 1.05698 1.19219
75 0.132491 1.08539 0.964904 1.04954
76 -0.0207142 1.0777 0.936535 1.02068
77 1.9754 1.15175 1.04964 1.20381
78 2.76284 1.27926 1.1892 1.4823
79 2.34631 1.39796 1.27848 1.70493
80 2.37146 1.4661 1.31682 1.81682
81 2.90653 1.42633 1.27743 1.72463
82 3.16285 1.25232 1.13442 1.3847
83 2.41857 0.994145 0.9079 0.90709
84 1.30311 0.772013 0.672091 0.505112
85 1.05607 0.647359 0.491491 0.276636
86 1.40688 0.583317 0.357214 0.157706
87 1.42168 0.549084 0.224413 0.0877865
88 1.04556 0.544174 0.0716424 0.0677126
89 -0.623771 0.564603 -0.0854596 0.0954349
90 -2.50085 0.59715 -0.216044 0.150213
91 -3.22432 0.616563 -0.279609 0.184487
92 -2.87893 0.627714 -0.300375 0.202549
93 -1.76743 0.644677 -0.330106 0.227814
94 -2.88448 0.684476 -0.384482 0.285657
95 -6.75419 0.73291 -0.399161 0.343176
96 -11.1159 0.766464 -0.364168 0.369758
97 -11.5221 0.769793 -0.324826 0.367886
98 -7.03391 0.736984 -0.291857 0.330127
99 -0.571423 0.667396 -0.297293 0.255452
100 1.91501 0.609935 -0.312119 0.185284
