t PE VE R R2 BS
0 19482.6 128631 -1.1882 22539.3 23.1831
1 19739.9 131045 -1.19812 22836.7 23.3345
2 19998.5 133486 -1.20803 23135.5 23.4861
3 20258.4 135953 -1.21794 23435.9 23.6376
4 20519.5 138448 -1.22787 23737.7 23.7888
5 20781.8 140969 -1.2378 24040.9 23.9399
6 21045.3 143518 -1.24773 24345.6 24.0907
7 21310.1 146094 -1.25766 24651.8 24.2414
8 21576.1 148697 -1.26758 24959.3 24.3918
9 21843.3 151327 -1.27748 25268.3 24.5421
10 22111.7 153985 -1.28734 25578.6 24.6921
11 22381.3 156670 -1.29718 25890.4 24.8419
12 22652 159382 -1.30701 26203.5 24.9916
13 22924 162122 -1.31685 26518 25.141
14 23197.1 164890 -1.32666 26833.9 25.2902
15 23471.3 167685 -1.33644 27151.1 25.4392
16 23746.7 170508 -1.34625 27469.6 25.588
17 24023.1 173359 -1.35608 27789.5 25.7367
18 24300.8 176238 -1.36587 28110.7 25.8851
19 24579.5 179144 -1.37564 28433.2 26.0333
20 24859.3 182079 -1.38541 28756.9 26.1813
21 25140.2 185041 -1.39516 29082 26.3291
22 25422.2 188031 -1.4049 29408.4 26.4767
23 25705.3 191050 -1.4146 29736 26.6241
24 25989.4 194096 -1.42428 30064.9 26.7713
25 26274.6 197171 -1.43395 30395 26.9184
26 26560.9 200274 -1.44363 30726.4 27.0652
27 26848.1 203405 -1.45329 31059 27.2118
28 27136.4 206565 -1.46292 31392.8 27.3581
29 27425.8 209753 -1.47251 31727.8 27.5043
30 27716.1 212969 -1.48208 32064 27.6503
31 28007.5 216213 -1.49158 32401.5 27.7961
32 28299.8 219486 -1.50107 32740.1 27.9416
33 28593.1 222788 -1.51055 33079.8 28.087
34 28887.5 226118 -1.51999 33420.8 28.2322
35 29182.7 229476 -1.52942 33762.9 28.3771
36 29479 232863 -1.53882 34106.1 28.5219
37 29776.2 236279 -1.54821 34450.5 28.6665
38 30074.4 239724 -1.55757 34796 28.8108
39 30373.4 243197 -1.5669 35142.6 28.955
40 30673.4 246699 -1.57624 35490.3 29.0989
41 30974.3 250230 -1.58557 35839.1 29.2427
42 31276.2 253790 -1.59493 36189 29.3862
43 31578.9 257378 -1.60426 36540 29.5296
44 31882.4 260996 -1.61355 36892 29.6727
45 32186.9 264642 -1.6228 37245.1 29.8156
46 32492.3 268318 -1.63204 37599.2 29.9584
47 32798.5 272022 -1.64127 37954.3 30.1009
48 33105.5 275756 -1.65051 38310.5 30.2433
49 33413.4 279518 -1.6597 38667.7 30.3854
50 33722.2 283310 -1.66887 39025.9 30.5274
51 34031.7 287131 -1.67799 39385.1 30.6692
52 34342.1 290980 -1.68712 39745.3 30.8107
53 34653.3 294859 -1.69622 40106.4 30.952
54 34965.3 298767 -1.70531 40468.6 31.0932
55 35278.1 302704 -1.71443 40831.6 31.2341
56 35591.6 306670 -1.72353 41195.7 31.3748
57 35906 310666 -1.73264 41560.6 31.5153
