n t PE VE R R2 BS
9000 0 0.853208 0.81355 0.000256239 0.396962 0.435153
19000 1.34034e+07 0.948459 0.990418 -0.0205063 0.477231 0.496512
29000 1.34001e+07 0.94761 0.928706 0.0612589 0.464574 0.476573
39000 1.34001e+07 0.873576 0.915842 -0.0616953 0.435394 0.480452
49000 1.3407e+07 1.07887 1.06887 0.0877122 0.528412 0.513252
59000 1.34052e+07 1.05417 1.1658 0.0538045 0.59745 0.516017
69000 1.33976e+07 1.20171 1.06415 -0.0260277 0.59749 0.471697
79000 1.3408e+07 1.07423 1.12573 0.0367737 0.522053 0.524458
89000 1.34035e+07 0.959422 1.01378 -0.0845687 0.527083 0.488311
99000 1.34004e+07 0.912907 0.895092 0.20662 0.446597 0.471912
109000 1.33991e+07 1.14024 1.11563 0.0581096 0.550005 0.520382
119000 1.3404e+07 0.783388 0.815644 -0.0248159 0.383785 0.46119
129000 1.34103e+07 0.967145 0.915182 0.0556804 0.487357 0.461768
139000 1.34078e+07 0.980087 0.912306 -0.00397631 0.464286 0.469523
149000 1.3404e+07 1.03602 1.01523 -0.0800156 0.52898 0.480613
159000 1.34013e+07 0.939696 0.86315 -0.152283 0.42535 0.462587
169000 1.34039e+07 0.912049 0.895564 -0.0667568 0.434748 0.470236
179000 1.34033e+07 1.0929 0.969507 0.0428642 0.503837 0.480925
189000 1.3407e+07 1.0596 1.0079 -0.0746168 0.491476 0.502104
199000 1.3403e+07 1.03038 1.07893 0.032772 0.554776 0.492236
209000 1.34004e+07 0.879018 0.873279 -0.00395711 0.452627 0.458498
219000 1.34061e+07 0.996951 0.925013 -0.128231 0.462204 0.480336
229000 1.34055e+07 1.02816 1.10579 0.181621 0.551824 0.513341
239000 1.34023e+07 0.923585 1.01557 -0.0404895 0.508423 0.493039
249000 1.34096e+07 1.07422 0.953527 -0.145344 0.514242 0.458044
259000 1.33998e+07 0.885044 0.852788 -0.0119144 0.417885 0.465356
269000 1.33965e+07 0.883185 0.906443 0.0306554 0.486684 0.44748
279000 1.34049e+07 0.98794 1.04766 0.112732 0.528605 0.491434
289000 1.34022e+07 0.947534 0.962983 0.000122455 0.483039 0.490424
299000 1.34018e+07 1.12484 1.02165 0.0701954 0.506813 0.50187
309000 1.34105e+07 1.11723 1.10345 -0.0886608 0.558844 0.516287
319000 1.33976e+07 0.910004 0.977456 -0.128896 0.483343 0.486299
329000 1.33972e+07 0.901185 0.795277 -0.100989 0.389094 0.443819
339000 1.34039e+07 0.890321 0.939038 0.105363 0.453097 0.486167
349000 1.34e+07 0.899913 0.940617 -0.123456 0.487378 0.470852
359000 1.33988e+07 1.05349 0.973368 0.0723078 0.521111 0.46736
369000 1.34082e+07 1.02896 0.949501 -0.0127057 0.471255 0.478802
379000 1.34e+07 0.993246 1.03754 -0.0991761 0.53978 0.490354
389000 1.33987e+07 0.963541 0.987935 -0.13165 0.496629 0.481868
399000 1.34056e+07 1.09075 1.0944 -0.0790175 0.538745 0.525168
409000 1.34093e+07 0.891963 0.825148 -0.0993542 0.40547 0.456023
419000 1.34015e+07 0.987036 0.89579 -0.0590961 0.469484 0.463329
429000 1.34025e+07 1.04846 1.02667 0.170487 0.548934 0.487638
439000 1.34025e+07 0.949383 1.00518 -0.14968 0.511557 0.490311
449000 1.34047e+07 1.06255 1.06957 -0.0417765 0.562259 0.489487
459000 1.34049e+07 1.05153 1.09047 0.0356495 0.57054 0.500322
469000 1.34052e+07 0.947899 0.926583 0.0362914 0.483317 0.466143
479000 1.34079e+07 1.05376 1.04209 0.135966 0.51869 0.490979
489000 1.34079e+07 0.874095 1.14008 -0.0435595 0.527779 0.541773
499000 1.34024e+07 0.89102 0.869812 -0.0375668 0.440646 0.452881
509000 1.34021e+07 1.09159 0.998436 -0.0032757 0.508345 0.47881
519000 1.3406e+07 0.848932 0.837619 -0.0384883 0.421842 0.456372
529000 1.33988e+07 1.09256 1.10089 -0.0761039 0.532022 0.489563
539000 1.34039e+07 0.977386 1.20107 0.0329679 0.537569 0.549064
549000 1.33991e+07 0.986798 0.899525 0.0213532 0.48947 0.448357
559000 1.34044e+07 0.988309 0.983123 -0.0465452 0.524485 0.459282
569000 1.34008e+07 0.990744 0.9891 0.0166405 0.509025 0.483483
579000 1.34041e+07 1.12881 1.16148 -0.10061 0.592712 0.528558
589000 1.34063e+07 0.982492 0.973203 0.0128936 0.467341 0.485801
599000 1.3405e+07 1.1388 1.15998 -0.129912 0.641739 0.496879
609000 1.34106e+07 0.938242 0.931016 -0.0696925 0.466713 0.470927
619000 1.34006e+07 0.996428 1.15857 0.0858387 0.571128 0.521949
629000 1.34115e+07 1.0632 1.00407 -0.196325 0.522334 0.484753
639000 1.34022e+07 0.850234 0.904772 0.0597074 0.412979 0.483286
649000 1.34095e+07 0.860721 0.911213 0.20899 0.480192 0.453197
659000 1.34033e+07 1.05794 1.24207 0.242453 0.623587 0.550807
669000 1.33994e+07 1.11435 1.05336 -0.168923 0.563839 0.489486
679000 1.34043e+07 0.961121 0.969765 0.0682374 0.489387 0.48604
689000 1.34045e+07 1.09508 0.957577 -0.182795 0.517832 0.462424
699000 1.34075e+07 0.982027 0.84506 0.0136991 0.407824 0.466401
709000 1.34023e+07 0.864931 0.834021 0.0331405 0.389489 0.459806
719000 1.34091e+07 1.20746 1.181 0.0921855 0.676844 0.498155
729000 1.34015e+07 0.886965 0.927503 -0.010677 0.462448 0.47195
739000 1.3406e+07 1.00437 0.94448 0.141799 0.468672 0.493999
749000 1.34112e+07 0.991157 1.01018 -0.0124286 0.49888 0.500091
759000 1.3406e+07 1.00938 1.03567 -0.00372165 0.53678 0.487972
769000 1.33958e+07 1.04753 1.03323 0.128021 0.518735 0.50531
779000 1.33997e+07 0.961401 0.933741 -0.0629181 0.449458 0.49333
789000 1.34109e+07 1.13442 1.09989 -0.0454424 0.555482 0.510431
799000 1.34034e+07 1.04079 0.940912 -0.0112851 0.477662 0.45946
809000 1.34028e+07 1.0545 0.998617 0.186969 0.50688 0.488432
819000 1.34002e+07 0.903664 0.936721 -0.0740351 0.470642 0.469979
829000 1.34005e+07 1.05058 1.04291 -0.157343 0.572403 0.473791
839000 1.34082e+07 1.06892 0.96995 -0.0125628 0.45545 0.498584
849000 1.34025e+07 0.929183 1.03034 -0.0448441 0.516084 0.500278
859000 1.34034e+07 1.107 0.889141 0.00199473 0.462255 0.456239
869000 1.34092e+07 1.11737 0.967134 0.0348971 0.47496 0.490124
879000 1.34016e+07 0.968575 0.970434 0.134947 0.488194 0.478263
889000 1.34006e+07 1.11995 1.04483 0.108075 0.536129 0.492282
899000 1.34064e+07 0.900453 1.11912 0.0604088 0.57054 0.516705
909000 1.34004e+07 1.07791 1.13998 0.194831 0.610421 0.505661
919000 1.34029e+07 1.09966 0.965616 0.168564 0.525425 0.467809
929000 1.34051e+07 0.967281 0.914833 0.0662146 0.444783 0.482012
939000 1.34068e+07 1.00062 0.963744 -0.00575186 0.498874 0.477079
949000 1.34006e+07 0.93439 0.908488 0.067625 0.469293 0.465619
959000 1.34013e+07 1.14601 1.0561 -0.159003 0.573863 0.481118
969000 1.34007e+07 1.01777 1.14978 0.0798262 0.599231 0.514825
979000 1.34028e+07 1.04833 0.8273 0.0541044 0.42572 0.452649
989000 1.34019e+07 1.03438 1.0143 0.0814676 0.543505 0.47864
999000 1.33978e+07 0.946315 1.00926 0.126547 0.515062 0.48283
