n t PE VE R R2 BS
0 0 0.00804041 0.00246378 0.000165056 0.00143019 0.000253032
1000 183850 4.84656 3.57313 0.0264781 2.39319 0.226036
2000 182717 1.8587 2.32156 0.141218 1.20453 0.214336
3000 182149 0.508625 3.09142 -0.395185 1.88555 0.238523
4000 181705 0.274528 2.92066 -0.62037 1.8213 0.205562
5000 182003 2.10535 3.83513 0.533367 2.5784 0.211111
6000 182244 2.59005 3.02587 0.463266 1.83069 0.24299
7000 182033 2.01241 2.64599 0.161906 1.46947 0.231206
8000 182723 0.864885 3.38312 0.203805 2.12074 0.21719
9000 182202 4.13119 3.39437 0.376683 2.24699 0.206097
10000 182217 2.1825 3.48867 0.439613 2.23308 0.245353
11000 182010 4.23053 3.78915 0.133548 2.48082 0.215424
12000 182039 3.46038 3.35847 -0.123114 2.18641 0.206659
13000 182042 6.36993 2.77478 -0.124343 1.60142 0.194021
14000 182162 6.33878 4.10872 -0.738578 3.04604 0.209795
15000 182217 0.101934 2.77434 -0.0622612 1.5711 0.216433
16000 182053 3.64966 3.14905 0.354204 1.86766 0.203483
17000 182094 4.25916 2.99183 -0.339841 1.78237 0.206673
18000 181989 3.69755 3.15131 -0.623635 1.99959 0.211167
19000 182193 4.10656 3.07464 -0.232527 1.94649 0.224241
20000 182643 3.63944 2.90794 -0.509333 1.68921 0.220694
21000 182267 4.37402 3.83429 0.225308 2.50216 0.226123
22000 182149 4.659 2.7803 -0.19966 1.64297 0.202456
23000 182093 4.44409 3.06268 0.390013 1.86697 0.223972
24000 181935 1.63361 3.58288 0.197289 2.33919 0.231338
25000 182162 4.53915 2.94908 -0.105431 1.8487 0.207558
26000 182331 4.26453 2.55397 -0.36446 1.51187 0.200303
27000 182018 2.37511 2.84679 0.391686 1.8295 0.215727
28000 181938 3.93241 3.02421 0.552293 1.81887 0.226808
29000 182090 1.60554 2.73514 0.341157 1.62828 0.207273
30000 182020 0.626995 4.64774 -0.0411448 3.44363 0.233536
31000 182167 4.00124 2.42708 0.0150353 1.35147 0.209494
32000 182259 3.51443 2.45334 -0.203409 1.38213 0.194696
33000 181942 2.35511 3.17256 -0.393942 1.92653 0.210435
34000 182008 6.16116 2.70279 0.382457 1.65841 0.218088
35000 181981 1.18499 3.41904 -0.304392 1.96812 0.255608
36000 182176 4.11112 3.35561 0.242322 2.2595 0.201072
37000 182143 7.24445 3.0702 -0.211435 1.98896 0.21009
38000 182064 3.61972 3.51533 0.258533 2.23542 0.228409
39000 181964 1.56229 3.73529 0.309676 2.39236 0.229954
40000 182002 3.41398 3.12955 0.0354515 2.00552 0.198036
