t PE VE R R2 BS
1 0.409732 2.38863 0.0755337 0.878257 0.711425
2 0.457464 2.22119 0.0997261 0.838895 0.69539
3 0.522217 2.03552 0.119387 0.791339 0.676415
4 0.589856 1.86004 0.129424 0.746495 0.658903
5 0.651346 1.71416 0.124069 0.704359 0.636456
6 0.717448 1.53495 0.105965 0.647254 0.610303
7 0.778443 1.38275 0.095442 0.598999 0.590126
8 0.854734 1.24375 0.0752378 0.548543 0.57078
9 0.924976 1.13152 0.0548055 0.505541 0.557146
10 0.987256 1.05327 0.037134 0.472684 0.547267
11 1.06177 0.989633 0.0354935 0.447908 0.53196
12 1.12381 0.938077 0.0237463 0.426013 0.519428
13 1.19522 0.930517 0.019731 0.422275 0.514612
14 1.25558 0.939099 0.0355128 0.425506 0.51705
15 1.28836 0.937879 0.0439418 0.425333 0.521192
16 1.29512 0.953459 0.051135 0.43303 0.529673
17 1.2928 0.969712 0.0532673 0.439228 0.534392
18 1.27454 0.987369 0.0614159 0.446296 0.539657
19 1.2768 1.0055 0.0726284 0.45287 0.544322
20 1.29975 0.995014 0.0764218 0.449136 0.54043
21 1.31587 0.989008 0.0768894 0.446957 0.535426
22 1.33581 1.01443 0.0565282 0.454758 0.53913
23 1.36779 1.05003 0.0531112 0.468722 0.549467
24 1.40035 1.1135 0.0385063 0.495629 0.565403
25 1.43256 1.15849 0.0232317 0.516681 0.580257
26 1.45733 1.17991 0.0163976 0.528675 0.590405
27 1.48317 1.1752 0.0206998 0.529241 0.59471
28 1.50567 1.17154 0.0312348 0.529208 0.599107
29 1.53497 1.18166 0.0224948 0.534697 0.605983
30 1.52026 1.19639 0.0178486 0.541879 0.609842
31 1.48663 1.21963 0.019836 0.553149 0.613545
32 1.45089 1.20776 0.0293851 0.549474 0.604566
33 1.39484 1.22567 0.0199773 0.558122 0.601799
34 1.37734 1.21436 0.0321616 0.554893 0.592425
35 1.3641 1.20765 0.0490109 0.55418 0.581886
36 1.35395 1.22963 0.0674271 0.564428 0.572622
37 1.33321 1.24674 0.0821421 0.569946 0.558098
38 1.29868 1.2405 0.0981087 0.561805 0.543883
39 1.26753 1.23204 0.105856 0.548473 0.53379
40 1.23041 1.19529 0.101331 0.525406 0.520803
41 1.21868 1.20369 0.110353 0.52181 0.516755
42 1.21183 1.23852 0.127862 0.530363 0.521088
43 1.24112 1.27443 0.146805 0.542801 0.527507
44 1.2974 1.30314 0.165654 0.557326 0.534122
45 1.3306 1.30626 0.173731 0.560036 0.539009
46 1.33682 1.29578 0.171312 0.5542 0.54607
47 1.33375 1.28946 0.169776 0.550576 0.549623
48 1.32361 1.27236 0.172387 0.546266 0.551515
49 1.31608 1.22785 0.164878 0.532175 0.552726
50 1.29881 1.17434 0.15896 0.517776 0.551465
51 1.29861 1.11347 0.157852 0.501811 0.547665
52 1.29722 1.04568 0.156886 0.482402 0.540225
53 1.28518 0.986455 0.141976 0.46014 0.53182
54 1.2899 0.932672 0.140439 0.441273 0.521348
55 1.32328 0.859979 0.139309 0.414979 0.508557
56 1.34637 0.784418 0.159252 0.389759 0.489278
57 1.34753 0.721356 0.180781 0.367792 0.466389
58 1.33717 0.651943 0.173405 0.334195 0.44425
59 1.33533 0.57115 0.157169 0.291875 0.416223
60 1.34835 0.496726 0.145452 0.254298 0.391024
61 1.33667 0.456506 0.150814 0.235427 0.37723
62 1.32887 0.442901 0.165551 0.231767 0.374147
63 1.2924 0.441589 0.173185 0.235428 0.37423
64 1.28749 0.454362 0.194433 0.249849 0.372652
65 1.29472 0.478024 0.209645 0.268414 0.37179
66 1.28354 0.508642 0.215908 0.288358 0.375686
67 1.27481 0.523534 0.216919 0.296216 0.384205
68 1.25548 0.520702 0.198101 0.289744 0.392231
69 1.22142 0.522265 0.189136 0.288561 0.397331
70 1.18395 0.512143 0.168393 0.2786 0.397097
71 1.13442 0.521842 0.155087 0.281455 0.401069
72 1.06207 0.529065 0.136658 0.281119 0.406059
73 0.994001 0.534866 0.107901 0.277829 0.409903
74 0.925373 0.543627 0.0818921 0.279911 0.414094
75 0.8863 0.546309 0.0673299 0.278144 0.41373
76 0.865276 0.530135 0.0497201 0.267095 0.409579
77 0.871206 0.515244 0.0217464 0.25599 0.407126
78 0.865921 0.506208 0.00272932 0.248598 0.402845
79 0.864401 0.508567 -0.0110272 0.247957 0.394992
80 0.856425 0.536392 -0.0297774 0.258934 0.393267
81 0.854801 0.589784 -0.050786 0.279749 0.402598
82 0.851971 0.646825 -0.083795 0.303238 0.418513
83 0.829598 0.727129 -0.108218 0.336656 0.436008
84 0.82021 0.810778 -0.148981 0.372987 0.452023
85 0.833769 0.885082 -0.182608 0.40819 0.468998
86 0.847636 0.951292 -0.208754 0.439788 0.485294
87 0.820967 0.984719 -0.213096 0.455775 0.498191
88 0.795835 1.00384 -0.215029 0.466537 0.506961
89 0.744359 1.02328 -0.219922 0.478145 0.515433
90 0.718975 1.05161 -0.223046 0.492967 0.525379
91 0.701018 1.08598 -0.224007 0.509856 0.535157
92 0.69427 1.0955 -0.228921 0.516126 0.536578
93 0.659461 1.07904 -0.235821 0.513174 0.533589
94 0.657705 1.07221 -0.257007 0.518343 0.534289
95 0.665993 1.07107 -0.283338 0.525792 0.535809
96 0.689256 1.06663 -0.315192 0.536163 0.533447
97 0.664872 1.04976 -0.337985 0.538964 0.527367
98 0.628117 1.00998 -0.355913 0.529525 0.514911
99 0.590924 0.978681 -0.366062 0.521327 0.50471
100 0.58495 0.963633 -0.372334 0.517368 0.498585
101 0.575537 0.951553 -0.379609 0.515148 0.489729
102 0.594543 0.929261 -0.385101 0.508023 0.480518
103 0.635963 0.923757 -0.3841 0.506941 0.476511
104 0.677173 0.915805 -0.392359 0.507351 0.469932
105 0.723043 0.913869 -0.408436 0.515145 0.466181
106 0.755349 0.918608 -0.39705 0.513997 0.474975
107 0.813146 0.929659 -0.384173 0.515053 0.486429
108 0.884244 0.940691 -0.367226 0.51498 0.498701
109 0.922995 0.971959 -0.359054 0.528578 0.511651
110 0.964556 1.01518 -0.356192 0.550374 0.524814
111 0.997766 1.01551 -0.346451 0.548676 0.529766
112 1.0088 0.994236 -0.320582 0.53301 0.532072
113 0.979451 1.0005 -0.302012 0.532076 0.538446
114 0.946385 1.00084 -0.279273 0.527296 0.545046
115 0.911295 0.958179 -0.259809 0.503984 0.538936
116 0.836713 0.942649 -0.233066 0.488644 0.544078
117 0.767887 0.914984 -0.21043 0.468719 0.545157
118 0.696793 0.899162 -0.177358 0.453793 0.549001
119 0.652734 0.899284 -0.153922 0.450252 0.554957
120 0.631749 0.86378 -0.143163 0.434023 0.545814
121 0.600744 0.840712 -0.136337 0.42168 0.537847
122 0.544577 0.828076 -0.119304 0.412025 0.529978
123 0.515329 0.833606 -0.115779 0.410142 0.531001
124 0.506828 0.828751 -0.116483 0.403825 0.527667
125 0.483616 0.830692 -0.122638 0.401043 0.519226
126 0.411793 0.831705 -0.125234 0.398085 0.513614
127 0.34467 0.822026 -0.120335 0.39035 0.506257
128 0.293493 0.837821 -0.135264 0.396926 0.503267
129 0.251694 0.849332 -0.148978 0.402821 0.499292
130 0.198558 0.837555 -0.162011 0.400194 0.492888
131 0.154714 0.823409 -0.179108 0.398738 0.493977
132 0.112419 0.791944 -0.182115 0.388988 0.495864
133 0.0646885 0.747871 -0.16975 0.370939 0.495464
134 0.0614604 0.73843 -0.163701 0.368715 0.499777
135 0.037756 0.729516 -0.146579 0.364743 0.502245
