0 -1.00388e+28 3.07694e+51
1 -1.06939e+28 3.49166e+51
2 -1.13918e+28 3.96228e+51
3 -1.21352e+28 4.49633e+51
4 -1.29272e+28 5.10236e+51
5 -1.37708e+28 5.79007e+51
6 -1.46695e+28 6.57048e+51
7 -1.56269e+28 7.45608e+51
8 -1.66467e+28 8.46104e+51
9 -1.77331e+28 9.60146e+51
10 -1.88904e+28 1.08956e+52
11 -2.01232e+28 1.23641e+52
12 -2.14364e+28 1.40306e+52
13 -2.28354e+28 1.59218e+52
14 -2.43257e+28 1.80678e+52
15 -2.59132e+28 2.05031e+52
16 -2.76044e+28 2.32666e+52
17 -2.94059e+28 2.64026e+52
18 -3.1325e+28 2.99613e+52
19 -3.33693e+28 3.39997e+52
20 -3.5547e+28 3.85824e+52
21 -3.78669e+28 4.37828e+52
22 -4.03382e+28 4.96841e+52
23 -4.29708e+28 5.63809e+52
24 -4.57751e+28 6.39803e+52
25 -4.87625e+28 7.26041e+52
26 -5.19449e+28 8.23902e+52
27 -5.5335e+28 9.34954e+52
28 -5.89463e+28 1.06097e+53
29 -6.27933e+28 1.20398e+53
30 -6.68914e+28 1.36626e+53
31 -7.1257e+28 1.55042e+53
32 -7.59074e+28 1.7594e+53
33 -8.08614e+28 1.99655e+53
34 -8.61387e+28 2.26566e+53
35 -9.17604e+28 2.57104e+53
36 -9.7749e+28 2.91759e+53
37 -1.04128e+29 3.31085e+53
38 -1.10924e+29 3.75712e+53
39 -1.18164e+29 4.26354e+53
40 -1.25875e+29 4.83823e+53
41 -1.34091e+29 5.49037e+53
42 -1.42842e+29 6.23042e+53
43 -1.52164e+29 7.07022e+53
44 -1.62095e+29 8.02322e+53
45 -1.72674e+29 9.10467e+53
46 -1.83944e+29 1.03319e+54
47 -1.95949e+29 1.17245e+54
48 -2.08737e+29 1.33049e+54
49 -2.2236e+29 1.50983e+54
50 -2.36873e+29 1.71334e+54
51 -2.52332e+29 1.94429e+54
52 -2.68801e+29 2.20636e+54
53 -2.86344e+29 2.50376e+54
54 -3.05032e+29 2.84124e+54
55 -3.2494e+29 3.22422e+54
56 -3.46147e+29 3.65882e+54
57 -3.68739e+29 4.152e+54
58 -3.92804e+29 4.71166e+54
59 -4.18441e+29 5.34676e+54
60 -4.45751e+29 6.06747e+54
61 -4.74843e+29 6.88532e+54
62 -5.05834e+29 7.81341e+54
63 -5.38847e+29 8.86661e+54
64 -5.74016e+29 1.00618e+55
65 -6.11479e+29 1.1418e+55
66 -6.51388e+29 1.29571e+55
67 -6.93901e+29 1.47036e+55
68 -7.3919e+29 1.66856e+55
69 -7.87434e+29 1.89347e+55
70 -8.38826e+29 2.1487e+55
71 -8.93573e+29 2.43833e+55
72 -9.51894e+29 2.76701e+55
73 -1.01402e+30 3.13999e+55
74 -1.0802e+30 3.56324e+55
