t PE VE R R2 BS
98 2.31943 3.60013 -0.151657 0.412613 0.469966
99 2.09245 3.64888 -0.151931 0.416387 0.471415
100 1.81667 3.69714 -0.151531 0.420337 0.473847
101 1.5437 3.75598 -0.151832 0.425501 0.476611
102 1.22389 3.83011 -0.152137 0.432353 0.480165
103 0.96374 3.89496 -0.150743 0.438068 0.484113
104 0.684462 3.9354 -0.148959 0.440789 0.487197
105 0.487757 3.96488 -0.147692 0.442619 0.489873
106 0.428399 3.98261 -0.146125 0.443269 0.491507
107 0.407801 4.00288 -0.145084 0.444577 0.493414
108 0.419964 4.01883 -0.144106 0.44557 0.496115
109 0.600135 4.01299 -0.144144 0.444745 0.496747
110 0.756009 4.01641 -0.143627 0.444166 0.497514
111 0.912966 4.02577 -0.143209 0.44485 0.499532
112 1.13858 4.02262 -0.142231 0.444514 0.500502
113 1.34709 4.00875 -0.141586 0.443797 0.501016
114 1.57119 4.0025 -0.140261 0.443631 0.502198
115 1.78995 4.00377 -0.139203 0.444545 0.503488
116 1.97289 4.01168 -0.136945 0.44598 0.506861
117 2.10497 4.01977 -0.135444 0.447266 0.509836
118 2.2453 4.02711 -0.133191 0.448186 0.512949
119 2.40869 4.03818 -0.131037 0.448826 0.515419
120 2.60122 4.05088 -0.128965 0.449333 0.515644
121 2.70924 4.06913 -0.125832 0.450278 0.514912
122 2.80579 4.10173 -0.122538 0.452441 0.514695
123 2.90498 4.12099 -0.11879 0.453723 0.514134
124 2.90733 4.14154 -0.114661 0.455092 0.514339
125 2.948 4.14653 -0.112625 0.455417 0.514227
126 2.97099 4.15646 -0.109746 0.456233 0.513935
127 2.92481 4.17482 -0.10744 0.458186 0.514064
128 2.97563 4.1773 -0.104852 0.458917 0.514425
129 3.0187 4.16751 -0.101793 0.458212 0.514705
130 3.07826 4.15616 -0.0993418 0.457915 0.514678
131 3.18062 4.13729 -0.0970179 0.457128 0.514816
132 3.29138 4.14051 -0.0949481 0.458689 0.516635
133 3.36919 4.14124 -0.0936649 0.460111 0.518123
134 3.57735 4.13595 -0.0922231 0.461432 0.518869
135 3.82745 4.13764 -0.090801 0.463637 0.52087
136 3.89027 4.13706 -0.0881508 0.465416 0.523481
137 3.88822 4.14105 -0.0857338 0.467735 0.524867
138 3.88971 4.14656 -0.0822697 0.469266 0.524868
139 3.86229 4.14794 -0.0792821 0.469817 0.52491
140 3.84031 4.15568 -0.0767977 0.470276 0.524943
141 3.80155 4.17813 -0.0742678 0.472059 0.525595
142 3.74241 4.19139 -0.0729307 0.473151 0.526353
143 3.66012 4.20435 -0.0720622 0.473797 0.526595
144 3.6288 4.22029 -0.0721141 0.474775 0.526337
145 3.62743 4.23892 -0.0719205 0.475996 0.527508
146 3.69564 4.26082 -0.0716342 0.47774 0.528219
147 3.7161 4.28052 -0.0709252 0.479004 0.529094
148 3.80888 4.29947 -0.0694358 0.480848 0.529259
149 3.9838 4.32084 -0.0668064 0.482596 0.529006
150 4.17677 4.33584 -0.0640718 0.483379 0.527969
151 4.34649 4.34226 -0.0614494 0.483333 0.526716
152 4.45766 4.35194 -0.0594222 0.483667 0.52525
153 4.62448 4.35632 -0.0574095 0.483481 0.522754
154 4.86591 4.33823 -0.056156 0.480822 0.519485
155 5.13356 4.29872 -0.0550133 0.476085 0.516109
156 5.2829 4.26877 -0.0530279 0.472428 0.512717
157 5.40616 4.24399 -0.049848 0.469134 0.511948
158 5.53243 4.23102 -0.0481915 0.467745 0.512544
159 5.63917 4.22483 -0.0471101 0.467091 0.51315
160 5.773 4.2184 -0.0455277 0.466481 0.512165
161 5.82456 4.22004 -0.0449326 0.465715 0.510916
162 5.75843 4.23513 -0.0432998 0.466068 0.509866
163 5.68946 4.25431 -0.0408057 0.46696 0.510251
164 5.60684 4.28414 -0.0399702 0.469512 0.512359
165 5.49053 4.30239 -0.0401259 0.471162 0.513926
166 5.33417 4.30442 -0.039831 0.471354 0.514332
167 5.1557 4.31266 -0.0402149 0.471733 0.514314
168 4.88293 4.33439 -0.039318 0.473263 0.516072
169 4.64566 4.33923 -0.0380839 0.473038 0.516057
170 4.45306 4.35269 -0.0371821 0.473037 0.515615
171 4.2198 4.38612 -0.0354648 0.47424 0.515632
172 4.01717 4.40337 -0.0340379 0.474266 0.51565
173 3.84352 4.40452 -0.0327676 0.473157 0.51507
174 3.67067 4.41808 -0.0323779 0.473585 0.514982
175 3.46969 4.43544 -0.0330825 0.474268 0.514697
176 3.29514 4.46881 -0.0346721 0.476312 0.514509
177 3.28435 4.49841 -0.0365428 0.478572 0.514549
178 3.33659 4.50959 -0.0378681 0.478893 0.515179
179 3.38961 4.5388 -0.0394791 0.481079 0.517225
180 3.35996 4.55388 -0.0394344 0.481593 0.518709
181 3.41849 4.57138 -0.0392366 0.482445 0.519554
182 3.40905 4.5965 -0.0394621 0.483555 0.519739
183 3.40963 4.61483 -0.0398046 0.484319 0.520081
184 3.38458 4.62605 -0.0402953 0.485101 0.520647
185 3.50811 4.62445 -0.0407735 0.484715 0.521252
186 3.66676 4.62915 -0.0428517 0.485023 0.522507
187 3.80366 4.61768 -0.0444062 0.483725 0.522692
188 3.81305 4.63702 -0.0467495 0.484922 0.524221
189 3.83226 4.65973 -0.0491743 0.486697 0.525195
190 3.92435 4.68747 -0.0519874 0.489479 0.52633
191 4.04406 4.71202 -0.0553293 0.49266 0.527829
192 4.15423 4.74234 -0.0594596 0.49691 0.528947
193 4.26757 4.77272 -0.06331 0.501408 0.530296
194 4.50572 4.77853 -0.0654782 0.503972 0.530753
195 4.74368 4.793 -0.0668157 0.507197 0.531491
196 4.85068 4.80999 -0.0672377 0.510565 0.53425
197 4.94065 4.8223 -0.0680051 0.513537 0.536077
198 4.97899 4.82856 -0.0663998 0.515471 0.537645
199 4.96913 4.83807 -0.0644972 0.518237 0.540622
200 4.97908 4.83426 -0.0616515 0.520436 0.543679
201 5.06008 4.82882 -0.0602686 0.522161 0.546137
202 5.17885 4.8109 -0.0588045 0.522495 0.546616
203 5.33894 4.80847 -0.0568596 0.523855 0.547689
204 5.47173 4.81907 -0.0540582 0.526004 0.550572
205 5.55929 4.84811 -0.0516328 0.530124 0.553089
206 5.66316 4.87277 -0.0482111 0.533757 0.553929
207 5.71949 4.92082 -0.0436108 0.539363 0.555457
208 5.80588 4.96718 -0.0410847 0.544337 0.555725
209 5.86902 5.00638 -0.0398611 0.548121 0.554914
210 5.90037 5.0327 -0.0393806 0.550509 0.553655
211 5.86904 5.0702 -0.0386266 0.553253 0.553282
212 5.79565 5.11892 -0.0388152 0.556956 0.553643
213 5.70434 5.18874 -0.0392652 0.561858 0.555194
214 5.6264 5.25855 -0.0404721 0.566648 0.556894
215 5.49517 5.32156 -0.0405039 0.571197 0.559454
216 5.23408 5.40431 -0.0407776 0.577214 0.563255
217 5.03153 5.46915 -0.0395455 0.581918 0.56636
218 4.77658 5.5362 -0.0395923 0.586965 0.568563
219 4.58953 5.56098 -0.0397011 0.588169 0.567986
220 4.491 5.59739 -0.0394614 0.589917 0.567352
221 4.40022 5.61545 -0.0389574 0.590509 0.568334
222 4.31117 5.64561 -0.0378787 0.59188 0.569163
223 4.22392 5.65691 -0.0380151 0.592867 0.569814
224 4.18008 5.6603 -0.0380553 0.593511 0.57061
225 4.0977 5.69291 -0.0385047 0.596567 0.571862
226 4.04869 5.71667 -0.038369 0.599569 0.572763
227 3.9825 5.76244 -0.0371877 0.603413 0.572877
228 3.90456 5.78882 -0.0360955 0.605871 0.572227
229 3.92354 5.79925 -0.0350647 0.60699 0.571784
230 3.94324 5.80566 -0.0345981 0.607829 0.572035
231 4.0433 5.79187 -0.0344041 0.607365 0.572679
232 4.13507 5.7846 -0.0348471 0.606987 0.57239
233 4.20244 5.79081 -0.037118 0.607638 0.57279
234 4.24377 5.78168 -0.0388093 0.606274 0.571903
235 4.21991 5.78705 -0.0402497 0.606454 0.57134
236 4.20199 5.77256 -0.0415283 0.605322 0.570919
237 4.14471 5.76033 -0.0431764 0.604171 0.570726
238 4.05218 5.76882 -0.0438723 0.604041 0.571126
239 4.0061 5.77329 -0.044707 0.604026 0.570615
240 4.04012 5.76924 -0.0447831 0.602903 0.568803
241 4.10318 5.74658 -0.0441323 0.600267 0.566346
242 4.13072 5.69443 -0.0426574 0.595259 0.563786
243 4.08049 5.65638 -0.0395476 0.591101 0.562435
244 4.07484 5.59644 -0.0371036 0.58599 0.560472
245 4.08986 5.5393 -0.0348641 0.581218 0.559629
246 4.11514 5.47208 -0.0342411 0.575818 0.558517
247 4.15282 5.40801 -0.0334242 0.570994 0.558444
248 4.21028 5.32445 -0.0339674 0.565383 0.557062
249 4.30889 5.23817 -0.0336046 0.558876 0.555045
250 4.40914 5.15956 -0.0336026 0.552679 0.552701
251 4.45614 5.09764 -0.0319072 0.547668 0.55012
252 4.62634 5.02742 -0.0316702 0.541508 0.54535
253 4.70063 4.95827 -0.0311168 0.535058 0.540343
254 4.73412 4.89057 -0.0296765 0.527981 0.535906
255 4.72516 4.82209 -0.028916 0.521131 0.530663
256 4.67247 4.76163 -0.0271116 0.515209 0.525865
257 4.70226 4.69348 -0.0248977 0.508661 0.520034
258 4.75935 4.64609 -0.0224693 0.50412 0.516007
259 4.8033 4.6057 -0.0215974 0.500265 0.512064
260 4.88743 4.58759 -0.0201641 0.497422 0.50812
261 5.02983 4.58105 -0.019038 0.494857 0.50369
262 5.0611 4.57315 -0.0172934 0.492479 0.499501
263 5.05646 4.55572 -0.0154203 0.489165 0.494295
264 5.09854 4.54229 -0.0139197 0.485806 0.489789
265 5.1869 4.50847 -0.0128501 0.481158 0.485886
266 5.2366 4.47157 -0.0115569 0.477067 0.482628
267 5.25523 4.45092 -0.0105644 0.474853 0.480209
268 5.17483 4.44115 -0.00905928 0.47368 0.47856
269 5.09344 4.40968 -0.00818145 0.470504 0.476133
270 5.01639 4.3788 -0.00775638 0.467258 0.474107
271 4.8934 4.34472 -0.00820935 0.46441 0.474051
272 4.80676 4.3182 -0.00904412 0.462842 0.474547
273 4.72066 4.29518 -0.0107026 0.462322 0.474645
274 4.67989 4.26541 -0.0133691 0.461381 0.476717
275 4.61337 4.23504 -0.0160357 0.4598 0.477795
276 4.54682 4.22634 -0.0191927 0.460149 0.479997
277 4.57133 4.19326 -0.0240337 0.459117 0.481941
278 4.55631 4.16539 -0.0285882 0.45831 0.484285
279 4.52528 4.11942 -0.0327202 0.455838 0.484607
280 4.55899 4.07032 -0.0366192 0.452685 0.484496
281 4.67869 4.01215 -0.0411765 0.448534 0.484031
282 4.72925 3.97038 -0.0446861 0.446041 0.484705
283 4.74463 3.94709 -0.047932 0.444253 0.486482
284 4.74976 3.93229 -0.0500228 0.442888 0.487667
285 4.7019 3.92784 -0.0524063 0.443169 0.488807
286 4.63509 3.93331 -0.0544957 0.444542 0.490396
287 4.59902 3.92451 -0.054862 0.444404 0.491305
288 4.59088 3.91277 -0.0540876 0.443505 0.492809
289 4.67403 3.9087 -0.0512526 0.44256 0.494344
290 4.7501 3.92043 -0.0482947 0.442807 0.495524
291 4.77861 3.91972 -0.0457079 0.442478 0.496231
292 4.8189 3.92518 -0.0427865 0.442546 0.496779
293 4.91307 3.92118 -0.040267 0.441486 0.495968
294 4.96995 3.93297 -0.0374053 0.441893 0.496331
295 5.0095 3.96183 -0.0342761 0.443392 0.496932
296 4.90858 4.00648 -0.0322615 0.446701 0.498103
297 4.81365 4.05116 -0.0304833 0.450004 0.500238
298 4.67328 4.0869 -0.0290621 0.452141 0.50132
299 4.53179 4.108 -0.027221 0.452401 0.501028
300 4.36495 4.12182 -0.0254209 0.452176 0.500027
301 4.2835 4.1193 -0.0243201 0.450459 0.499194
302 4.22472 4.12611 -0.0235319 0.44978 0.49886
303 4.10036 4.13628 -0.0230959 0.449048 0.498293
304 3.94306 4.15771 -0.0223045 0.449819 0.498186
305 3.89729 4.15932 -0.0215209 0.449041 0.496746
306 3.87265 4.15236 -0.020942 0.447052 0.495143
307 3.97778 4.14084 -0.0188091 0.444441 0.49283
308 4.0601 4.12487 -0.0172691 0.441202 0.489801
309 4.19458 4.11675 -0.0163294 0.438675 0.487294
310 4.34931 4.11742 -0.0162258 0.436793 0.484873
311 4.50517 4.10562 -0.0151885 0.434243 0.481956
312 4.59898 4.09664 -0.0144217 0.432695 0.479155
313 4.6568 4.09134 -0.0131579 0.431878 0.477921
314 4.77741 4.08158 -0.012323 0.43069 0.47595
315 4.91061 4.06329 -0.0125114 0.429372 0.474785
316 4.95797 4.05461 -0.0131886 0.428923 0.473683
317 4.90087 4.05465 -0.0135732 0.429093 0.473337
318 4.69864 4.07516 -0.0135448 0.431111 0.47517
319 4.45566 4.1172 -0.0156791 0.434454 0.477423
320 4.16781 4.16463 -0.0169163 0.439243 0.481005
321 3.80751 4.20615 -0.0180344 0.44345 0.483869
322 3.51479 4.25191 -0.0195426 0.448007 0.486862
323 3.27671 4.27675 -0.0211579 0.450663 0.488446
324 3.14382 4.3047 -0.0229438 0.453849 0.489611
325 3.03838 4.33013 -0.0240476 0.456845 0.490892
326 3.04039 4.35155 -0.0245555 0.459799 0.492216
327 2.99901 4.36641 -0.0245526 0.462181 0.493131
328 2.87206 4.38525 -0.0235946 0.465455 0.494146
329 2.85151 4.39423 -0.0228275 0.467893 0.494335
330 3.00156 4.38753 -0.0216501 0.468728 0.493684
331 3.20021 4.39641 -0.0205641 0.470225 0.494685
332 3.341 4.40482 -0.0187303 0.471542 0.496641
333 3.47282 4.41199 -0.014839 0.472778 0.498858
334 3.63649 4.41854 -0.0123917 0.473971 0.500423
335 3.7641 4.42981 -0.010351 0.475531 0.502244
336 3.87123 4.44329 -0.00966181 0.477324 0.50353
337 3.94335 4.45197 -0.00899414 0.47826 0.504846
338 3.96784 4.47879 -0.00890587 0.481268 0.506076
339 3.89726 4.51024 -0.00979783 0.48505 0.507324
340 3.70405 4.549 -0.0112529 0.489439 0.507844
341 3.56434 4.57384 -0.0127614 0.492636 0.50814
342 3.45833 4.57981 -0.0153699 0.494282 0.5078
343 3.45683 4.56151 -0.0192546 0.493976 0.506355
344 3.50336 4.53434 -0.022118 0.493459 0.504928
345 3.61993 4.50937 -0.025664 0.492521 0.502179
346 3.61982 4.49376 -0.0289723 0.492695 0.500647
347 3.657 4.46229 -0.0327064 0.491166 0.500011
348 3.68974 4.43936 -0.0358725 0.489755 0.498759
349 3.74947 4.43457 -0.0387708 0.489768 0.49862
350 3.74585 4.44119 -0.042463 0.490773 0.499026
351 3.78998 4.44147 -0.0460871 0.49137 0.498824
352 3.85857 4.43152 -0.050376 0.491516 0.499789
353 3.82851 4.41028 -0.0540504 0.490834 0.500394
354 3.8616 4.38039 -0.059215 0.489324 0.500316
355 3.89865 4.36156 -0.0630104 0.488458 0.501036
356 3.99325 4.32388 -0.0690565 0.485801 0.500219
357 4.14275 4.30632 -0.0741671 0.484778 0.500193
358 4.26975 4.29372 -0.077491 0.484343 0.500849
359 4.3882 4.28702 -0.0807736 0.484472 0.500656
360 4.46764 4.28011 -0.0852658 0.484019 0.499308
361 4.44781 4.28795 -0.0887997 0.484762 0.498688
362 4.36861 4.29673 -0.0909481 0.485346 0.49783
363 4.3805 4.28081 -0.0925359 0.483683 0.496003
364 4.48349 4.26353 -0.0932299 0.481275 0.493572
365 4.58958 4.23341 -0.0944292 0.477723 0.490746
366 4.69984 4.19966 -0.0944872 0.47389 0.487219
367 4.78063 4.16571 -0.0953303 0.470332 0.48451
368 4.89213 4.13183 -0.0963348 0.467316 0.482288
369 5.0151 4.1184 -0.0986923 0.466368 0.480392
370 5.12992 4.12035 -0.100298 0.467009 0.478754
371 5.17468 4.12165 -0.102726 0.467864 0.477223
372 5.1982 4.14989 -0.10498 0.471161 0.478716
373 5.22792 4.17353 -0.105465 0.473648 0.479829
374 5.25783 4.19384 -0.106582 0.476071 0.480505
375 5.33178 4.19532 -0.107781 0.476605 0.479748
376 5.35792 4.20655 -0.109944 0.478427 0.478928
377 5.34074 4.20434 -0.1115 0.478604 0.478626
378 5.24032 4.20068 -0.112812 0.478459 0.47909
379 5.06364 4.19096 -0.113313 0.477781 0.479267
380 4.75223 4.17836 -0.111678 0.475721 0.480055
381 4.47769 4.17151 -0.109787 0.474067 0.480774
382 4.08122 4.16074 -0.107066 0.471916 0.48032
383 3.77252 4.16769 -0.105023 0.472225 0.480892
384 3.4818 4.17946 -0.103062 0.472975 0.482176
385 3.17138 4.21116 -0.101579 0.475548 0.483433
386 2.79708 4.27657 -0.100583 0.481153 0.486562
387 2.40313 4.32796 -0.0983283 0.485608 0.488565
388 2.05875 4.38372 -0.0956352 0.489621 0.491631
389 1.75501 4.43001 -0.0920948 0.492703 0.494648
390 1.55036 4.47401 -0.0884096 0.495709 0.49752
391 1.41128 4.50971 -0.084848 0.497819 0.499154
392 1.36842 4.53997 -0.0818203 0.499446 0.500446
393 1.41173 4.56428 -0.0800198 0.500851 0.503251
394 1.5804 4.5722 -0.0777764 0.500728 0.505216
395 1.85111 4.5582 -0.0751755 0.498765 0.505624
396 2.11899 4.52389 -0.0741826 0.494818 0.504873
397 2.35033 4.48198 -0.0746948 0.490087 0.502424
398 2.59811 4.4515 -0.0742003 0.486048 0.501137
399 2.68719 4.45195 -0.074022 0.485351 0.500724
400 2.84448 4.44983 -0.0745534 0.484144 0.501016
401 3.0165 4.45134 -0.0750221 0.482701 0.500977
402 3.12719 4.4525 -0.0750043 0.480406 0.500682
403 3.24289 4.44104 -0.0741364 0.476698 0.499887
404 3.33926 4.4255 -0.0722131 0.472803 0.499919
405 3.34543 4.42388 -0.0707279 0.470187 0.501228
406 3.36896 4.43212 -0.0685471 0.468934 0.503155
407 3.26732 4.4414 -0.0668813 0.468446 0.505548
408 3.17106 4.44409 -0.0653819 0.467728 0.507156
409 3.13955 4.4538 -0.0654436 0.467708 0.508751
410 3.14033 4.45861 -0.0636421 0.46749 0.50963
411 3.16468 4.46544 -0.0628932 0.467737 0.509901
412 3.18563 4.45924 -0.0623958 0.466324 0.508817
413 3.17522 4.44029 -0.0601379 0.463639 0.506871
414 3.29651 4.39436 -0.0600462 0.459096 0.504449
415 3.45447 4.34294 -0.0602313 0.4541 0.502689
