n t PE VE R R2 BS
0 0 -0.112548 0.0892056 -0.045413 0.0325487 0.029162
10 1838 -1.46926 0.849865 -0.453246 0.299035 0.252869
20 2443 -2.21848 0.798384 -0.442833 0.262198 0.210046
30 1814 -3.10167 0.777775 -0.423056 0.244 0.202586
40 1821 -4.09058 0.7723 -0.389377 0.232273 0.210711
50 1819 -4.29735 0.766063 -0.330574 0.215397 0.235829
60 2444 -4.02731 0.774832 -0.260888 0.206562 0.278626
70 1813 -3.6334 0.794025 -0.19013 0.209524 0.310748
80 2444 -2.62389 0.771747 -0.121542 0.191476 0.310585
90 1814 -1.823 0.726861 -0.0319748 0.161946 0.292473
100 2456 -1.44849 0.701606 0.0769538 0.149879 0.269383
110 1818 -1.33274 0.705434 0.17559 0.16157 0.246173
120 2443 -1.54796 0.739554 0.261264 0.198354 0.235244
130 2199 -1.38297 0.797615 0.342985 0.254716 0.22731
140 2065 -1.26619 0.881205 0.414851 0.329802 0.224204
150 1818 -1.29352 0.965038 0.483465 0.405603 0.22696
160 2207 -1.70207 1.03229 0.537268 0.46269 0.238121
170 1836 -1.82779 1.10182 0.584496 0.522322 0.253268
180 1835 -1.33813 1.12643 0.613703 0.549491 0.254835
190 2535 -0.0568728 1.11161 0.631667 0.551447 0.243412
200 1827 2.14735 1.0241 0.601853 0.484422 0.220616
210 2467 4.13993 0.950167 0.554236 0.418033 0.217552
220 1834 5.65384 0.897205 0.499009 0.362546 0.235525
230 2267 6.0825 0.880458 0.457098 0.335868 0.250384
240 2032 5.78716 0.853378 0.41563 0.305477 0.245425
250 2460 4.86181 0.844679 0.40177 0.298048 0.243203
260 1832 3.68055 0.855116 0.419552 0.30867 0.245964
270 2463 2.18487 0.865399 0.434011 0.314144 0.257695
280 1827 0.441613 0.897924 0.454911 0.33519 0.274226
290 2128 -0.388548 0.912991 0.444442 0.336374 0.290353
300 2191 -0.117324 0.880384 0.381549 0.294789 0.304333
310 2455 0.611496 0.879115 0.320441 0.272922 0.324274
320 1835 1.45919 0.879327 0.291489 0.26289 0.325939
330 2444 1.68293 0.863887 0.268882 0.248085 0.330048
340 1836 1.65975 0.807445 0.227501 0.208886 0.319161
350 2248 0.943708 0.726681 0.190662 0.158808 0.286209
360 2062 -0.517255 0.66063 0.160259 0.117476 0.245979
370 1851 -2.21759 0.6496 0.155688 0.113789 0.238793
380 2460 -3.83314 0.67506 0.189788 0.136366 0.239928
390 2070 -5.06259 0.71064 0.231487 0.164841 0.244363
400 2249 -5.25829 0.736289 0.253335 0.182861 0.243832
410 2228 -4.47063 0.774051 0.282598 0.208113 0.265633
420 2097 -3.61171 0.834395 0.332867 0.254129 0.297677
430 2474 -3.26572 0.881649 0.370595 0.291482 0.31694
440 1856 -2.90736 0.918955 0.392211 0.317932 0.323817
450 2469 -1.66649 0.940276 0.411317 0.334098 0.308716
460 1817 -0.070788 0.924642 0.415947 0.325899 0.288414
470 2234 1.48101 0.895955 0.430165 0.316423 0.272547
480 2058 3.07755 0.877385 0.468449 0.324498 0.251213
490 1946 4.02866 0.87847 0.50899 0.343269 0.220007
500 2317 3.64096 0.908861 0.525833 0.374916 0.205703
510 2436 2.99488 0.972028 0.547319 0.440301 0.191349
520 1818 2.27636 1.05083 0.571109 0.518915 0.175609
530 1997 1.58016 1.1563 0.579811 0.620863 0.171923
540 2263 1.23803 1.28607 0.568558 0.744267 0.189922
550 1815 1.70078 1.39696 0.533559 0.843228 0.21496
560 2104 2.45419 1.50249 0.504965 0.932196 0.241786
570 2177 3.49802 1.62441 0.473493 1.03391 0.272603
580 2471 4.79744 1.78755 0.455414 1.1823 0.288077
590 1823 5.31604 1.95022 0.453223 1.33975 0.27837
600 2450 5.03186 2.0847 0.464993 1.47699 0.247674
610 1816 3.99279 2.15176 0.472647 1.54864 0.219741
620 1831 2.39006 2.1845 0.451977 1.56992 0.248274
630 2448 0.613593 2.15182 0.406408 1.52393 0.283201
640 2446 -0.0908887 2.11757 0.361612 1.49264 0.291667
650 1816 0.213282 2.09607 0.333041 1.47523 0.292038
660 2444 0.398084 2.04026 0.299843 1.4047 0.304385
670 1821 0.565328 1.96357 0.241994 1.29746 0.337166
680 1815 1.16048 1.84927 0.175324 1.15919 0.362898
690 2445 1.77368 1.78318 0.143716 1.05588 0.39561
700 2444 1.80983 1.75821 0.151668 0.971255 0.425511
710 1815 1.31354 1.6112 0.157335 0.821005 0.418153
720 2447 1.13814 1.35856 0.145811 0.630691 0.378525
730 1817 0.893686 1.17492 0.136294 0.495191 0.342668
740 1818 0.299574 1.06451 0.13726 0.409015 0.326812
750 1815 0.25697 1.02143 0.128951 0.377678 0.331918
760 2448 1.29782 1.01456 0.136569 0.37606 0.360889
770 1815 2.07669 1.02541 0.144898 0.379073 0.393049
780 1845 2.34213 1.03799 0.153403 0.373461 0.411688
790 2428 1.85833 1.08929 0.15789 0.383659 0.43633
800 1836 1.37615 1.11797 0.167498 0.385555 0.464108
810 2246 1.70907 1.03168 0.159873 0.33636 0.441263
820 2110 2.53681 0.888761 0.155667 0.262146 0.375772
830 2383 3.89356 0.752627 0.143664 0.18337 0.300323
840 1862 5.39818 0.653702 0.118382 0.116997 0.241403
850 1838 6.17946 0.631081 0.0886207 0.0970335 0.230212
860 2465 5.50773 0.715354 0.0640104 0.14152 0.296393
870 1822 3.66618 0.907445 0.0283473 0.239913 0.406199
880 2063 1.94527 1.11506 -0.00228736 0.339402 0.493012
890 2201 1.00837 1.22762 -0.0450209 0.392128 0.529897
900 1816 1.04577 1.21738 -0.109862 0.393349 0.525271
910 1838 1.5958 1.10638 -0.181706 0.354125 0.484688
920 2475 1.95188 0.957181 -0.250926 0.297598 0.412385
930 2323 2.21305 0.858784 -0.30368 0.263312 0.336368
940 1980 2.82692 0.827509 -0.346678 0.267378 0.276854
950 2190 3.54087 0.851877 -0.389452 0.308873 0.230843
960 2121 4.4026 0.909237 -0.431595 0.372055 0.207747
970 1863 5.14657 1.0067 -0.49092 0.47078 0.206019
980 1860 5.43369 1.14995 -0.551493 0.604688 0.217915
990 1827 4.62135 1.30152 -0.578906 0.735342 0.245249
1000 1822 2.65428 1.46426 -0.603052 0.867972 0.280244
1010 1819 0.56106 1.60389 -0.63802 0.984768 0.308381
1020 2453 -1.12768 1.66622 -0.64214 1.04967 0.313241
1030 1823 -1.96904 1.71678 -0.621508 1.10651 0.313952
1040 1839 -2.23782 1.72141 -0.581483 1.11426 0.314819
1050 2451 -1.43858 1.7006 -0.535551 1.08914 0.315539
1060 1821 -0.676098 1.70778 -0.506968 1.07564 0.326292
1070 2449 0.27379 1.76129 -0.504645 1.11075 0.327725
1080 1817 1.69626 1.78308 -0.521583 1.14685 0.306887
1090 2451 2.78596 1.79063 -0.541155 1.16794 0.299686
1100 1814 3.00802 1.76355 -0.528254 1.14545 0.31037
1110 2448 2.83104 1.71494 -0.49606 1.0974 0.325502
1120 1819 2.37976 1.64153 -0.465538 1.03434 0.32029
1130 1822 1.9092 1.53445 -0.44767 0.948145 0.289524
1140 2447 2.13434 1.42129 -0.436932 0.861567 0.242222
1150 1817 2.43232 1.34652 -0.42432 0.799871 0.203853
1160 2443 2.85027 1.29801 -0.396204 0.754353 0.189356
1170 1841 2.78703 1.31091 -0.348095 0.753284 0.208255
1180 2447 1.82938 1.2921 -0.278727 0.713766 0.241823
1190 1816 0.509428 1.28888 -0.190283 0.683053 0.288355
1200 2334 -0.35123 1.26274 -0.11154 0.635197 0.318455
1210 2455 0.135813 1.20579 -0.0269987 0.576309 0.325964
1220 1816 0.820996 1.17921 0.0570065 0.544637 0.338567
1230 1817 1.6712 1.19688 0.150147 0.550531 0.35427
1240 2449 2.19123 1.20022 0.228659 0.543535 0.35776
1250 1820 2.13044 1.16889 0.298244 0.512236 0.338728
1260 2443 1.63318 1.11066 0.368886 0.4741 0.306239
1270 2450 0.805407 1.07049 0.431129 0.461037 0.283898
1280 1817 0.553486 1.06263 0.486416 0.467707 0.285294
1290 1825 0.446201 1.12801 0.527696 0.512006 0.320327
1300 2384 0.368482 1.23918 0.539667 0.566913 0.368446
1310 1884 0.953445 1.42239 0.55935 0.6559 0.429455
1320 1925 0.928277 1.66859 0.591447 0.774963 0.503415
1330 1828 -0.283202 1.89159 0.61709 0.878631 0.556441
1340 2452 -2.18256 1.96968 0.618474 0.906489 0.58443
1350 1822 -3.55857 1.88541 0.609285 0.862507 0.579624
1360 2465 -3.7769 1.63477 0.575637 0.733409 0.529541
1370 1834 -2.97053 1.35741 0.541069 0.59004 0.448678
1380 1830 -1.50547 1.15042 0.503421 0.473516 0.378845
1390 2458 -0.0297612 0.99336 0.472443 0.38595 0.32521
1400 1836 1.31869 0.927338 0.461861 0.34948 0.304302
1410 2448 2.28118 0.945274 0.455278 0.356522 0.313192
1420 2217 3.19323 1.02329 0.438654 0.393801 0.352383
1430 2046 3.94876 1.13635 0.399088 0.441772 0.426791
1440 1816 4.21302 1.20201 0.329582 0.457016 0.467651
1450 2445 3.53086 1.25033 0.239304 0.462093 0.491513
1460 1816 2.19039 1.27242 0.129639 0.4606 0.496698
1470 2448 0.935198 1.24503 6.69393e-05 0.455102 0.474687
1480 2447 -0.0761313 1.17909 -0.133588 0.449287 0.435296
1490 1816 -0.720004 1.11433 -0.237091 0.450847 0.386299
1500 1818 -0.748174 1.0888 -0.314163 0.471513 0.345421
1510 2449 -0.345192 1.11119 -0.357661 0.512786 0.317212
1520 1814 0.316552 1.18254 -0.380135 0.569917 0.30892
1530 1817 0.897676 1.28759 -0.386641 0.636094 0.3378
1540 2450 1.44195 1.34934 -0.374318 0.667127 0.375292
1550 1858 1.73628 1.34324 -0.359443 0.660598 0.395654
1560 2171 1.5731 1.3461 -0.349606 0.669077 0.392545
1570 2093 1.28774 1.35347 -0.33737 0.688896 0.366237
1580 1815 1.20942 1.39104 -0.338979 0.738426 0.338982
1590 2456 1.3443 1.45334 -0.347941 0.810487 0.32435
1600 2446 1.60204 1.52368 -0.351757 0.893948 0.320352
1610 1815 1.53991 1.6189 -0.362226 0.988082 0.325039
1620 2443 1.50423 1.66845 -0.391189 1.03063 0.328949
1630 1813 1.42061 1.69475 -0.411827 1.04472 0.334371
1640 2445 1.49934 1.67936 -0.433007 1.02256 0.329417
1650 1813 1.4883 1.61794 -0.450856 0.962754 0.335201
1660 1817 2.01548 1.55061 -0.445883 0.900035 0.336954
1670 2106 2.62044 1.54637 -0.429049 0.87928 0.353926
1680 2152 2.86152 1.6045 -0.413174 0.901007 0.396177
1690 2445 2.87628 1.67007 -0.378467 0.926994 0.460541
1700 1816 1.71567 1.69819 -0.332856 0.905076 0.522483
1710 2445 -0.197886 1.66065 -0.283946 0.836614 0.549776
1720 1815 -1.45726 1.56725 -0.234294 0.744153 0.546393
1730 1985 -1.36839 1.34631 -0.197343 0.59423 0.490563
1740 2300 -0.0981441 1.09287 -0.212768 0.436354 0.39091
