n t PE VE R R2 BS
9000 0 19.838 19.9977 0.0016478 5.749 0.160833
19000 520000 22.0331 21.7298 0.0122186 6.36994 0.157166
29000 520000 21.9332 21.2195 -0.0111985 6.34803 0.138937
39000 520000 21.8525 21.458 -0.000357078 6.34645 0.156803
49000 510000 22.1459 22.1898 0.023877 6.40226 0.172097
59000 520000 21.9388 21.2221 -0.00567148 6.35611 0.135858
69000 520000 22.0141 21.5572 -0.0121545 6.37585 0.155332
79000 520000 21.8882 21.338 -0.0202997 6.35445 0.14949
89000 520000 22.057 21.7084 -0.00877443 6.38146 0.155336
99000 520000 22.0576 21.4597 0.0394294 6.37596 0.143442
109000 520000 22.0204 21.6875 0.0056757 6.3712 0.159746
119000 520000 21.9266 21.4269 -0.0124652 6.36225 0.146192
129000 510000 21.9573 21.2634 0.00900032 6.34922 0.137335
139000 520000 22.124 21.7621 -0.00878555 6.39284 0.151337
149000 520000 22.0652 21.5357 0.0295356 6.37971 0.14384
159000 520000 21.8398 21.2771 0.0200806 6.33371 0.145048
169000 520000 21.8906 21.5352 -0.0138892 6.34841 0.15852
179000 520000 21.9823 21.4104 0.00078907 6.36522 0.144343
189000 520000 22.1146 21.9567 -0.0240072 6.3946 0.165443
199000 520000 21.9181 21.4071 0.00309028 6.35388 0.148028
209000 520000 21.9395 21.3643 0.0011327 6.34773 0.140467
219000 510000 21.8892 21.084 0.00826994 6.33304 0.129918
229000 520000 21.8296 21.679 0.0145341 6.33555 0.17382
239000 520000 22.0205 21.4713 -0.00134058 6.37159 0.144787
249000 520000 21.878 21.4088 0.0048703 6.34537 0.153766
259000 520000 21.9369 21.5037 0.0139821 6.35414 0.150761
269000 510000 21.9465 21.1588 0.00361984 6.34571 0.131714
279000 520000 22.0383 21.2969 0.0406464 6.36856 0.136533
289000 520000 22.0544 21.174 0.0179195 6.36888 0.127174
299000 520000 21.9125 21.0563 0.00438309 6.34076 0.129733
309000 520000 22.0294 21.449 -0.00243416 6.37703 0.143086
319000 520000 21.9363 21.2601 0.0244198 6.34148 0.142467
329000 520000 21.9585 21.4134 -0.00272332 6.36423 0.14883
339000 510000 22.0704 21.7591 -0.00614918 6.38723 0.159448
349000 520000 22.0852 21.3768 -0.00563487 6.37159 0.137601
359000 520000 21.8134 21.6378 0.00508639 6.33917 0.159929
369000 520000 21.9965 21.2773 0.0235729 6.36384 0.14372
379000 520000 21.9676 21.0697 -0.00400948 6.34665 0.122814
389000 520000 21.9647 22.0706 -0.0349213 6.36554 0.17359
399000 510000 22.0027 21.7326 -0.00524486 6.36742 0.159712
409000 520000 21.9824 21.5719 0.00285962 6.36778 0.151818
419000 520000 22.1428 21.4805 -0.00577383 6.39233 0.141584
429000 520000 21.9488 21.6731 -0.0357065 6.36647 0.16676
439000 520000 21.9386 21.7296 -0.0302693 6.36466 0.162699
449000 510000 22.0697 22.0272 -0.0123813 6.39047 0.168352
459000 520000 21.8415 21.6369 0.0528426 6.34488 0.161502
469000 520000 22.1308 22.2519 0.016733 6.40237 0.173842
479000 520000 21.8791 21.5168 -0.0184971 6.34836 0.158952
489000 520000 22.0906 21.6591 -0.0182483 6.38357 0.152093
499000 510000 22.0748 21.616 0.00153809 6.37235 0.149388
509000 520000 21.8462 21.5401 0.027503 6.34307 0.162753
519000 520000 22.0178 21.0251 -0.0266908 6.3599 0.122149
529000 520000 21.9512 21.1532 -0.00776468 6.34845 0.132612
539000 520000 22.014 21.632 -0.0131046 6.37241 0.153054
549000 520000 22.0498 22.1953 0.00146923 6.39202 0.172906
559000 510000 21.9366 21.4681 -0.0206788 6.35378 0.151334
569000 520000 21.7998 21.4386 -0.0157145 6.33366 0.156865
579000 520000 22.0188 21.375 -0.0385508 6.36924 0.140139
589000 520000 22.0099 21.5886 0.0126506 6.36483 0.158475
599000 520000 21.839 21.502 -0.0289178 6.3433 0.157536
609000 520000 22.1784 21.5768 0.0329737 6.39816 0.143854
619000 520000 22.0193 21.1026 -0.0037574 6.35979 0.128241
629000 510000 22.082 21.4682 0.0208824 6.37974 0.141025
639000 520000 22.069 21.6443 0.0278835 6.37755 0.152946
649000 520000 21.9577 22.0709 -0.000968211 6.36585 0.173393
659000 520000 21.9356 21.6467 0.0255829 6.35902 0.155676
669000 520000 21.9521 21.2017 -0.0374636 6.35515 0.134873
679000 520000 21.8511 21.0739 -0.0181273 6.32668 0.138443
689000 520000 22.0331 21.668 0.0298898 6.36846 0.148015
699000 510000 22.0867 21.6765 -0.0682414 6.38424 0.150289
709000 520000 21.9057 21.9748 -0.00471199 6.36003 0.176568
719000 520000 21.9925 21.6683 -0.00604006 6.36732 0.154382
729000 520000 21.8946 21.1367 0.0164253 6.34288 0.133777
739000 520000 22.0659 21.7558 0.0073374 6.37676 0.153157
749000 520000 22.0274 21.5177 -0.00798685 6.37232 0.150124
759000 510000 21.8519 21.3091 0.0218619 6.34643 0.149837
769000 520000 21.881 21.1298 0.00232612 6.34006 0.135325
779000 520000 21.9573 21.2027 -0.0414584 6.34983 0.137631
789000 520000 21.9892 21.6153 -0.000825538 6.36489 0.155019
799000 520000 21.876 21.6192 -0.0340349 6.34395 0.165382
809000 520000 21.8632 21.4316 0.00529842 6.34837 0.154824
819000 510000 21.8479 21.8061 0.00610098 6.34207 0.177206
829000 520000 22.0437 21.3977 0.0133533 6.36533 0.14118
839000 520000 21.9512 21.5765 0.0196712 6.3541 0.160068
849000 520000 22.0213 21.5709 -0.0112211 6.36954 0.151523
859000 520000 22.0095 21.5473 0.0522744 6.36376 0.147502
869000 520000 22.0381 21.7643 -0.00732386 6.38531 0.159716
879000 510000 22.0875 21.8264 -0.018181 6.38671 0.164577
889000 520000 21.9498 21.6181 -0.0349477 6.36671 0.159145
899000 520000 21.8906 21.324 0.0179628 6.33942 0.141228
909000 520000 21.8859 21.7 0.00850583 6.35068 0.16524
919000 520000 21.9529 21.794 -0.00623762 6.36502 0.159929
929000 510000 22.0614 21.5665 -0.0216647 6.37907 0.149038
939000 520000 22.0192 21.3366 0.0223881 6.36784 0.138027
949000 520000 22.0096 21.5022 -0.00108659 6.37306 0.149814
959000 520000 21.922 21.5322 0.00246361 6.35595 0.149703
969000 520000 22.029 21.5105 -0.00567897 6.37201 0.146348
979000 520000 22.0169 21.8301 -0.00810809 6.36878 0.162879
989000 510000 22.0258 21.7403 -0.0199217 6.37337 0.158855
999000 520000 21.8811 21.339 -0.00734288 6.34371 0.145343
