n t PE VE R R2 BS
0 0 -0.000344617 0.000382499 0.000398812 0.000403221 0.000424075
1000 1.04e+06 0.893268 0.580021 0.509132 0.648454 0.5061
2000 1.04e+06 0.590928 0.474705 -0.539848 0.553534 0.396413
3000 1.04e+06 0.397221 0.291986 -0.296583 0.279626 0.309101
4000 1.04e+06 0.64169 0.529746 -0.0411921 0.446204 0.509546
5000 1.04e+06 0.443052 0.5771 -0.431211 0.565644 0.485829
6000 1.03e+06 0.343955 0.533409 -0.24155 0.473344 0.52316
7000 1.04e+06 0.22414 0.636074 0.0830164 0.535477 0.608317
8000 1.04e+06 0.596538 0.267632 0.158745 0.213934 0.341899
9000 1.04e+06 0.881984 0.338022 -0.298287 0.325806 0.385432
10000 1.04e+06 0.572075 0.369245 -0.397167 0.378521 0.364239
11000 1.04e+06 0.0981587 0.296556 -0.0268947 0.22362 0.367379
12000 1.04e+06 0.485939 0.316984 -0.0245876 0.249332 0.4021
13000 1.04e+06 0.433633 0.346122 -0.102246 0.280461 0.415043
14000 1.04e+06 0.281948 0.363345 0.152067 0.313892 0.4148
15000 1.04e+06 0.453464 0.394734 -0.158462 0.370885 0.404937
16000 1.04e+06 0.420317 0.247934 -0.216325 0.204592 0.319362
17000 1.04e+06 0.51942 0.333192 -0.192168 0.286705 0.403617
18000 1.04e+06 0.776376 0.575475 -0.648539 0.706286 0.425665
19000 1.03e+06 0.406172 0.453102 -0.320605 0.454125 0.445739
20000 1.04e+06 0.477735 0.562432 -0.221945 0.504193 0.560802
21000 1.04e+06 0.336634 0.417494 -0.139968 0.362368 0.471517
22000 1.04e+06 0.469974 0.556154 0.0629506 0.468783 0.556395
23000 1.04e+06 0.476644 0.511921 -0.569581 0.616058 0.40815
24000 1.04e+06 0.626262 0.47983 -0.528813 0.554908 0.40038
25000 1.04e+06 0.60729 0.442892 -0.474824 0.503754 0.389344
26000 1.04e+06 0.633974 0.387123 0.416437 0.419564 0.379886
27000 1.04e+06 0.492465 0.402186 0.368886 0.432236 0.382879
28000 1.04e+06 0.542501 0.382284 -0.234596 0.353736 0.422278
