t PE VE R R2
1 0.728448 0.525989 -0.0317327 0.488352
2 0.66977 0.534899 -0.0140821 0.493022
3 0.607222 0.544744 0.000841121 0.497677
4 0.542822 0.554767 0.0130092 0.501571
5 0.478919 0.563362 0.0229852 0.503487
6 0.418117 0.568383 0.0316433 0.502015
7 0.362982 0.567654 0.0398927 0.495864
8 0.315689 0.559494 0.048486 0.484142
9 0.277773 0.543078 0.0579359 0.466521
10 0.250044 0.518554 0.068518 0.443274
11 0.232671 0.486923 0.0803163 0.415203
12 0.225324 0.449873 0.0932807 0.383523
13 0.227339 0.409477 0.107276 0.349732
14 0.237849 0.36795 0.122117 0.315498
15 0.255887 0.327469 0.13758 0.28256
16 0.280444 0.289938 0.153411 0.252653
17 0.310497 0.256945 0.169302 0.227437
18 0.345006 0.230103 0.184862 0.208426
19 0.382881 0.211115 0.199579 0.196894
20 0.422933 0.201623 0.212781 0.193758
21 0.463836 0.202503 0.223615 0.199436
22 0.504127 0.213992 0.23107 0.213715
23 0.542282 0.236195 0.23404 0.235701
24 0.576874 0.268202 0.231443 0.263899
25 0.606777 0.30809 0.222355 0.296448
26 0.631395 0.353868 0.206148 0.331463
27 0.650817 0.403737 0.182566 0.367364
28 0.665856 0.455669 0.151742 0.403079
29 0.677911 0.507698 0.114131 0.438059
30 0.688671 0.558006 0.0704099 0.472151
31 0.699753 0.60487 0.0213673 0.505402
32 0.712378 0.646615 -0.0321641 0.537869
33 0.727169 0.681631 -0.0893256 0.569475
34 0.744108 0.708404 -0.149206 0.5999
35 0.762598 0.725501 -0.210793 0.628499
36 0.78157 0.731824 -0.272926 0.654253
37 0.79957 0.726831 -0.334261 0.675778
38 0.814792 0.71022 -0.393251 0.691418
39 0.825044 0.682162 -0.448141 0.699456
40 0.827706 0.644065 -0.496985 0.698432
41 0.819745 0.599294 -0.537694 0.687588
42 0.797906 0.552425 -0.568147 0.667357
43 0.759178 0.5078 -0.586394 0.639785
44 0.701521 0.470492 -0.590936 0.608682
45 0.62469 0.444839 -0.581049 0.579301
46 0.530801 0.43328 -0.557043 0.557496
47 0.424305 0.442812 -0.520365 0.548533
48 0.311298 0.476611 -0.473472 0.555914
49 0.198434 0.535676 -0.419504 0.580593
50 0.0918392 0.615007 -0.361865 0.620819
51 -0.00361528 0.707457 -0.303818 0.672594
52 -0.0846157 0.805512 -0.248205 0.730561
53 -0.149346 0.900905 -0.197305 0.788981
54 -0.197251 0.986241 -0.152801 0.84257
55 -0.228765 1.05566 -0.115792 0.887043
56 -0.245093 1.1054 -0.0867849 0.919381
57 -0.248014 1.13361 -0.0656752 0.937836
58 -0.239658 1.14009 -0.051733 0.941749
59 -0.222219 1.12576 -0.0436607 0.93122
60 -0.197637 1.0921 -0.0397543 0.906776
61 -0.167341 1.04089 -0.038157 0.869167
62 -0.132152 0.974194 -0.0371326 0.819389
63 -0.0923711 0.894543 -0.0352714 0.758877
64 -0.0479625 0.805123 -0.0315783 0.689747
65 0.00121384 0.709994 -0.0254561 0.614943
66 0.0551883 0.614016 -0.0166388 0.53827
67 0.113688 0.522624 -0.00513219 0.464315
68 0.176001 0.441914 0.00881056 0.398216
69 0.240962 0.378241 0.0246921 0.345238
70 0.307095 0.337007 0.0418023 0.310097
71 0.372861 0.321277 0.059323 0.296169
72 0.436856 0.332088 0.0764991 0.304843
73 0.497875 0.368058 0.0928049 0.335313
74 0.554846 0.426554 0.108024 0.384837
75 0.606804 0.504215 0.12222 0.44929
76 0.652963 0.596698 0.135634 0.52374
77 0.692851 0.698634 0.148583 0.602942
78 0.726433 0.803595 0.161376 0.681714
79 0.754122 0.90461 0.174268 0.75524
80 0.776711 0.994747 0.187424 0.819326
81 0.795247 1.06784 0.20089 0.870599
82 0.810913 1.11903 0.214587 0.906631
83 0.824928 1.14514 0.228306 0.925978
84 0.838453 1.145 0.241732 0.92815
85 0.852473 1.11926 0.254478 0.913529
86 0.867673 1.07028 0.26609 0.883281
87 0.884332 1.00184 0.276043 0.839247
88 0.902292 0.918707 0.2837 0.783802
89 0.921035 0.826252 0.288277 0.719668
90 0.939865 0.729639 0.28884 0.649685
91 0.958143 0.633601 0.284357 0.576598
92 0.975516 0.542001 0.27382 0.502901
93 0.992039 0.457717 0.256393 0.430813
94 1.00815 0.382432 0.231576 0.362344
95 1.02451 0.317675 0.199308 0.299415
96 1.04177 0.263862 0.160017 0.243934
97 1.06027 0.221277 0.114619 0.197766
98 1.07991 0.190007 0.0644696 0.162591
99 1.10003 0.169918 0.0112946 0.139663
100 1.11942 0.160514 -0.0428948 0.12953
101 1.13645 0.160768 -0.0959091 0.131807
102 1.14925 0.169109 -0.145498 0.145063
103 1.15593 0.18366 -0.18947 0.166892
104 1.15477 0.202654 -0.225805 0.19415
105 1.14449 0.223483 -0.25275 0.223345
106 1.12433 0.24436 -0.268901 0.251092
107 1.0942 0.263729 -0.273266 0.274585
108 1.05473 0.280674 -0.265325 0.291992
