t PE VE R R2 BS
1 21.3847 29.616 -0.0640412 20.9082 1.47542
2 18.5351 24.8015 -0.0587762 17.8362 1.38792
3 15.0978 19.1791 -0.0406685 14.1256 1.2663
4 11.6009 13.7959 -0.0121495 10.34 1.13772
5 8.5301 9.29192 0.0351613 6.98501 1.00458
6 5.96728 5.71207 0.106642 4.17404 0.877638
7 4.08911 3.16142 0.202416 2.10318 0.749614
8 3.06885 1.7212 0.291677 0.947996 0.654126
9 2.84506 1.24597 0.382702 0.660686 0.60882
10 3.23251 1.50871 0.462069 1.0282 0.582802
11 4.02063 2.29594 0.519197 1.8352 0.566827
12 4.97956 3.4493 0.603872 2.86303 0.574083
13 5.83136 4.54231 0.632773 3.80465 0.589025
14 6.34161 5.26116 0.634105 4.41695 0.593869
15 6.41248 5.39458 0.668093 4.56984 0.568771
16 6.19543 5.20861 0.70734 4.43478 0.537683
17 5.64575 4.61217 0.742047 3.94492 0.495868
18 4.88391 3.82227 0.746496 3.25956 0.45623
19 4.15341 3.10941 0.729207 2.60532 0.425832
20 3.45485 2.45625 0.689162 1.97484 0.407848
21 2.87928 1.95404 0.638287 1.46657 0.405597
22 2.35297 1.52535 0.540496 1.02795 0.412695
23 1.92809 1.21271 0.442569 0.698855 0.431004
24 1.6224 1.04271 0.300974 0.490631 0.457995
25 1.46993 1.03826 0.163932 0.437148 0.49014
26 1.4073 1.19969 0.0400002 0.516241 0.525439
27 1.4052 1.42267 -0.0604988 0.67104 0.553406
28 1.4337 1.71915 -0.150995 0.883118 0.584462
29 1.49208 1.99782 -0.251898 1.09988 0.606941
30 1.54297 2.1827 -0.343597 1.25767 0.61647
31 1.51007 2.17901 -0.399846 1.28404 0.604056
32 1.41891 2.05939 -0.444287 1.22745 0.584262
33 1.35402 1.90527 -0.457252 1.15154 0.564663
34 1.21521 1.65524 -0.452445 0.993739 0.538509
35 1.07877 1.38211 -0.418304 0.810536 0.50945
36 0.964605 1.14223 -0.367057 0.6334 0.481334
37 0.880299 0.95504 -0.316319 0.496446 0.463168
38 0.832101 0.823732 -0.244772 0.402243 0.451289
39 0.809717 0.736358 -0.168372 0.343088 0.44736
40 0.799708 0.697589 -0.11939 0.323025 0.448285
41 0.797687 0.711603 -0.0707455 0.341308 0.454169
42 0.858777 0.778124 -0.0178512 0.406988 0.458079
43 0.911922 0.878956 0.0283586 0.492557 0.46735
44 0.970637 0.965752 0.0885076 0.565606 0.474162
45 1.04087 1.03587 0.141866 0.623591 0.475779
46 1.11556 1.07723 0.180231 0.662524 0.473844
47 1.15636 1.09392 0.186224 0.676629 0.473667
48 1.20483 1.11752 0.192975 0.700455 0.474192
49 1.21096 1.10046 0.179985 0.688254 0.47017
50 1.22235 1.09544 0.134207 0.682781 0.470457
51 1.19152 1.05363 0.10557 0.638086 0.471769
52 1.17729 1.03304 0.0924803 0.608757 0.480028
53 1.15666 1.00454 0.0813525 0.573404 0.489504
54 1.15481 0.988773 0.0577885 0.551464 0.497192
55 1.18401 0.993613 0.0212906 0.546379 0.506786
56 1.2079 0.999974 -0.0174697 0.531277 0.520364
57 1.22639 1.00128 -0.0563306 0.505196 0.534409
58 1.2426 1.03725 -0.0910849 0.490614 0.55275
59 1.24713 1.07574 -0.101446 0.487445 0.568737
60 1.26063 1.13791 -0.0997346 0.499949 0.5797
61 1.2846 1.17703 -0.0647741 0.514691 0.586466
62 1.32084 1.21671 -0.0159421 0.542581 0.593829
63 1.357 1.28688 0.0218133 0.594666 0.601627
64 1.34439 1.30004 0.0685665 0.617775 0.601182
65 1.37992 1.31856 0.0782816 0.64825 0.598693
66 1.39005 1.3232 0.0478694 0.66785 0.593827
67 1.35275 1.30806 0.0105686 0.668679 0.586755
68 1.31481 1.27594 -0.0154565 0.64944 0.577004
69 1.24323 1.21185 -0.0486412 0.601767 0.571048
70 1.17787 1.14488 -0.0459654 0.546851 0.570584
71 1.10946 1.12441 -0.0394879 0.517036 0.582498
72 1.09555 1.16177 -0.0457173 0.523026 0.598727
73 1.12861 1.21248 -0.0313239 0.543858 0.609426
74 1.18102 1.27081 0.0062389 0.576546 0.616258
75 1.21106 1.35577 0.0324665 0.620974 0.623148
76 1.21934 1.40158 0.0671123 0.652613 0.624476
77 1.22904 1.46445 0.0973317 0.692431 0.62216
78 1.23922 1.48963 0.135461 0.709329 0.616605
79 1.27131 1.50997 0.204118 0.742188 0.609935
80 1.28857 1.4708 0.278648 0.74931 0.595341
81 1.2952 1.3574 0.365195 0.722935 0.564179
82 1.31481 1.24049 0.464833 0.700875 0.526726
83 1.33839 1.13841 0.536294 0.681866 0.491791
84 1.34511 1.07239 0.581326 0.672029 0.463553
85 1.34321 1.03321 0.589858 0.659984 0.446864
86 1.34446 1.0097 0.58342 0.652093 0.429544
87 1.29987 0.950115 0.528772 0.595236 0.424133
88 1.23195 0.875808 0.452853 0.521365 0.418564
89 1.19397 0.829227 0.380724 0.473149 0.414033
90 1.12036 0.763358 0.292561 0.412653 0.407567
91 1.05689 0.707686 0.19858 0.363131 0.40227
92 1.02661 0.675732 0.108055 0.32819 0.402687
93 1.0382 0.657518 0.0136422 0.311405 0.402089
94 1.07474 0.642111 -0.0738558 0.299684 0.407503
