t PE VE R R2 BS
100 31.2903 50.5905 -2.1184 33.9058 1.50725
101 32.2363 52.0936 -2.12673 34.9172 1.52104
102 33.1993 53.6451 -2.13507 35.9479 1.53706
103 34.1785 55.2448 -2.14338 36.9972 1.55309
104 35.1747 56.8944 -2.15169 38.0657 1.56909
105 36.1879 58.5952 -2.16002 39.1536 1.58507
106 37.2176 60.3472 -2.16834 40.2603 1.60103
107 38.2638 62.1511 -2.1766 41.3857 1.61695
108 39.3262 64.008 -2.18483 42.5297 1.63287
109 40.4051 65.9185 -2.19305 43.6924 1.64876
110 41.5003 67.8836 -2.20127 44.8738 1.66464
111 42.6117 69.9042 -2.2095 46.0736 1.68051
112 43.7396 71.9811 -2.21771 47.2921 1.69637
113 44.8837 74.115 -2.22591 48.5292 1.71221
114 46.044 76.3066 -2.23408 49.7847 1.72803
115 47.2202 78.5561 -2.24222 51.0584 1.74443
116 48.4126 80.865 -2.25036 52.3505 1.76104
117 49.6206 83.2332 -2.25851 53.6604 1.77762
118 50.8443 85.6619 -2.26667 54.9882 1.79418
119 52.0834 88.1512 -2.27479 56.3335 1.8113
120 53.3381 90.7017 -2.28285 57.6966 1.82938
121 54.6083 93.3149 -2.29091 59.0774 1.84744
122 55.8941 95.9914 -2.29898 60.476 1.86548
123 57.1955 98.7325 -2.30706 61.8923 1.88351
124 58.512 101.538 -2.31512 63.326 1.90152
125 59.8436 104.408 -2.32314 64.7768 1.9195
126 61.1898 107.343 -2.33112 66.2444 1.93841
127 62.5507 110.344 -2.33909 67.7289 1.95731
128 63.926 113.411 -2.34699 69.2298 1.97618
129 65.3163 116.545 -2.35488 70.7477 1.99503
130 66.7211 119.747 -2.36272 72.2823 2.01385
131 68.1404 123.018 -2.37054 73.8334 2.03265
132 69.5739 126.358 -2.37833 75.4009 2.05143
133 71.022 129.767 -2.38611 76.985 2.07017
134 72.4848 133.247 -2.39393 78.5858 2.0889
135 73.9627 136.799 -2.40175 80.2038 2.10761
136 75.4552 140.424 -2.40956 81.8385 2.12648
137 76.9617 144.122 -2.41736 83.4892 2.14538
138 78.4824 147.892 -2.4251 85.1561 2.16424
139 80.0175 151.736 -2.43283 86.8395 2.18308
140 81.5666 155.654 -2.44057 88.5389 2.20189
141 83.1293 159.645 -2.44826 90.254 2.22068
142 84.706 163.712 -2.45593 91.985 2.23944
143 86.2965 167.855 -2.46356 93.732 2.2586
144 87.9009 172.073 -2.47117 95.4947 2.27851
145 89.5195 176.369 -2.47876 97.2736 2.2984
146 91.1513 180.743 -2.48631 99.0678 2.31913
147 92.7968 185.194 -2.49387 100.878 2.34007
148 94.4558 189.725 -2.50144 102.703 2.36099
149 96.1282 194.335 -2.50901 104.543 2.38189
150 97.8141 199.025 -2.51661 106.4 2.40277
151 99.5132 203.795 -2.52418 108.271 2.42363
152 101.225 208.645 -2.53169 110.157 2.44445
153 102.95 213.575 -2.53915 112.057 2.46524
154 104.687 218.586 -2.5466 113.973 2.486
155 106.438 223.678 -2.55403 115.903 2.50673
156 108.201 228.853 -2.56144 117.848 2.52875
157 109.977 234.112 -2.56886 119.808 2.55106
158 111.766 239.452 -2.57627 121.782 2.57334
159 113.567 244.876 -2.58368 123.771 2.59559
160 115.38 250.383 -2.59108 125.773 2.61781
161 117.206 255.974 -2.59845 127.79 2.63999
162 119.043 261.649 -2.60578 129.821 2.66214
163 120.893 267.409 -2.61308 131.866 2.68426
164 122.756 273.255 -2.62037 133.925 2.70635
165 124.631 279.189 -2.62766 135.999 2.72841
166 126.519 285.209 -2.63494 138.087 2.75045
167 128.42 291.319 -2.64225 140.19 2.77335
168 130.333 297.516 -2.64954 142.307 2.79634
169 132.258 303.801 -2.65682 144.438 2.82041
170 134.195 310.173 -2.66409 146.583 2.84451
171 136.143 316.634 -2.67131 148.74 2.86859
172 138.104 323.187 -2.67855 150.913 2.89264
173 140.077 329.826 -2.68579 153.098 2.91665
174 142.06 336.554 -2.69299 155.297 2.94063
175 144.055 343.373 -2.70017 157.508 2.96458
176 146.062 350.281 -2.70734 159.733 2.9885
177 148.081 357.282 -2.71449 161.972 3.01239
178 150.111 364.372 -2.72162 164.224 3.0375
179 152.151 371.55 -2.72872 166.487 3.06281
180 154.203 378.818 -2.73577 168.763 3.08809
181 156.265 386.178 -2.74282 171.052 3.11332
182 158.339 393.629 -2.74981 173.355 3.13852
183 160.425 401.173 -2.75679 175.67 3.16366
184 162.522 408.813 -2.76378 177.999 3.18878
185 164.63 416.547 -2.77075 180.34 3.21443
186 166.749 424.371 -2.77767 182.694 3.24159
187 168.879 432.291 -2.78459 185.06 3.2694
188 171.018 440.304 -2.79149 187.438 3.29796
189 173.169 448.413 -2.79835 189.829 3.32649
190 175.33 456.617 -2.80518 192.232 3.35619
191 177.502 464.914 -2.81198 194.646 3.38587
192 179.684 473.303 -2.81877 197.073 3.41551
193 181.877 481.789 -2.82552 199.512 3.4451
194 184.08 490.372 -2.83226 201.964 3.47465
195 186.294 499.05 -2.83897 204.427 3.50417
196 188.517 507.824 -2.84564 206.901 3.53364
197 190.751 516.694 -2.85231 209.388 3.56308
198 192.995 525.662 -2.85899 211.886 3.59248
199 195.249 534.729 -2.86566 214.396 3.62186
200 197.512 543.893 -2.87232 216.916 3.6512
201 199.786 553.153 -2.87896 219.448 3.6805
202 202.069 562.515 -2.88559 221.992 3.70977
203 204.362 571.976 -2.89223 224.547 3.73901
204 206.665 581.536 -2.89888 227.113 3.76821
205 208.977 591.192 -2.9055 229.69 3.79736
206 211.298 600.945 -2.91209 232.278 3.82646
207 213.627 610.794 -2.91868 234.875 3.85551
208 215.966 620.743 -2.92527 237.484 3.88454
209 218.315 630.792 -2.93189 240.103 3.91352
210 220.672 640.938 -2.93848 242.733 3.94247
211 223.037 651.182 -2.94506 245.372 3.97137
212 225.41 661.522 -2.95162 248.02 4.00023
213 227.792 671.96 -2.95812 250.679 4.02904
214 230.183 682.498 -2.96459 253.348 4.05783
215 232.582 693.135 -2.97101 256.027 4.08657
216 234.99 703.868 -2.9774 258.716 4.11526
217 237.407 714.702 -2.9838 261.415 4.14392
218 239.831 725.635 -2.99018 264.124 4.17253
219 242.264 736.666 -2.99655 266.841 4.20111
