n t PE VE R R2 BS
9000 0 42.3726 38.9526 0.00135626 10.9884 0.0447633
19000 850000 47.3238 43.5034 -0.0129114 12.2656 0.046101
29000 850000 47.414 43.6231 -0.00453646 12.2925 0.0498976
39000 840000 47.4262 43.6155 0.00508575 12.2929 0.0475373
49000 850000 47.3093 43.5057 0.0133097 12.2649 0.0486987
59000 850000 47.192 43.4032 0.0178742 12.2383 0.0506508
69000 840000 47.2078 43.4058 0.0175244 12.24 0.048052
79000 850000 47.2945 43.5215 0.0123565 12.267 0.052019
89000 840000 47.4347 43.6266 0.00379122 12.2949 0.0478291
99000 850000 47.4211 43.6118 -0.00581641 12.2921 0.0478101
109000 850000 47.2931 43.4898 -0.0138249 12.2603 0.0488943
119000 840000 47.2053 43.3905 -0.0180323 12.237 0.0476613
129000 850000 47.225 43.4167 -0.0172819 12.2428 0.0474885
139000 850000 47.3417 43.5359 -0.0117801 12.2721 0.0487885
149000 840000 47.4327 43.613 -0.00303938 12.294 0.0462525
159000 850000 47.3931 43.6133 0.00653696 12.2882 0.0510015
169000 840000 47.2847 43.4914 0.014316 12.2594 0.0500145
179000 850000 47.2086 43.4024 0.018159 12.2379 0.0487844
189000 850000 47.2157 43.4229 0.0170094 12.2439 0.049683
199000 840000 47.3384 43.5465 0.0111832 12.2737 0.0497071
209000 850000 47.4241 43.6404 0.00228226 12.2962 0.0511147
219000 850000 47.3939 43.6073 -0.00724614 12.2882 0.0513239
229000 840000 47.2818 43.4689 -0.0147823 12.2574 0.0472828
239000 850000 47.1918 43.3881 -0.0182542 12.2346 0.0485613
249000 850000 47.2102 43.4303 -0.0167073 12.2438 0.051253
259000 840000 47.3375 43.545 -0.0105669 12.2747 0.0488243
269000 850000 47.4058 43.6298 -0.00152118 12.295 0.0512207
279000 850000 47.3866 43.5831 0.00794273 12.2838 0.0481272
289000 840000 47.2708 43.4618 0.0152229 12.2554 0.0468729
299000 850000 47.1918 43.3851 0.0183176 12.2347 0.0484185
309000 850000 47.239 43.4315 0.0163761 12.2473 0.0479807
319000 840000 47.3602 43.5627 0.00993215 12.2786 0.0493001
329000 850000 47.4333 43.6384 0.000757445 12.2966 0.0499582
339000 840000 47.3968 43.5778 -0.00862551 12.2842 0.0460964
349000 850000 47.2596 43.4506 -0.015637 12.2516 0.0473136
359000 850000 47.1966 43.3798 -0.0183492 12.2348 0.04723
369000 840000 47.2529 43.4423 -0.0160165 12.2501 0.0476453
379000 850000 47.3741 43.5666 -0.00928019 12.2809 0.0481684
389000 850000 47.4425 43.6341 7.60189e-06 12.2964 0.0479536
399000 840000 47.3715 43.5727 0.0092933 12.281 0.0491224
409000 850000 47.2478 43.4483 0.0160239 12.2498 0.0483749
419000 850000 47.1842 43.3848 0.0183489 12.234 0.0486681
429000 840000 47.2494 43.4698 0.015629 12.2525 0.0518616
439000 850000 47.3773 43.5868 0.00861209 12.2831 0.0498558
449000 850000 47.4397 43.6321 -0.000772636 12.297 0.0483586
459000 840000 47.3756 43.5715 -0.00994493 12.2799 0.048375
469000 850000 47.2556 43.4446 -0.016383 12.2495 0.0479952
479000 850000 47.1933 43.3993 -0.0183167 12.2368 0.0495798
489000 840000 47.2555 43.4762 -0.0152144 12.2533 0.0516411
499000 850000 47.382 43.588 -0.00792902 12.2843 0.0488717
509000 850000 47.4375 43.6271 0.00153633 12.2962 0.0473165
519000 840000 47.3636 43.5472 0.0105793 12.2764 0.0467159
529000 850000 47.2258 43.4266 0.0167136 12.2453 0.0494289
539000 850000 47.202 43.3901 0.0182526 12.2363 0.0477548
549000 840000 47.2734 43.4655 0.0147733 12.2563 0.0476382
559000 850000 47.3854 43.5986 0.00723217 12.2869 0.0505814
569000 840000 47.4228 43.6399 -0.00229735 12.2964 0.0511534
579000 850000 47.3569 43.5468 -0.0111952 12.2746 0.0476555
589000 850000 47.2338 43.4173 -0.0170151 12.2443 0.0465122
599000 840000 47.1973 43.3804 -0.0181568 12.2357 0.0464001
609000 850000 47.2804 43.4877 -0.0143065 12.2591 0.0493996
619000 850000 47.3976 43.6012 -0.00652275 12.2883 0.0491506
629000 840000 47.4457 43.6261 0.00305437 12.2967 0.0459421
639000 850000 47.3345 43.5385 0.0117917 12.2714 0.049903
649000 850000 47.2131 43.4153 0.0172871 12.2414 0.0500874
659000 840000 47.1814 43.4126 0.0180295 12.237 0.0539713
669000 850000 47.2857 43.4976 0.0138149 12.2608 0.0505066
679000 850000 47.4037 43.6104 0.00580198 12.2905 0.0496512
689000 840000 47.4173 43.624 -0.00380609 12.2939 0.05001
699000 850000 47.3257 43.5362 -0.0123677 12.2694 0.0507451
709000 850000 47.2069 43.4128 -0.017529 12.2404 0.0496724
719000 840000 47.1971 43.4064 -0.0178708 12.2389 0.0501625
729000 850000 47.3161 43.4995 -0.0132992 12.2644 0.0467331
739000 850000 47.412 43.6235 -0.00507114 12.2928 0.050942
749000 840000 47.4193 43.6156 0.00455119 12.2932 0.0479858
759000 850000 47.3135 43.5173 0.0129222 12.2671 0.0499444
769000 840000 47.2076 43.408 0.0177404 12.239 0.0496618
779000 850000 47.1997 43.3963 0.017681 12.2381 0.0490959
789000 850000 47.2932 43.5323 0.0127604 12.2667 0.0540499
799000 840000 47.3941 43.6374 0.00433147 12.2923 0.0541983
809000 850000 47.3966 43.6132 -0.00528838 12.2909 0.0506269
819000 850000 47.2819 43.497 -0.0134542 12.2621 0.0504791
829000 840000 47.1788 43.4023 -0.017921 12.2364 0.0516785
839000 850000 47.2037 43.4132 -0.0174605 12.24 0.0502838
849000 850000 47.3258 43.5273 -0.0121995 12.2686 0.0493963
859000 840000 47.4301 43.6157 -0.00358428 12.2944 0.0470145
869000 850000 47.4096 43.5952 0.00601638 12.2898 0.0470858
879000 850000 47.3003 43.4985 0.0139629 12.262 0.0483629
889000 840000 47.2011 43.3965 0.0180704 12.2369 0.0489849
899000 850000 47.2183 43.4271 0.0172097 12.2425 0.0504307
909000 850000 47.3456 43.5254 0.0116173 12.2718 0.04614
919000 840000 47.4329 43.6246 0.00283085 12.295 0.0475611
