t PE VE R R2
1001 7.9743 1.30669 -0.389329 1.05331
1002 7.91227 1.30765 -0.389577 1.05373
1003 7.85077 1.30861 -0.389826 1.05414
1004 7.78989 1.30955 -0.390074 1.05455
1005 7.72972 1.31049 -0.390321 1.05495
1006 7.67035 1.31141 -0.390568 1.05536
1007 7.61186 1.31232 -0.390815 1.05575
1008 7.55432 1.31321 -0.391061 1.05614
1009 7.49783 1.3141 -0.391307 1.05653
1010 7.44246 1.31497 -0.391553 1.05691
1011 7.38828 1.31582 -0.391798 1.05729
1012 7.33538 1.31666 -0.392043 1.05766
1013 7.28383 1.31749 -0.392287 1.05803
1014 7.2337 1.3183 -0.392531 1.05839
1015 7.18506 1.31909 -0.392775 1.05875
1016 7.13797 1.31986 -0.393018 1.0591
1017 7.09251 1.32061 -0.393261 1.05945
1018 7.04874 1.32135 -0.393503 1.05979
1019 7.00672 1.32207 -0.393745 1.06012
1020 6.9665 1.32276 -0.393987 1.06045
1021 6.92814 1.32344 -0.394228 1.06078
1022 6.8917 1.3241 -0.394469 1.0611
1023 6.85722 1.32473 -0.39471 1.06141
1024 6.82476 1.32535 -0.39495 1.06172
1025 6.79436 1.32594 -0.395189 1.06202
1026 6.76605 1.32651 -0.395429 1.06232
1027 6.73988 1.32706 -0.395667 1.06261
1028 6.71588 1.32758 -0.395906 1.06289
1029 6.69409 1.32808 -0.396144 1.06317
1030 6.67454 1.32856 -0.396382 1.06344
1031 6.65724 1.32902 -0.396619 1.06371
1032 6.64223 1.32945 -0.396856 1.06397
1033 6.62952 1.32986 -0.397092 1.06422
1034 6.61913 1.33024 -0.397328 1.06447
1035 6.61108 1.3306 -0.397564 1.06471
1036 6.60536 1.33094 -0.397799 1.06495
1037 6.602 1.33125 -0.398034 1.06518
1038 6.60098 1.33153 -0.398269 1.0654
1039 6.60232 1.3318 -0.398503 1.06562
1040 6.606 1.33204 -0.398737 1.06583
1041 6.61203 1.33225 -0.39897 1.06604
1042 6.62038 1.33244 -0.399203 1.06624
1043 6.63105 1.33261 -0.399435 1.06643
1044 6.64402 1.33276 -0.399668 1.06662
1045 6.65927 1.33288 -0.399899 1.0668
1046 6.67678 1.33297 -0.400131 1.06698
1047 6.69651 1.33305 -0.400362 1.06715
1048 6.71845 1.3331 -0.400592 1.06731
1049 6.74256 1.33313 -0.400822 1.06747
1050 6.7688 1.33314 -0.401052 1.06763
1051 6.79713 1.33312 -0.401281 1.06778
1052 6.82751 1.33309 -0.40151 1.06792
1053 6.85991 1.33303 -0.401739 1.06806
1054 6.89426 1.33295 -0.401967 1.06819
1055 6.93053 1.33285 -0.402195 1.06832
1056 6.96865 1.33274 -0.402422 1.06844
1057 7.00859 1.3326 -0.402649 1.06856
1058 7.05027 1.33245 -0.402875 1.06867
1059 7.09363 1.33227 -0.403101 1.06878
1060 7.13863 1.33208 -0.403327 1.06888
1061 7.18519 1.33188 -0.403552 1.06898
1062 7.23324 1.33165 -0.403777 1.06907
1063 7.28272 1.33141 -0.404002 1.06916
1064 7.33357 1.33116 -0.404226 1.06924
1065 7.3857 1.33089 -0.404449 1.06932
1066 7.43904 1.33061 -0.404673 1.06939
1067 7.49352 1.33031 -0.404896 1.06947
1068 7.54907 1.33 -0.405118 1.06953
1069 7.6056 1.32968 -0.40534 1.06959
1070 7.66304 1.32935 -0.405562 1.06965
1071 7.72131 1.32901 -0.405783 1.06971
1072 7.78033 1.32866 -0.406004 1.06976
1073 7.84001 1.3283 -0.406224 1.06981
1074 7.90027 1.32793 -0.406444 1.06985
1075 7.96104 1.32756 -0.406664 1.06989
1076 8.02222 1.32717 -0.406883 1.06993
1077 8.08374 1.32678 -0.407102 1.06996
1078 8.1455 1.32639 -0.40732 1.06999
1079 8.20744 1.32599 -0.407538 1.07002
1080 8.26945 1.32559 -0.407756 1.07005
1081 8.33147 1.32519 -0.407973 1.07007
1082 8.39339 1.32478 -0.40819 1.07009
1083 8.45516 1.32437 -0.408406 1.07011
1084 8.51667 1.32397 -0.408622 1.07012
1085 8.57785 1.32356 -0.408838 1.07013
1086 8.63861 1.32315 -0.409053 1.07014
1087 8.69889 1.32274 -0.409268 1.07015
1088 8.75859 1.32234 -0.409482 1.07016
1089 8.81764 1.32194 -0.409696 1.07016
1090 8.87596 1.32154 -0.409909 1.07017
1091 8.93348 1.32115 -0.410123 1.07017
1092 8.99012 1.32077 -0.410335 1.07017
1093 9.04581 1.32038 -0.410547 1.07016
1094 9.10049 1.32001 -0.410759 1.07016
1095 9.15407 1.31964 -0.410971 1.07016
1096 9.20649 1.31928 -0.411182 1.07015
1097 9.25769 1.31893 -0.411392 1.07015
1098 9.30761 1.31859 -0.411603 1.07014
1099 9.35618 1.31826 -0.411812 1.07013
1100 9.40334 1.31794 -0.412022 1.07012
1101 9.44904 1.31762 -0.412231 1.07011
1102 9.49322 1.31732 -0.412439 1.07011
1103 9.53583 1.31703 -0.412648 1.0701
1104 9.57682 1.31676 -0.412855 1.07009
1105 9.61615 1.31649 -0.413063 1.07008
1106 9.65376 1.31624 -0.41327 1.07007
1107 9.68963 1.31601 -0.413476 1.07006
1108 9.7237 1.31578 -0.413682 1.07005
1109 9.75594 1.31557 -0.413888 1.07004
1110 9.78632 1.31538 -0.414093 1.07003
1111 9.81482 1.3152 -0.414298 1.07002
1112 9.84139 1.31504 -0.414502 1.07001
1113 9.86602 1.31489 -0.414706 1.07
1114 9.88868 1.31476 -0.41491 1.07
1115 9.90937 1.31464 -0.415113 1.06999
1116 9.92805 1.31454 -0.415316 1.06998
1117 9.94472 1.31446 -0.415518 1.06998
1118 9.95937 1.31439 -0.41572 1.06998
1119 9.97199 1.31434 -0.415922 1.06997
1120 9.98258 1.3143 -0.416123 1.06997
1121 9.99114 1.31429 -0.416324 1.06997
1122 9.99767 1.31429 -0.416524 1.06997
1123 10.0022 1.3143 -0.416724 1.06997
1124 10.0047 1.31434 -0.416923 1.06998
1125 10.0051 1.31439 -0.417122 1.06998
1126 10.0036 1.31446 -0.417321 1.06999
1127 10.0002 1.31454 -0.417519 1.06999
1128 9.99472 1.31464 -0.417717 1.07
1129 9.98736 1.31476 -0.417914 1.07001
1130 9.97809 1.31489 -0.418111 1.07002
1131 9.96695 1.31504 -0.418308 1.07003
1132 9.95396 1.31521 -0.418504 1.07005
1133 9.93917 1.31539 -0.418699 1.07006
1134 9.92259 1.31558 -0.418895 1.07008
1135 9.90428 1.3158 -0.41909 1.0701
1136 9.88427 1.31602 -0.419284 1.07012
1137 9.86262 1.31626 -0.419478 1.07014
1138 9.83935 1.31652 -0.419672 1.07016
1139 9.81453 1.31679 -0.419865 1.07018
1140 9.7882 1.31707 -0.420058 1.0702
1141 9.76041 1.31737 -0.42025 1.07023
1142 9.73121 1.31768 -0.420442 1.07026
1143 9.70068 1.318 -0.420633 1.07028
1144 9.66885 1.31834 -0.420824 1.07031
1145 9.63579 1.31868 -0.421015 1.07034
1146 9.60156 1.31904 -0.421205 1.07037
1147 9.56622 1.31941 -0.421395 1.0704
1148 9.52984 1.31978 -0.421584 1.07043
1149 9.49248 1.32017 -0.421773 1.07047
1150 9.45421 1.32057 -0.421962 1.0705
1151 9.41508 1.32097 -0.42215 1.07053
1152 9.37518 1.32138 -0.422338 1.07057
1153 9.33457 1.32181 -0.422525 1.0706
1154 9.29332 1.32223 -0.422712 1.07063
1155 9.2515 1.32267 -0.422898 1.07067
1156 9.20918 1.32311 -0.423084 1.0707
1157 9.16642 1.32355 -0.42327 1.07074
1158 9.12331 1.32401 -0.423455 1.07077
1159 9.07991 1.32446 -0.42364 1.0708
1160 9.0363 1.32492 -0.423824 1.07084
1161 8.99254 1.32538 -0.424008 1.07087
1162 8.94871 1.32585 -0.424192 1.0709
1163 8.90487 1.32632 -0.424375 1.07093
1164 8.8611 1.32679 -0.424557 1.07096
1165 8.81747 1.32726 -0.424739 1.07099
1166 8.77404 1.32773 -0.424921 1.07102
1167 8.73089 1.3282 -0.425103 1.07105
1168 8.68808 1.32867 -0.425283 1.07108
1169 8.64568 1.32914 -0.425464 1.0711
1170 8.60376 1.32961 -0.425644 1.07113
1171 8.56237 1.33008 -0.425824 1.07115
1172 8.52158 1.33054 -0.426003 1.07117
1173 8.48146 1.331 -0.426182 1.07119
1174 8.44207 1.33146 -0.42636 1.0712
1175 8.40346 1.33192 -0.426538 1.07122
1176 8.36569 1.33237 -0.426715 1.07123
1177 8.32882 1.33281 -0.426893 1.07124
1178 8.29289 1.33325 -0.427069 1.07125
1179 8.25798 1.33369 -0.427245 1.07125
1180 8.22411 1.33411 -0.427421 1.07126
1181 8.19135 1.33454 -0.427597 1.07126
1182 8.15973 1.33495 -0.427772 1.07126
1183 8.12931 1.33536 -0.427946 1.07125
1184 8.10012 1.33576 -0.42812 1.07124
1185 8.0722 1.33616 -0.428294 1.07123
1186 8.0456 1.33654 -0.428467 1.07122
1187 8.02034 1.33692 -0.42864 1.0712
1188 7.99646 1.33729 -0.428812 1.07118
1189 7.97398 1.33765 -0.428984 1.07116
1190 7.95295 1.338 -0.429156 1.07113
1191 7.93337 1.33834 -0.429327 1.0711
1192 7.91527 1.33867 -0.429498 1.07107
1193 7.89868 1.33899 -0.429668 1.07104
1194 7.88361 1.3393 -0.429838 1.071
1195 7.87008 1.33961 -0.430007 1.07095
1196 7.85809 1.3399 -0.430176 1.0709
1197 7.84767 1.34018 -0.430344 1.07085
1198 7.8388 1.34045 -0.430513 1.0708
1199 7.8315 1.34071 -0.43068 1.07074
1200 7.82578 1.34096 -0.430847 1.07068
1201 7.82162 1.3412 -0.431014 1.07061
1202 7.81902 1.34143 -0.431181 1.07054
1203 7.81799 1.34165 -0.431346 1.07047
1204 7.8185 1.34186 -0.431512 1.07039
1205 7.82056 1.34205 -0.431677 1.07031
1206 7.82413 1.34224 -0.431842 1.07023
1207 7.82922 1.34242 -0.432006 1.07014
1208 7.83579 1.34258 -0.43217 1.07005
1209 7.84383 1.34274 -0.432333 1.06995
1210 7.85331 1.34288 -0.432496 1.06985
1211 7.86421 1.34302 -0.432658 1.06975
1212 7.8765 1.34315 -0.43282 1.06964
1213 7.89015 1.34326 -0.432982 1.06953
1214 7.90512 1.34337 -0.433143 1.06941
1215 7.92139 1.34347 -0.433304 1.06929
1216 7.9389 1.34356 -0.433464 1.06917
1217 7.95763 1.34364 -0.433624 1.06905
1218 7.97754 1.34371 -0.433784 1.06892
1219 7.99857 1.34377 -0.433943 1.06879
1220 8.02069 1.34382 -0.434101 1.06865
1221 8.04385 1.34387 -0.434259 1.06851
1222 8.068 1.34391 -0.434417 1.06837
1223 8.09309 1.34394 -0.434574 1.06823
1224 8.11908 1.34397 -0.434731 1.06808
1225 8.1459 1.34399 -0.434888 1.06794
1226 8.17351 1.344 -0.435044 1.06778
1227 8.20186 1.34401 -0.435199 1.06763
1228 8.23087 1.34401 -0.435354 1.06748
1229 8.26051 1.344 -0.435509 1.06732
1230 8.29071 1.344 -0.435663 1.06717
1231 8.32141 1.34398 -0.435817 1.06701
1232 8.35255 1.34397 -0.43597 1.06685
1233 8.38408 1.34395 -0.436123 1.06669
1234 8.41594 1.34392 -0.436276 1.06653
1235 8.44806 1.3439 -0.436428 1.06637
1236 8.48038 1.34387 -0.436579 1.06621
1237 8.51285 1.34384 -0.43673 1.06606
1238 8.54539 1.34381 -0.436881 1.0659
1239 8.57796 1.34377 -0.437031 1.06574
1240 8.61049 1.34374 -0.437181 1.06559
1241 8.64291 1.34371 -0.437331 1.06544
1242 8.67518 1.34367 -0.43748 1.06529
1243 8.70722 1.34364 -0.437628 1.06514
1244 8.73898 1.34361 -0.437776 1.06499
1245 8.77041 1.34358 -0.437924 1.06485
1246 8.80144 1.34355 -0.438071 1.06471
1247 8.83201 1.34352 -0.438218 1.06457
1248 8.86207 1.3435 -0.438364 1.06444
1249 8.89157 1.34348 -0.43851 1.06431
1250 8.92045 1.34346 -0.438656 1.06418
1251 8.94865 1.34344 -0.438801 1.06406
1252 8.97613 1.34343 -0.438946 1.06394
1253 9.00283 1.34343 -0.43909 1.06383
1254 9.02871 1.34342 -0.439233 1.06372
1255 9.05371 1.34343 -0.439377 1.06361
1256 9.0778 1.34343 -0.43952 1.0635
1257 9.10093 1.34345 -0.439662 1.0634
1258 9.12305 1.34346 -0.439804 1.0633
1259 9.14413 1.34349 -0.439946 1.06321
1260 9.16412 1.34351 -0.440087 1.06311
1261 9.18299 1.34355 -0.440227 1.06303
1262 9.2007 1.34359 -0.440367 1.06294
1263 9.21723 1.34364 -0.440507 1.06286
1264 9.23253 1.34369 -0.440647 1.06278
1265 9.24659 1.34375 -0.440785 1.06271
1266 9.25937 1.34381 -0.440924 1.06264
1267 9.27085 1.34388 -0.441062 1.06257
1268 9.28101 1.34396 -0.4412 1.0625
1269 9.28982 1.34405 -0.441337 1.06244
1270 9.29728 1.34414 -0.441473 1.06238
1271 9.30336 1.34424 -0.44161 1.06233
1272 9.30806 1.34434 -0.441745 1.06228
1273 9.31136 1.34446 -0.441881 1.06223
1274 9.31325 1.34458 -0.442016 1.06219
1275 9.31373 1.3447 -0.44215 1.06215
1276 9.3128 1.34484 -0.442284 1.06211
1277 9.31045 1.34497 -0.442418 1.06208
1278 9.30669 1.34512 -0.442551 1.06205
1279 9.30152 1.34527 -0.442684 1.06202
1280 9.29495 1.34543 -0.442816 1.062
1281 9.28699 1.3456 -0.442948 1.06198
1282 9.27764 1.34577 -0.443079 1.06197
1283 9.26692 1.34595 -0.44321 1.06196
1284 9.25485 1.34613 -0.443341 1.06195
1285 9.24145 1.34632 -0.443471 1.06195
1286 9.22673 1.34651 -0.4436 1.06195
1287 9.21072 1.34671 -0.443729 1.06195
1288 9.19345 1.34691 -0.443858 1.06196
1289 9.17493 1.34712 -0.443986 1.06197
1290 9.15521 1.34734 -0.444114 1.06199
1291 9.13431 1.34755 -0.444242 1.06201
1292 9.11226 1.34778 -0.444368 1.06203
1293 9.08911 1.348 -0.444495 1.06205
1294 9.06488 1.34823 -0.444621 1.06208
1295 9.03962 1.34846 -0.444747 1.06212
1296 9.01336 1.34869 -0.444872 1.06215
1297 8.98616 1.34893 -0.444997 1.06219
1298 8.95804 1.34917 -0.445121 1.06224
1299 8.92907 1.34941 -0.445245 1.06228
1300 8.89929 1.34965 -0.445368 1.06233
1301 8.86873 1.34989 -0.445491 1.06238
1302 8.83747 1.35014 -0.445613 1.06243
1303 8.80554 1.35038 -0.445735 1.06249
1304 8.77299 1.35062 -0.445857 1.06255
1305 8.73989 1.35086 -0.445978 1.06261
1306 8.70628 1.3511 -0.446099 1.06267
1307 8.67223 1.35134 -0.446219 1.06273
1308 8.63778 1.35158 -0.446339 1.0628
1309 8.60299 1.35181 -0.446458 1.06287
1310 8.56792 1.35205 -0.446577 1.06293
1311 8.53263 1.35228 -0.446696 1.063
1312 8.49718 1.3525 -0.446814 1.06307
1313 8.46162 1.35272 -0.446931 1.06314
1314 8.42602 1.35294 -0.447049 1.06321
1315 8.39043 1.35315 -0.447165 1.06328
1316 8.3549 1.35336 -0.447282 1.06336
1317 8.31951 1.35356 -0.447397 1.06343
1318 8.28431 1.35375 -0.447513 1.0635
1319 8.24935 1.35394 -0.447628 1.06357
1320 8.2147 1.35412 -0.447742 1.06363
1321 8.18042 1.3543 -0.447856 1.0637
1322 8.14655 1.35447 -0.44797 1.06377
1323 8.11316 1.35462 -0.448083 1.06383
1324 8.0803 1.35478 -0.448195 1.0639
1325 8.04803 1.35492 -0.448308 1.06396
1326 8.01641 1.35505 -0.448419 1.06402
1327 7.98547 1.35517 -0.448531 1.06408
1328 7.95529 1.35529 -0.448642 1.06413
1329 7.9259 1.35539 -0.448752 1.06418
1330 7.89736 1.35548 -0.448862 1.06423
1331 7.86971 1.35557 -0.448971 1.06428
1332 7.84301 1.35564 -0.44908 1.06433
1333 7.8173 1.3557 -0.449189 1.06437
1334 7.79262 1.35575 -0.449297 1.06441
1335 7.76901 1.35579 -0.449405 1.06444
1336 7.74653 1.35581 -0.449512 1.06448
1337 7.72519 1.35582 -0.449619 1.0645
1338 7.70505 1.35583 -0.449726 1.06453
1339 7.68613 1.35581 -0.449831 1.06455
1340 7.66848 1.35579 -0.449937 1.06457
1341 7.65212 1.35575 -0.450042 1.06458
1342 7.63707 1.3557 -0.450147 1.06459
1343 7.62338 1.35564 -0.450251 1.0646
1344 7.61106 1.35557 -0.450354 1.0646
1345 7.60014 1.35548 -0.450458 1.0646
1346 7.59063 1.35537 -0.45056 1.06459
1347 7.58256 1.35526 -0.450663 1.06458
1348 7.57595 1.35513 -0.450765 1.06456
1349 7.5708 1.35499 -0.450866 1.06454
1350 7.56712 1.35483 -0.450967 1.06452
1351 7.56494 1.35466 -0.451067 1.06449
1352 7.56425 1.35448 -0.451168 1.06446
