n t PE VE R R2 BS
9000 0 21.3913 19.1107 -0.0510751 5.67981 0.13731
19000 890000 19.9995 19.6972 0.33459 5.65656 0.15546
29000 890000 23.3061 20.0924 -0.0458724 5.72523 0.148688
39000 880000 21.9851 20.3237 -0.134226 5.99444 0.149895
49000 890000 27.0088 24.3555 -0.73536 7.5474 0.150174
59000 890000 20.9439 18.9627 0.295069 5.34779 0.148489
69000 890000 24.2492 21.0655 -0.221739 6.20877 0.153337
79000 890000 23.3473 21.9945 -0.0466864 6.55778 0.150772
89000 880000 23.4265 20.2484 -0.412904 5.79728 0.149216
99000 890000 22.0695 20.2839 0.369586 5.90074 0.150336
109000 890000 21.8586 21.0794 -0.296453 6.20295 0.153459
119000 890000 23.8778 21.0477 0.327796 6.14867 0.15221
129000 880000 21.155 21.1768 0.355284 6.22991 0.152732
139000 890000 22.0166 20.8696 -0.292625 6.08531 0.151955
149000 890000 22.6674 21.2907 0.213467 6.26022 0.153747
159000 880000 22.5888 19.8938 -0.0919592 5.75212 0.151893
169000 890000 22.3002 20.5917 -0.217529 6.0806 0.151422
179000 890000 23.4307 22.0209 0.0951088 6.49526 0.157467
189000 890000 21.3098 20.5531 -0.20786 5.92375 0.152179
199000 890000 23.2934 20.7319 -0.19289 6.01891 0.150357
209000 880000 22.4655 19.4452 -0.133681 5.52746 0.149606
219000 890000 20.4161 20.5589 -0.0706217 5.95788 0.15071
229000 890000 25.2284 19.8326 -0.00113665 5.70496 0.14916
239000 880000 23.3975 20.5221 -0.14386 6.02213 0.152877
249000 890000 22.9054 20.4893 -0.180778 5.9823 0.152985
259000 890000 22.3324 20.0203 -0.457447 5.79458 0.150158
269000 890000 22.1145 20.7281 -0.183285 6.05295 0.152837
279000 890000 21.9645 19.9255 0.535319 5.73558 0.153402
289000 880000 22.6935 21.8868 0.393338 6.48682 0.153046
299000 890000 22.0844 19.1812 -0.169147 5.37505 0.150265
309000 890000 23.0339 21.8221 0.149565 6.51197 0.153639
319000 890000 24.2137 21.9761 0.573455 6.59077 0.152943
329000 880000 23.5965 20.4795 0.31394 6.05099 0.151977
339000 890000 23.1254 20.3036 -0.455456 5.87582 0.150329
349000 890000 23.8708 21.1236 -0.0703087 6.32475 0.151325
359000 890000 22.8626 20.985 -0.207292 6.26439 0.149495
369000 880000 22.8006 20.3295 -0.532617 5.82239 0.152303
379000 890000 24.1879 21.0541 -0.680844 6.25159 0.150386
389000 890000 22.2116 20.4859 0.168523 5.9425 0.15309
399000 880000 23.4599 20.89 -0.208052 6.23625 0.149976
409000 890000 24.0227 21.0744 -0.65754 6.21009 0.151892
419000 890000 23.6746 22.7149 -0.776019 6.7535 0.155986
429000 890000 22.5637 21.1998 0.11667 6.20215 0.154864
439000 890000 25.463 21.3602 -0.223408 6.36875 0.147145
449000 880000 23.1736 20.9319 -0.390643 6.1783 0.149415
459000 890000 22.4577 21.1094 -0.0221851 6.23307 0.149455
469000 890000 20.825 20.2108 0.354685 5.93716 0.153438
479000 890000 22.0652 20.699 -0.318709 6.04618 0.151871
489000 880000 20.7176 20.2516 0.2186 5.75737 0.153962
499000 890000 23.7145 21.0228 -0.506614 6.19634 0.148289
509000 890000 23.5442 22.2778 0.155154 6.75882 0.152509
519000 880000 22.6013 19.2897 -0.315641 5.49609 0.150347
529000 890000 25.4059 23.5208 0.659606 7.28326 0.156278
539000 890000 23.0528 19.5272 0.432176 5.62136 0.149396
549000 890000 22.2639 20.4693 0.147283 5.90333 0.153708
559000 890000 23.1601 20.1667 -0.329315 5.91332 0.148271
569000 880000 20.9733 19.5342 -0.0975329 5.50156 0.153299
579000 890000 23.0071 20.2344 0.134265 5.80667 0.152053
589000 890000 21.6912 19.5964 0.108548 5.54112 0.151013
599000 880000 27.1687 21.9688 0.163735 6.62361 0.150055
609000 890000 21.8624 19.5269 -0.0346102 5.66552 0.149823
619000 890000 25.9518 22.3217 0.85698 6.68539 0.150574
629000 890000 23.8009 21.8916 0.32142 6.59674 0.152183
639000 890000 23.8113 20.7307 0.432675 6.09108 0.149663
649000 880000 23.8491 21.6918 -0.272098 6.51355 0.14949
659000 890000 24.3083 20.661 0.333977 6.03291 0.148576
669000 890000 25.325 22.7258 0.274401 6.80695 0.147966
679000 890000 23.9998 21.2046 0.422261 6.24727 0.151377
689000 880000 22.2985 20.3721 0.0754128 5.90457 0.154712
699000 890000 19.3068 19.6921 0.20083 5.64759 0.157129
709000 890000 19.8418 18.7715 -0.0923236 5.3131 0.149027
719000 890000 24.5498 21.3605 0.197106 6.39438 0.150953
