n t PE VE R R2 BS
1020 2445 2.61994 1.48589 -0.914947 1.02461 0.332764
1030 1837 1.9068 1.65473 -0.994126 1.17714 0.338163
1040 2450 1.51752 1.76386 -1.04669 1.27393 0.335287
1050 1827 1.52794 1.84468 -1.08398 1.34436 0.331304
1060 1825 1.82871 1.91001 -1.11465 1.40636 0.323324
1070 2443 2.3887 1.89705 -1.10834 1.39549 0.315284
1080 2094 3.14222 1.85086 -1.08593 1.35511 0.312292
1090 2173 3.7044 1.81037 -1.05612 1.30822 0.324198
1100 1816 4.03497 1.74719 -1.00496 1.22991 0.34105
1110 2446 4.27947 1.64669 -0.946246 1.12971 0.3498
1120 1818 4.40914 1.52632 -0.890068 1.01987 0.345921
1130 2445 4.32402 1.41235 -0.831096 0.913117 0.339964
1140 1815 4.38374 1.27179 -0.752955 0.783264 0.335002
1150 2298 4.36218 1.10909 -0.657499 0.638849 0.328189
1160 1975 4.14976 0.946227 -0.536274 0.48837 0.33033
1170 1828 3.64325 0.791746 -0.403636 0.351433 0.32796
1180 2449 3.04577 0.647151 -0.282857 0.235687 0.305147
1190 1816 2.55408 0.523139 -0.171375 0.141245 0.265028
1200 1817 2.29776 0.441814 -0.0723834 0.0789354 0.209063
1210 2447 1.91802 0.420103 0.0183866 0.061778 0.187082
1220 1819 1.49815 0.470169 0.114595 0.0996205 0.237435
1230 2456 1.23215 0.57859 0.194908 0.177046 0.30426
1240 1819 1.17071 0.721154 0.268177 0.276058 0.357766
1250 2445 1.39447 0.875613 0.346573 0.384635 0.400879
1260 1815 1.76013 1.02531 0.410721 0.485477 0.435987
1270 1822 2.3229 1.18033 0.485115 0.596846 0.453902
1280 2160 2.83686 1.28393 0.565279 0.696041 0.441115
1290 1821 3.29684 1.29556 0.613919 0.732257 0.418788
1300 1822 3.68191 1.22574 0.631768 0.701359 0.385349
1310 2513 3.9916 1.14074 0.634848 0.646619 0.344371
1320 1832 4.23565 1.05404 0.623043 0.585952 0.305377
1330 1821 4.26316 0.971185 0.603364 0.522824 0.285481
1340 2453 4.27237 0.921419 0.59623 0.488036 0.281769
1350 1835 3.94451 0.888027 0.586212 0.464687 0.281328
1360 1821 3.50346 0.896836 0.583957 0.472175 0.292414
1370 2446 2.94346 0.943063 0.588365 0.506085 0.309525
1380 2471 2.50939 1.01027 0.57839 0.548603 0.330311
1390 1822 2.33715 1.14121 0.584527 0.632761 0.361838
1400 1814 2.24146 1.30203 0.588267 0.735069 0.403912
1410 2269 2.18617 1.4655 0.578639 0.840849 0.437798
1420 1994 2.273 1.61628 0.554285 0.937817 0.466655
1430 2444 2.21834 1.70036 0.510709 1.00829 0.478895
1440 1815 2.20924 1.73619 0.474033 1.06422 0.470419
1450 1813 2.42 1.75717 0.438476 1.12613 0.463461
1460 2449 2.83843 1.77197 0.397836 1.18256 0.456393
1470 1835 3.18809 1.76821 0.359811 1.21087 0.444802
1480 2447 3.20301 1.82457 0.309462 1.25827 0.438766
1490 1814 2.9761 1.9331 0.259476 1.31358 0.447091
1500 2447 2.72887 1.96425 0.214038 1.30541 0.448616
1510 1815 2.55935 1.88611 0.175391 1.23559 0.435512
1520 1820 2.50759 1.78103 0.154419 1.16321 0.412604
1530 2127 2.55704 1.70771 0.154694 1.13252 0.384257
1540 2160 2.56754 1.60493 0.152803 1.07617 0.352109
1550 2311 2.54693 1.46453 0.121749 0.979971 0.322687
1560 1953 2.85212 1.32095 0.0671061 0.881928 0.282328
1570 2452 3.25085 1.22412 -0.000481212 0.813522 0.254122
1580 1816 3.54361 1.1885 -0.0536118 0.772382 0.2567
1590 1824 3.67086 1.14421 -0.0778506 0.702052 0.285115
1600 2446 3.58965 1.1204 -0.0972685 0.640441 0.32613
1610 1819 3.30479 1.08615 -0.127866 0.568291 0.366929
1620 1821 3.04764 1.04565 -0.155587 0.508935 0.390788
1630 2459 2.9292 0.966108 -0.175046 0.446567 0.387783
1640 1819 2.76531 0.849369 -0.173939 0.370837 0.360008
1650 2437 2.45003 0.748118 -0.164092 0.307018 0.330563
1660 1842 1.9393 0.695402 -0.147466 0.272267 0.307017
1670 2453 1.16661 0.688658 -0.132758 0.267886 0.296833
1680 1817 0.355439 0.697957 -0.120108 0.26923 0.312577
1690 2443 -0.450882 0.717063 -0.104964 0.274126 0.340507
1700 1851 -0.933682 0.725313 -0.0863517 0.275251 0.35536
1710 2450 -1.18583 0.710404 -0.0706887 0.259219 0.354182
1720 1835 -1.36567 0.693789 -0.0610775 0.240932 0.347168
1730 1837 -1.72873 0.670862 -0.0480529 0.222468 0.342842
1740 2457 -2.20589 0.628246 -0.0326094 0.192221 0.3352
1750 1834 -2.67662 0.597738 -0.0222883 0.168668 0.334669
1760 2105 -3.14925 0.603484 -0.029187 0.17063 0.344955
1770 2163 -3.51218 0.628227 -0.0497311 0.187682 0.358585
1780 1822 -3.82471 0.676297 -0.0700373 0.221514 0.381023
1790 2464 -4.04734 0.723769 -0.077361 0.260385 0.39371
1800 1882 -3.83795 0.758131 -0.0759311 0.290739 0.38744
1810 2465 -3.2032 0.772432 -0.0897532 0.305133 0.365368
1820 1825 -2.82381 0.771368 -0.11548 0.30747 0.352879
1830 2475 -3.21997 0.780626 -0.143847 0.314421 0.350336
1840 1846 -3.92667 0.810222 -0.165562 0.333873 0.358563
1850 2467 -4.54117 0.836651 -0.214728 0.355237 0.3645
1860 1840 -4.76426 0.836129 -0.277943 0.366415 0.353062
1870 1826 -4.60396 0.841897 -0.34743 0.389483 0.326985
1880 2455 -4.00116 0.870955 -0.417 0.42579 0.308263
1890 1833 -2.93662 0.895178 -0.446427 0.440371 0.303311
1900 1833 -1.74926 0.914906 -0.456018 0.446587 0.312988
1910 2462 -0.833774 0.940079 -0.456894 0.454514 0.334844
1920 2470 0.271704 0.966187 -0.471427 0.471647 0.357304
1930 1846 1.15165 0.975621 -0.473325 0.475842 0.384658
1940 1842 1.69079 0.975073 -0.451594 0.465992 0.416156
1950 2324 2.0042 0.970454 -0.419147 0.449231 0.433759
1960 1981 1.88793 0.966935 -0.399141 0.437137 0.429776
1970 2453 1.47797 0.951409 -0.374449 0.420479 0.420612
1980 1848 1.00024 0.928591 -0.352138 0.407381 0.410389
1990 2053 0.549056 0.871953 -0.325266 0.382904 0.392449
2000 2200 0.359884 0.788287 -0.275815 0.336069 0.364137
2010 1818 0.410416 0.713673 -0.229599 0.288598 0.329299
2020 2449 0.79644 0.639128 -0.177365 0.239102 0.291383
2030 1832 1.21699 0.601184 -0.110408 0.208519 0.275417
2040 2117 1.30519 0.624514 -0.0259191 0.215747 0.292676
2050 2175 1.13354 0.706856 0.082365 0.256209 0.344812
2060 1848 0.963806 0.829226 0.184643 0.32179 0.408048
2070 1851 0.797392 0.971027 0.291502 0.409121 0.459462
2080 2459 0.917216 1.09726 0.395421 0.502329 0.490718
2090 2465 1.25504 1.1959 0.493951 0.591431 0.498004
2100 1834 1.66473 1.24895 0.577664 0.660022 0.478188
2110 2449 2.2431 1.23997 0.64261 0.695073 0.434525
2120 1816 2.74695 1.20645 0.701993 0.715926 0.376376
2130 1820 3.18063 1.1955 0.767921 0.749825 0.317819
2140 2463 3.61588 1.16069 0.791716 0.743263 0.275947
2150 1830 3.64009 1.10822 0.779447 0.702275 0.251639
2160 1827 3.48556 1.05786 0.755093 0.656979 0.24554
2170 2448 3.05283 1.01695 0.725265 0.617063 0.246255
2180 1854 2.56006 1.00718 0.705099 0.604214 0.259969
2190 2377 2.23375 0.997783 0.679236 0.591487 0.292813
2200 1925 2.07224 1.01375 0.663782 0.59692 0.323803
2210 1858 1.75481 1.04327 0.653745 0.608584 0.357889
2220 2456 1.32838 1.05398 0.643979 0.605105 0.369655
2230 1839 0.964701 1.0324 0.632912 0.581868 0.362697
2240 1979 0.681664 0.998307 0.627516 0.556943 0.342603
2250 2352 0.502562 0.959033 0.612908 0.527743 0.323785
2260 2479 0.519978 0.892514 0.562388 0.467537 0.318138
2270 1852 0.613436 0.810576 0.483782 0.388065 0.318473
2280 1892 0.75257 0.748917 0.393884 0.320962 0.327534
2290 2471 1.05457 0.695504 0.293883 0.262287 0.332746
2300 2342 1.45804 0.665021 0.203432 0.224649 0.337635
2310 2040 1.79729 0.652033 0.12331 0.202646 0.339474
2320 2458 2.16482 0.645587 0.0604754 0.192283 0.339617
2330 1863 2.47267 0.639156 0.00332274 0.186664 0.34012
2340 1846 2.74031 0.628308 -0.0495461 0.181455 0.331402
2350 2452 2.92557 0.611046 -0.0909309 0.175685 0.320712
2360 1834 2.87989 0.589975 -0.107982 0.167381 0.315357
2370 2463 2.79962 0.572373 -0.11767 0.160016 0.307794
2380 1922 2.49396 0.560375 -0.105892 0.153658 0.3049
2390 2406 1.88408 0.559972 -0.0859724 0.153781 0.310019
2400 1849 1.30985 0.579727 -0.0652094 0.165026 0.319612
2410 2046 1.10991 0.620655 -0.05519 0.19036 0.338353
2420 2250 0.92577 0.664188 -0.0689759 0.220829 0.350555
2430 1841 0.831559 0.69287 -0.079907 0.24341 0.361434
2440 2408 0.97018 0.702108 -0.0989732 0.250721 0.368522
2450 1851 1.20226 0.68815 -0.128995 0.244324 0.37011
2460 2462 1.49369 0.644156 -0.145168 0.217612 0.356714
2470 1843 1.54144 0.585697 -0.151259 0.178702 0.326998
2480 1864 1.7266 0.550846 -0.163814 0.155186 0.30712
2490 2325 1.89797 0.53842 -0.169589 0.146774 0.286419
2500 1836 1.99483 0.544199 -0.17802 0.151344 0.270288
