t PE VE R R2
1001 -0.0905602 0.102207 -0.0467046 0.238656
1002 -0.0959629 0.102295 -0.0467511 0.238845
1003 -0.101356 0.102383 -0.0467977 0.239035
1004 -0.10674 0.102471 -0.0468442 0.239224
1005 -0.112115 0.102559 -0.0468907 0.239413
1006 -0.117481 0.102648 -0.0469372 0.239602
1007 -0.122837 0.102736 -0.0469838 0.239791
1008 -0.128183 0.102824 -0.0470303 0.239979
1009 -0.133521 0.102912 -0.0470768 0.240168
1010 -0.138848 0.103 -0.0471234 0.240357
1011 -0.144167 0.103089 -0.0471699 0.240545
1012 -0.149476 0.103177 -0.0472164 0.240733
1013 -0.154775 0.103265 -0.047263 0.240921
1014 -0.160065 0.103354 -0.0473095 0.241109
1015 -0.165346 0.103442 -0.047356 0.241297
1016 -0.170616 0.10353 -0.0474026 0.241484
1017 -0.175878 0.103618 -0.0474491 0.241672
1018 -0.181129 0.103707 -0.0474956 0.241859
1019 -0.186372 0.103795 -0.0475421 0.242047
1020 -0.191604 0.103884 -0.0475887 0.242234
1021 -0.196827 0.103972 -0.0476352 0.242421
1022 -0.20204 0.10406 -0.0476817 0.242607
1023 -0.207243 0.104149 -0.0477283 0.242794
1024 -0.212437 0.104237 -0.0477748 0.242981
1025 -0.217621 0.104325 -0.0478213 0.243167
1026 -0.222796 0.104414 -0.0478678 0.243353
1027 -0.22796 0.104502 -0.0479144 0.24354
1028 -0.233115 0.104591 -0.0479609 0.243726
1029 -0.23826 0.104679 -0.0480074 0.243912
1030 -0.243395 0.104768 -0.048054 0.244097
1031 -0.24852 0.104856 -0.0481005 0.244283
1032 -0.253635 0.104945 -0.048147 0.244468
1033 -0.258741 0.105033 -0.0481935 0.244654
1034 -0.263836 0.105122 -0.0482401 0.244839
1035 -0.268922 0.10521 -0.0482866 0.245024
1036 -0.273998 0.105299 -0.0483331 0.245209
1037 -0.279063 0.105387 -0.0483796 0.245394
1038 -0.284119 0.105476 -0.0484262 0.245578
1039 -0.289165 0.105564 -0.0484727 0.245763
1040 -0.294201 0.105653 -0.0485192 0.245947
1041 -0.299226 0.105741 -0.0485657 0.246132
