n t PE VE R R2 BS
9000 0 0.736061 0.591071 -0.581788 0.636958 0.268565
19000 7.24e+06 0.743285 0.686005 -0.192401 0.728049 0.326088
29000 7.23e+06 0.456155 0.443968 0.0784597 0.276319 0.329674
39000 7.24e+06 0.758652 0.898661 0.441525 1.10387 0.344922
49000 7.24e+06 0.562073 0.64357 -0.535277 0.663502 0.319466
59000 7.23e+06 0.584677 0.463654 0.20784 0.331988 0.304003
69000 7.25e+06 0.6246 0.469435 -0.135999 0.335219 0.313162
79000 7.23e+06 0.578918 0.501349 -0.273852 0.39317 0.308897
89000 7.24e+06 0.667809 0.600291 -0.0170483 0.592593 0.30587
99000 7.23e+06 1.3981 1.26288 0.634271 1.87145 0.284303
109000 7.24e+06 0.498158 0.504539 0.215644 0.398296 0.315991
119000 7.24e+06 0.836808 0.601716 0.152396 0.590553 0.301192
129000 7.24e+06 0.644349 0.457672 -0.0439991 0.323681 0.306634
139000 7.23e+06 0.628512 0.541251 -0.224606 0.476138 0.305612
149000 7.24e+06 0.821603 0.500958 -0.0918663 0.407611 0.293946
159000 7.24e+06 0.767322 0.504692 0.120889 0.4034 0.314645
169000 7.24e+06 0.757934 0.970865 0.142694 1.24467 0.353015
179000 7.23e+06 0.471831 0.524412 0.209139 0.448703 0.307105
189000 7.24e+06 0.387204 0.54907 0.33849 0.455791 0.337072
199000 7.24e+06 0.50065 0.455159 0.289673 0.301645 0.316998
209000 7.24e+06 0.422354 0.519119 0.370043 0.434913 0.30894
219000 7.23e+06 0.799715 0.79357 -0.126872 0.947248 0.309933
229000 7.24e+06 0.532814 0.688257 -0.537108 0.721161 0.335287
239000 7.24e+06 1.14848 1.14855 0.890677 1.60834 0.324343
249000 7.24e+06 0.973864 0.93496 -0.958217 1.1977 0.322154
259000 7.23e+06 0.361031 0.462862 -0.135661 0.317084 0.317473
269000 7.25e+06 0.613214 0.548018 0.261633 0.495528 0.294538
279000 7.24e+06 0.590964 0.505414 -0.44827 0.420079 0.292729
289000 7.23e+06 1.05642 0.961901 -0.0714853 1.263 0.30183
299000 7.24e+06 0.417923 0.487248 0.301482 0.364117 0.327625
309000 7.24e+06 0.609452 0.528739 0.030357 0.450658 0.312056
319000 7.24e+06 0.464424 0.563703 -0.291259 0.496281 0.32353
329000 7.23e+06 0.325571 0.633534 0.359505 0.57406 0.371562
339000 7.24e+06 0.672874 0.601401 0.319454 0.599612 0.296818
349000 7.24e+06 0.534109 0.517375 -0.250512 0.43292 0.306883
359000 7.24e+06 0.471499 0.485034 -0.275812 0.37255 0.307351
369000 7.23e+06 0.473075 0.535113 0.183556 0.465915 0.298471
379000 7.24e+06 0.867171 0.519314 -0.349364 0.455637 0.284912
389000 7.24e+06 0.698134 0.959987 0.811948 1.22596 0.355238
399000 7.23e+06 0.706462 0.822897 -0.367336 0.983204 0.322716
409000 7.24e+06 0.486915 0.566695 0.247477 0.480472 0.356029
419000 7.24e+06 0.690822 0.539935 -0.151474 0.462911 0.326556
429000 7.24e+06 0.741319 0.76714 -0.472526 0.900157 0.312505
439000 7.24e+06 0.784845 0.737 0.43999 0.83576 0.306734
449000 7.24e+06 0.697108 0.786353 -0.478381 0.916785 0.332945
459000 7.23e+06 0.972688 0.926561 -0.838118 1.1964 0.314624
469000 7.24e+06 0.44769 0.528749 -0.116746 0.448328 0.314531
479000 7.24e+06 0.601353 0.551154 0.37138 0.51148 0.283381
489000 7.24e+06 0.52626 0.591615 -0.209243 0.536512 0.343505
499000 7.24e+06 0.918924 0.732673 -0.505253 0.830156 0.316681
509000 7.23e+06 0.458147 0.446528 -0.0465942 0.307825 0.293557
519000 7.24e+06 0.64004 0.657889 -0.501746 0.694067 0.304097
529000 7.24e+06 1.02852 1.06489 -0.718159 1.4484 0.330845
539000 7.24e+06 0.85225 0.682022 0.722603 0.751652 0.293726
549000 7.24e+06 0.914288 0.782244 -0.499217 0.920776 0.315536
559000 7.24e+06 0.900809 0.589779 -0.427951 0.554886 0.317137
569000 7.23e+06 0.389915 0.542833 -0.0504111 0.449542 0.334587
579000 7.24e+06 0.366395 0.510686 0.0462138 0.42139 0.303454
589000 7.24e+06 0.357319 0.474878 0.0061721 0.359696 0.297915
599000 7.24e+06 0.449257 0.616522 0.368132 0.604302 0.327938
609000 7.24e+06 0.634923 0.54888 -0.30126 0.487632 0.302014
619000 7.24e+06 0.537088 0.540175 0.0969652 0.439209 0.356
629000 7.24e+06 0.82651 0.641533 -0.4645 0.662656 0.308945
639000 7.24e+06 0.891056 0.734128 -0.242202 0.850148 0.293865
649000 7.23e+06 0.743441 0.598507 0.26709 0.573744 0.322937
659000 7.25e+06 1.09706 1.02649 -0.564618 1.39614 0.312634
669000 7.23e+06 0.811628 0.588379 0.404674 0.576923 0.290551
679000 7.24e+06 0.89294 0.976567 -0.178004 1.24951 0.349156
689000 7.24e+06 0.828267 0.64315 -0.421114 0.673881 0.304321
699000 7.24e+06 0.549971 0.613759 -0.558603 0.612638 0.306799
709000 7.24e+06 0.589366 0.536309 -0.223824 0.464355 0.310969
719000 7.24e+06 0.294515 0.449685 -0.0865835 0.290247 0.320792
729000 7.23e+06 0.580937 0.461928 0.0100664 0.331791 0.304903
739000 7.24e+06 0.493716 0.614144 -0.264169 0.59969 0.317229
749000 7.23e+06 0.564235 0.515955 -0.138376 0.429326 0.306105
759000 7.24e+06 0.699762 0.569417 -0.541413 0.55011 0.278333
769000 7.24e+06 0.482387 0.767386 0.103179 0.876269 0.346167
779000 7.24e+06 0.546964 0.815459 0.804042 0.968785 0.332748
789000 7.23e+06 0.485865 0.39805 0.000582296 0.22062 0.287639
799000 7.24e+06 0.598413 0.607858 -0.512152 0.611468 0.292217
809000 7.24e+06 0.525026 0.614262 -0.228604 0.603638 0.321968
819000 7.24e+06 0.765389 0.725135 -0.70306 0.806783 0.324574
829000 7.23e+06 0.723099 0.565261 0.0529181 0.521319 0.306487
839000 7.24e+06 0.663922 0.609464 -0.0740954 0.613582 0.297876
849000 7.24e+06 0.7798 0.735544 0.468859 0.826461 0.315546
859000 7.24e+06 0.685396 0.534582 0.189918 0.460871 0.32291
869000 7.24e+06 0.62657 0.554914 -0.0658331 0.492864 0.319624
879000 7.24e+06 0.575366 0.665049 -0.575338 0.677635 0.331073
889000 7.24e+06 0.47159 0.479991 0.184968 0.365338 0.304873
899000 7.23e+06 0.773492 0.82511 -0.061658 0.998315 0.305652
909000 7.24e+06 0.583082 0.563424 0.254754 0.502684 0.324981
919000 7.24e+06 1.16737 0.954591 0.817497 1.27649 0.298708
929000 7.23e+06 0.730294 0.605246 -0.0527737 0.615159 0.280747
939000 7.24e+06 0.755738 0.537089 0.439994 0.478901 0.285777
949000 7.24e+06 0.826916 0.667651 0.571516 0.717203 0.303229
959000 7.23e+06 0.880053 0.856325 0.731296 1.04948 0.329441
969000 7.24e+06 0.588692 0.539414 -0.145017 0.468441 0.307456
979000 7.24e+06 0.374845 0.423571 -0.178696 0.249386 0.312953
989000 7.23e+06 0.600903 0.531392 0.164732 0.443629 0.325312
999000 7.24e+06 0.873259 0.487214 0.217014 0.37641 0.300865
