n t PE VE R R2 BS
0 0 0.0007161 0.000481957 0.000275951 0.000470534 0.00051457
1000 780000 0.522743 0.398143 0.39935 0.446703 0.433571
2000 790000 0.359573 0.319777 -0.0395544 0.309584 0.421395
3000 780000 0.493292 0.505114 -0.509023 0.587969 0.44709
4000 780000 0.642087 0.494547 -0.647407 0.668011 0.383253
5000 780000 0.62656 0.907555 -0.139776 0.774124 0.738453
6000 790000 0.271372 0.468606 -0.160715 0.426323 0.496206
7000 780000 0.411118 0.264447 -0.207221 0.277765 0.351753
8000 780000 0.483235 0.382808 0.46763 0.458652 0.378982
9000 790000 0.630664 0.671133 0.48482 0.727432 0.569833
10000 780000 0.441176 0.814562 0.494532 0.82488 0.601387
11000 780000 0.216706 0.522629 0.264245 0.507957 0.514893
12000 780000 0.437985 0.306197 0.0388388 0.281533 0.42126
13000 790000 0.490184 0.612877 0.484097 0.664317 0.497496
14000 780000 0.420625 0.509678 0.659415 0.696728 0.39727
15000 780000 0.370276 0.311059 0.104911 0.293913 0.429801
16000 780000 0.386245 0.423199 0.356385 0.446789 0.450544
17000 780000 0.331287 0.596094 0.43038 0.621482 0.522758
18000 790000 0.475947 0.344634 0.106631 0.32332 0.430905
19000 780000 0.368332 0.341502 -0.0038517 0.303018 0.440988
20000 780000 0.475636 0.619282 0.453268 0.6705 0.553903
21000 790000 0.460592 0.595395 0.272737 0.605553 0.576288
22000 780000 0.459081 0.336684 -0.0945455 0.309127 0.422816
23000 780000 0.502953 0.366672 0.252686 0.351919 0.402905
24000 780000 0.592437 0.521318 -0.197442 0.490196 0.53936
25000 790000 0.74201 0.913105 -0.535952 0.948118 0.671747
26000 780000 0.553402 0.55575 -0.230265 0.539687 0.515488
27000 780000 0.556612 0.454763 0.0770724 0.400171 0.486083
28000 780000 0.67403 0.472621 -0.513931 0.58146 0.439057
29000 790000 0.397093 0.528706 -0.0691361 0.49451 0.537201
30000 780000 0.554193 0.552142 0.345008 0.545241 0.523272
31000 780000 0.611221 0.379988 0.179315 0.352756 0.454375
32000 790000 0.352709 0.368661 -0.141796 0.389433 0.421954
33000 780000 0.610356 0.612958 -0.573165 0.741995 0.514289
34000 780000 0.367842 0.263898 -0.16714 0.244089 0.35796
35000 790000 0.413797 0.355531 0.115687 0.33566 0.473601
36000 780000 0.429009 0.371575 0.0309757 0.330855 0.458531
37000 780000 0.413225 0.68904 -0.619566 0.828745 0.498359
38000 780000 0.765679 0.938065 -0.672787 1.08719 0.636502
39000 790000 0.60424 0.285939 0.0401116 0.280052 0.384915
40000 780000 0.634253 0.497111 0.383962 0.516131 0.489355
41000 780000 0.320362 0.385235 -0.00713885 0.365263 0.475879
42000 780000 0.878184 0.514304 -0.685622 0.720673 0.370224
43000 790000 0.49436 0.280767 0.148478 0.269493 0.396434
44000 780000 0.686073 0.404018 0.432961 0.462807 0.409237
45000 780000 0.307535 0.580481 -0.0277551 0.519258 0.560446
46000 790000 0.238169 0.286726 -0.14755 0.272685 0.388891
47000 780000 0.439917 0.35788 0.0329509 0.330305 0.459767
48000 780000 0.674334 0.357384 -0.0789662 0.321113 0.440766
49000 790000 0.485076 0.235295 -0.149245 0.217306 0.353684
50000 780000 0.373263 0.314267 0.275433 0.318182 0.372221
51000 780000 0.114529 0.425317 0.339831 0.438462 0.457677
