t PE VE R R2
141 0.133017 0.300214 -0.218789 0.315895
142 0.170662 0.318466 -0.225228 0.334562
143 0.212038 0.337103 -0.220582 0.350625
144 0.256638 0.354579 -0.204796 0.3629
145 0.304184 0.369952 -0.178236 0.371202
146 0.354518 0.382867 -0.141629 0.376256
147 0.407447 0.39338 -0.0959727 0.379487
148 0.462597 0.402009 -0.0424477 0.382775
149 0.519341 0.409616 0.0176761 0.388209
150 0.576829 0.417307 0.0831152 0.397891
151 0.63414 0.426309 0.152601 0.413752
152 0.690495 0.437792 0.22483 0.43735
153 0.745374 0.452576 0.298327 0.469564
154 0.798411 0.470943 0.371256 0.510179
155 0.849044 0.491966 0.441273 0.557448
156 0.896085 0.513584 0.505511 0.607786
157 0.9375 0.533347 0.560737 0.655869
158 0.970564 0.548541 0.603675 0.695265
159 0.992377 0.555316 0.631391 0.7196
160 1.00057 0.552146 0.641655 0.723967
161 0.993897 0.538022 0.633209 0.706188
162 0.972642 0.513808 0.605896 0.667503
163 0.938606 0.48307 0.560662 0.612494
164 0.894899 0.450317 0.499452 0.548236
165 0.84549 0.419233 0.425023 0.482917
166 0.794643 0.392969 0.340713 0.424291
167 0.746275 0.37364 0.250197 0.378345
168 0.70337 0.36164 0.157261 0.348438
169 0.667573 0.356454 0.0656121 0.33501
170 0.639072 0.356414 -0.0212675 0.335807
171 0.616776 0.359109 -0.100243 0.346501
172 0.598723 0.361793 -0.168629 0.361566
173 0.582603 0.36176 -0.224277 0.375268
174 0.566284 0.356963 -0.26564 0.382621
175 0.548249 0.346227 -0.291818 0.380161
176 0.527868 0.32939 -0.302569 0.366434
177 0.505493 0.307519 -0.298295 0.342136
178 0.482367 0.282706 -0.279997 0.309903
179 0.460383 0.257708 -0.249224 0.273814
180 0.441754 0.235181 -0.207998 0.238696
181 0.428636 0.217748 -0.158737 0.209336
182 0.42278 0.207523 -0.104161 0.189718
183 0.425252 0.20572 -0.0471872 0.182408
184 0.436271 0.212755 0.00918606 0.188167
185 0.455183 0.228044 0.0620077 0.20587
186 0.480585 0.250113 0.108507 0.232744
187 0.510566 0.27667 0.146223 0.26488
188 0.543028 0.30509 0.173127 0.297943
189 0.576028 0.332801 0.18772 0.327927
190 0.608073 0.357483 0.189117 0.351834
191 0.638318 0.377573 0.177085 0.368142
192 0.66662 0.392506 0.152067 0.376972
193 0.693449 0.402692 0.115153 0.379946
194 0.719675 0.409188 0.0680221 0.379747
195 0.746269 0.413499 0.0128499 0.379502
196 0.774001 0.417202 -0.0478252 0.382106
197 0.803186 0.421638 -0.111252 0.389632
198 0.833544 0.427674 -0.174632 0.402952
199 0.864185 0.435633 -0.235279 0.421625
200 0.893721 0.445099 -0.290771 0.444062
201 0.920468 0.455451 -0.339067 0.467899
202 0.942684 0.46564 -0.378608 0.490499
203 0.958803 0.47446 -0.40837 0.509446
204 0.967632 0.480781 -0.427908 0.522964
205 0.968471 0.484295 -0.437361 0.530163
206 0.961155 0.485407 -0.437424 0.531093
207 0.946017 0.484396 -0.429301 0.526606
208 0.923762 0.481527 -0.414603 0.51807
209 0.895303 0.477286 -0.395213 0.507024
210 0.861558 0.472189 -0.373105 0.494844
211 0.823281 0.46645 -0.350126 0.482525
212 0.780942 0.459935 -0.327779 0.470588
213 0.734717 0.452509 -0.307028 0.459129
214 0.684569 0.444073 -0.288181 0.447937
215 0.630428 0.434594 -0.270912 0.436631
216 0.572394 0.424112 -0.254413 0.424782
217 0.510896 0.412723 -0.237668 0.412029
218 0.446752 0.400869 -0.219762 0.398179
219 0.381114 0.388694 -0.200118 0.383287
220 0.315335 0.376495 -0.178641 0.367676
221 0.250807 0.364624 -0.155718 0.351869
222 0.188834 0.353437 -0.132135 0.336473
223 0.130545 0.343231 -0.108948 0.322046
224 0.0768608 0.334212 -0.0873289 0.309
225 0.028506 0.32644 -0.0684427 0.29757
226 -0.0139651 0.31986 -0.0533317 0.287848
227 -0.0501289 0.314426 -0.0428303 0.279853
228 -0.07966 0.310112 -0.0374949 0.273631
229 -0.102311 0.306932 -0.0375502 0.269317
230 -0.117911 0.304969 -0.0428495 0.26716
231 -0.126383 0.304455 -0.0528564 0.267478
232 -0.127778 0.305693 -0.066652 0.270544
233 -0.122307 0.308878 -0.0829778 0.27644
234 -0.110373 0.313909 -0.100317 0.28491
235 -0.0925699 0.320311 -0.117013 0.295285
236 -0.0696507 0.327421 -0.131409 0.306521
237 -0.0424616 0.334443 -0.142 0.317346
238 -0.0118563 0.340532 -0.14757 0.326504
239 0.0213887 0.345027 -0.147294 0.333015
240 0.0566345 0.347581 -0.140814 0.336369
241 0.0933979 0.348207 -0.128259 0.336614
242 0.13133 0.347174 -0.110228 0.334288
243 0.17016 0.344927 -0.0877166 0.330241
244 0.209637 0.341904 -0.0620184 0.325392
245 0.249469 0.338433 -0.0345933 0.320497
246 0.289287 0.334674 -0.00693762 0.316
247 0.328645 0.33067 0.0195287 0.311988
248 0.367034 0.326352 0.0435434 0.308241
249 0.403938 0.321581 0.0640471 0.304345
250 0.438892 0.316195 0.0801994 0.299824
251 0.471531 0.310069 0.0913778 0.294264
252 0.501627 0.303178 0.0971707 0.287429
253 0.529083 0.295618 0.0973754 0.279339
254 0.553914 0.287677 0.0920051 0.270339
255 0.576195 0.279829 0.0813089 0.261115
256 0.596027 0.272714 0.0657981 0.252676
257 0.613493 0.267086 0.0462727 0.246268
258 0.628641 0.263772 0.0238334 0.243208
259 0.64147 0.2638 -0.000136306 0.244678
260 0.651938 0.268328 -0.0240307 0.251493
261 0.659955 0.278427 -0.0461293 0.263935
262 0.665399 0.294784 -0.0647449 0.281712
263 0.668124 0.317573 -0.0783917 0.304077
264 0.667986 0.346445 -0.0859476 0.330065
265 0.664867 0.380628 -0.0867856 0.358773
266 0.658708 0.419125 -0.0808526 0.389543
267 0.649508 0.460903 -0.0686859 0.422014
268 0.637308 0.505 -0.0513634 0.455993
269 0.622148 0.550344 -0.0303937 0.491237
270 0.604027 0.595644 -0.0075633 0.527218
271 0.582882 0.639327 0.0152393 0.562981
272 0.558611 0.679712 0.0361961 0.597153
273 0.531132 0.715188 0.0537092 0.628087
274 0.500477 0.744208 0.0665106 0.654103
275 0.466879 0.765466 0.0737273 0.673755
276 0.43084 0.778052 0.0749018 0.686039
277 0.393149 0.781563 0.0699737 0.690524
278 0.354851 0.776182 0.0592336 0.687367
279 0.317175 0.762593 0.0432587 0.677249
280 0.281436 0.741881 0.0228432 0.661246
281 0.248923 0.715384 -0.00107156 0.640667
282 0.220803 0.68455 -0.0274575 0.616901
283 0.198047 0.650847 -0.055251 0.591277
284 0.18138 0.615641 -0.0833918 0.564951
285 0.171269 0.580094 -0.110851 0.538835
286 0.167932 0.5451 -0.136646 0.513555
287 0.171366 0.51141 -0.159851 0.489448
288 0.181391 0.479552 -0.179594 0.466593
289 0.197688 0.44976 -0.195053 0.444869
290 0.219852 0.422422 -0.205445 0.424037
291 0.247425 0.397661 -0.210026 0.403846
292 0.279943 0.375775 -0.20809 0.384147
