t PE VE R R2
1 0.00631924 0.438085 6.35082e-15 0.394314
2 0.0434237 0.456573 7.35349e-15 0.408803
3 0.0919595 0.471433 8.21912e-15 0.420454
4 0.151536 0.481617 9.08128e-15 0.428492
5 0.221638 0.486377 9.76476e-15 0.432387
6 0.30156 0.48525 1.0273e-14 0.431804
7 0.390344 0.478042 1.06013e-14 0.426562
8 0.486732 0.46481 1.06113e-14 0.416622
9 0.589131 0.445857 1.06486e-14 0.402079
10 0.695616 0.421713 1.04161e-14 0.383162
11 0.80396 0.393135 9.91828e-15 0.360234
12 0.911701 0.361065 9.1949e-15 0.333793
13 1.01623 0.326595 8.22779e-15 0.304465
14 1.11491 0.290918 7.03777e-15 0.272996
15 1.20515 0.255271 5.74887e-15 0.240241
16 1.28456 0.220863 4.0818e-15 0.207148
17 1.35103 0.18882 2.328e-15 0.174744
18 1.40292 0.160131 3.62557e-16 0.144109
19 1.43918 0.135583 -1.75554e-15 0.116343
20 1.45951 0.115749 -4.01415e-15 0.0925278
21 1.46431 0.100993 -6.34909e-15 0.0736865
22 1.45454 0.0914522 -8.82974e-15 0.0607351
23 1.43151 0.087112 -1.13329e-14 0.0544351
24 1.39669 0.0878625 -1.37921e-14 0.0553402
25 1.35155 0.0938794 -1.62417e-14 0.0637435
26 1.29756 0.105669 -1.85378e-14 0.079632
27 1.23613 0.123744 -2.06792e-14 0.10266
28 1.16863 0.14832 -2.26637e-14 0.132152
29 1.09632 0.179183 -2.43356e-14 0.167136
30 1.02029 0.215726 -2.56791e-14 0.206408
31 0.941391 0.256979 -2.67598e-14 0.24861
32 0.860243 0.30168 -2.74347e-14 0.292318
33 0.777239 0.348361 -2.7759e-14 0.336113
34 0.692652 0.395444 -2.76255e-14 0.378645
35 0.606736 0.441335 -2.70513e-14 0.418673
36 0.519824 0.484502 -2.60104e-14 0.455101
37 0.432391 0.523535 -2.47059e-14 0.486985
38 0.345076 0.55718 -2.29729e-14 0.513555
39 0.258661 0.584376 -2.09069e-14 0.53422
40 0.174026 0.604289 -1.84245e-14 0.548574
41 0.0921009 0.616346 -1.559e-14 0.556416
42 0.0138185 0.620264 -1.23356e-14 0.557748
43 -0.0599092 0.616084 -8.88352e-15 0.552795
44 -0.128207 0.604199 -5.23366e-15 0.542006
45 -0.190239 0.585347 -1.39645e-15 0.526058
46 -0.245213 0.56067 2.80158e-15 0.505846
47 -0.29238 0.531657 6.93889e-15 0.482466
48 -0.331048 0.500033 1.12089e-14 0.457179
49 -0.360595 0.467675 1.56281e-14 0.431357
50 -0.380491 0.436512 1.98569e-14 0.406415
51 -0.390323 0.408394 2.40133e-14 0.38373
52 -0.38982 0.385036 2.80829e-14 0.364561
53 -0.378872 0.367889 3.18395e-14 0.349977
54 -0.357542 0.358019 3.53667e-14 0.340795
55 -0.326066 0.356085 3.8451e-14 0.337557
56 -0.284851 0.36239 4.10869e-14 0.340519
57 -0.234461 0.376888 4.3238e-14 0.349673
58 -0.175606 0.399175 4.47819e-14 0.364772
59 -0.109131 0.428483 4.57759e-14 0.385369
60 -0.0360048 0.463791 4.61454e-14 0.410849
61 0.0426954 0.503925 4.5814e-14 0.440454
62 0.125821 0.547524 4.47108e-14 0.473304
63 0.212203 0.593059 4.2872e-14 0.508405
64 0.30072 0.638959 4.02976e-14 0.544665
65 0.390351 0.683721 3.67692e-14 0.5809
66 0.480182 0.725928 3.25365e-14 0.615856
67 0.569333 0.764123 2.7596e-14 0.648234
68 0.656801 0.796755 2.15244e-14 0.676722
69 0.74125 0.822246 1.46445e-14 0.700034
70 0.8208 0.839077 6.75501e-15 0.716942
71 0.892941 0.845879 -1.88391e-15 0.726311
72 0.954712 0.841506 -1.17163e-14 0.727112
73 1.00322 0.82505 -2.24733e-14 0.718433
74 1.03636 0.795867 -3.43892e-14 0.699498
75 1.05337 0.753817 -4.72036e-14 0.669754
76 1.05488 0.699424 -6.10154e-14 0.629077
77 1.04251 0.634187 -7.58178e-14 0.578068
78 1.0184 0.560979 -9.17443e-14 0.518413
79 0.984881 0.484218 -1.08237e-13 0.453154
80 0.944366 0.409576 -1.2544e-13 0.386755
81 0.899308 0.343245 -1.43116e-13 0.324778
82 0.852065 0.290688 -1.61202e-13 0.273091
83 0.804647 0.255563 -1.7923e-13 0.236727
84 0.758468 0.23916 -1.97098e-13 0.218781
85 0.714231 0.241293 -2.14398e-13 0.219797
86 0.672037 0.26019 -2.30835e-13 0.2379
87 0.631654 0.292892 -2.46054e-13 0.269538
88 0.592831 0.335865 -2.59757e-13 0.310427
89 0.555516 0.385318 -2.71623e-13 0.356341
90 0.519924 0.437619 -2.81329e-13 0.40357
91 0.486497 0.489505 -2.88557e-13 0.44909
92 0.45579 0.538098 -2.93019e-13 0.490545
93 0.428363 0.580942 -2.94582e-13 0.526156
94 0.404696 0.616038 -2.93149e-13 0.554619
95 0.385154 0.641856 -2.88216e-13 0.575025
