n t PE VE R R2 BS
9000 0 6.51071 6.88533 -0.00222631 2.84869 0.274348
19000 3.2e+06 7.74364 7.7379 -0.00391399 3.28109 0.268622
29000 3.2e+06 7.8463 7.47009 0.00334777 3.28681 0.249722
39000 3.2e+06 7.65387 7.58016 0.00634709 3.2492 0.272929
49000 3.2e+06 7.83625 7.56881 -0.00558091 3.29054 0.252789
59000 3.2e+06 7.58806 7.39986 0.00789657 3.22148 0.262866
69000 3.2e+06 7.74349 7.46177 0.00636589 3.26546 0.261384
79000 3.2e+06 7.74203 7.65648 -0.0020307 3.29078 0.266687
89000 3.2e+06 7.86295 7.85275 -0.000864616 3.29515 0.279296
99000 3.2e+06 7.93344 7.62121 0.00470596 3.29051 0.25678
109000 3.19e+06 7.63869 7.28284 -0.00216156 3.23432 0.252206
119000 3.2e+06 7.83352 7.79111 -0.00949349 3.29834 0.275185
129000 3.2e+06 7.59686 8.08584 -0.00367588 3.25615 0.298176
139000 3.2e+06 7.96974 7.86802 0.00237493 3.31823 0.269557
149000 3.2e+06 8.06923 7.85181 0.000771316 3.34305 0.259334
159000 3.2e+06 7.99302 7.75562 -0.00164314 3.32591 0.262312
169000 3.2e+06 7.69491 7.57881 0.00554853 3.27174 0.267051
179000 3.2e+06 7.71534 7.81082 0.00074556 3.27144 0.281424
189000 3.19e+06 7.9146 7.8144 -0.00468784 3.31036 0.270993
199000 3.2e+06 7.80598 8.06324 -0.000655323 3.3065 0.286591
209000 3.2e+06 7.94847 7.73374 0.00422867 3.30972 0.263357
219000 3.2e+06 7.74216 7.55001 0.000414081 3.25739 0.263729
229000 3.2e+06 7.81734 7.84917 -0.00502155 3.2722 0.281724
239000 3.2e+06 7.99084 7.47319 0.0022583 3.31981 0.245782
249000 3.19e+06 7.63065 8.00758 0.00108185 3.26368 0.292129
259000 3.2e+06 7.76805 7.83194 -0.00464053 3.28523 0.273703
269000 3.2e+06 7.93867 7.80087 -0.00119964 3.31395 0.268167
279000 3.2e+06 7.86044 7.92753 -0.00228783 3.30713 0.278079
289000 3.2e+06 7.88228 7.70949 -0.0105294 3.29604 0.264274
299000 3.2e+06 7.806 7.92134 -0.00263417 3.28932 0.285662
309000 3.2e+06 7.79403 7.70385 -0.000213371 3.29622 0.269729
319000 3.19e+06 8.05286 7.7141 -0.000994485 3.32283 0.25652
329000 3.2e+06 7.79462 8.13064 0.0073461 3.31293 0.289766
339000 3.2e+06 7.8885 8.08077 -0.00437799 3.30765 0.286153
349000 3.2e+06 7.79931 7.74376 0.00278932 3.28286 0.2685
359000 3.2e+06 7.66814 7.755 -0.00287629 3.25158 0.28196
369000 3.2e+06 7.518 7.28489 -0.00187606 3.21688 0.261515
379000 3.2e+06 7.99685 7.78744 0.00597422 3.32671 0.265462
389000 3.2e+06 7.80387 7.6237 0.000558031 3.27973 0.26258
