n t PE VE R R2 BS
0 0 0.00220929 0.000185768 0.000365494 0.000199919 0.000230062
1000 1.17e+06 0.962204 0.398304 -0.0475661 0.421066 0.426289
2000 1.17e+06 0.86655 0.50704 0.224706 0.539963 0.497505
3000 1.17e+06 0.48 0.506345 0.042743 0.524103 0.481774
4000 1.17e+06 0.540396 0.431453 0.218094 0.478076 0.41487
5000 1.16e+06 0.505486 0.607712 0.321241 0.721884 0.462529
6000 1.17e+06 0.542751 0.600693 0.0765684 0.630532 0.510465
7000 1.17e+06 0.612324 0.470413 0.183535 0.443863 0.463548
8000 1.17e+06 0.628075 0.435387 -0.0727082 0.433464 0.476786
9000 1.16e+06 0.336458 0.542308 0.175081 0.557151 0.507924
10000 1.17e+06 0.407131 0.472759 0.0529968 0.453989 0.454062
11000 1.16e+06 0.515433 0.517681 0.0799039 0.500456 0.514956
12000 1.17e+06 0.591184 0.414527 -0.0496321 0.435515 0.43886
13000 1.17e+06 0.372124 0.545092 0.286134 0.607457 0.502105
14000 1.16e+06 0.714414 0.53542 -0.0584018 0.53603 0.514302
15000 1.17e+06 0.557357 0.345151 0.0411515 0.301936 0.433826
16000 1.17e+06 0.530792 0.386579 -0.032954 0.385624 0.433424
17000 1.17e+06 0.402746 0.520337 -0.00307329 0.501363 0.508511
18000 1.16e+06 0.582929 0.407225 -0.124761 0.420079 0.437453
19000 1.17e+06 0.447421 0.479676 -0.158556 0.486281 0.495052
20000 1.17e+06 0.432789 0.461613 0.114027 0.453621 0.480874
21000 1.17e+06 0.76578 0.429948 -0.00481471 0.43508 0.44027
22000 1.17e+06 0.48092 0.488791 -0.109295 0.486372 0.469693
23000 1.16e+06 0.624095 0.361 -0.111187 0.373468 0.389054
24000 1.17e+06 0.492092 0.375928 -0.113414 0.388669 0.431173
25000 1.17e+06 0.487076 0.393491 -0.0122342 0.390947 0.453435
26000 1.17e+06 0.590886 0.470321 -0.0487129 0.479396 0.459815
27000 1.17e+06 0.493285 0.389819 -0.0795258 0.388523 0.423343
28000 1.16e+06 0.665069 0.431811 0.106247 0.433021 0.44746
29000 1.17e+06 0.59547 0.473214 -0.0453266 0.447942 0.465737
30000 1.17e+06 0.375555 0.611325 0.0352761 0.565184 0.567552
31000 1.16e+06 0.464076 0.569444 0.191367 0.576141 0.517106
32000 1.17e+06 0.354451 0.458767 -0.0356643 0.441201 0.490765
33000 1.17e+06 0.341264 0.453527 0.139252 0.40683 0.474537
34000 1.16e+06 0.441673 0.491158 -0.0175806 0.504443 0.472253
35000 1.17e+06 0.565882 0.552426 0.216048 0.58072 0.47838
36000 1.17e+06 0.267316 0.499178 0.227514 0.545519 0.471922
37000 1.17e+06 0.177037 0.543957 0.16644 0.570133 0.474357
38000 1.17e+06 0.709943 0.526439 0.0288951 0.522037 0.502114
39000 1.16e+06 0.78662 0.460556 0.0987721 0.4733 0.453444
40000 1.17e+06 0.312082 0.387089 0.157345 0.427617 0.426219
41000 1.17e+06 0.366085 0.409662 0.0395549 0.407164 0.445615
42000 1.16e+06 0.685955 0.529873 0.0830976 0.518104 0.507991
43000 1.17e+06 0.248623 0.593716 0.301805 0.637793 0.469261
44000 1.17e+06 0.305233 0.614656 0.0351933 0.627864 0.525969
45000 1.17e+06 0.875575 0.431008 0.100729 0.410546 0.475067
46000 1.17e+06 0.34247 0.517031 -0.133344 0.473652 0.51638
47000 1.16e+06 0.683599 0.51066 0.0765533 0.521993 0.510549
48000 1.17e+06 0.626669 0.497358 -0.331643 0.560598 0.440758
49000 1.17e+06 0.460948 0.529751 -0.116539 0.551714 0.48983
50000 1.17e+06 0.583679 0.692438 -0.47927 0.864172 0.489432
51000 1.16e+06 0.423283 0.534709 -0.0548338 0.519385 0.531993
52000 1.17e+06 0.333875 0.451158 -0.0765978 0.418843 0.472689
53000 1.17e+06 0.628857 0.560954 0.215234 0.62365 0.514313
54000 1.17e+06 0.24195 0.667828 0.174956 0.699963 0.519858
55000 1.16e+06 0.72757 0.578165 0.351975 0.679021 0.491107
56000 1.17e+06 0.550019 0.502483 -0.0215045 0.496079 0.512201
57000 1.17e+06 0.7562 0.416828 0.143293 0.434798 0.431246
58000 1.17e+06 0.220865 0.431584 0.0568268 0.428304 0.466456
59000 1.17e+06 0.4903 0.556548 -0.250148 0.554441 0.501486
60000 1.17e+06 0.494314 0.523267 -0.0121756 0.51255 0.53043
61000 1.16e+06 0.618135 0.449175 -0.138922 0.464696 0.452249
62000 1.17e+06 0.463524 0.50288 -0.0213446 0.501075 0.494805
63000 1.17e+06 0.55395 0.588328 0.105357 0.608474 0.496522
64000 1.17e+06 0.494076 0.348532 -0.118585 0.350829 0.397741
65000 1.16e+06 0.602565 0.402018 0.0742014 0.408464 0.407324
66000 1.17e+06 0.473561 0.439796 -0.059487 0.444113 0.465182
67000 1.17e+06 0.642218 0.587195 -0.305054 0.624711 0.49038
68000 1.17e+06 0.312281 0.513386 0.0121708 0.515275 0.487419
69000 1.17e+06 0.512809 0.373604 -0.119171 0.351412 0.425139
70000 1.16e+06 0.536599 0.49908 0.0668094 0.492216 0.520813
71000 1.17e+06 0.523099 0.462827 -0.00856442 0.488203 0.464414
72000 1.17e+06 0.312405 0.430283 -0.166163 0.455123 0.448821
73000 1.16e+06 0.466127 0.551391 0.0307176 0.513495 0.505082
74000 1.17e+06 0.463936 0.339689 -0.124832 0.353801 0.391479
75000 1.17e+06 0.579924 0.431723 -0.0911274 0.428046 0.455048
76000 1.17e+06 0.324677 0.518447 0.112296 0.4802 0.462909
77000 1.16e+06 0.442193 0.43905 0.0237407 0.425625 0.444894
78000 1.17e+06 0.519266 0.487904 0.284482 0.516107 0.443058
79000 1.17e+06 0.645076 0.506267 -0.06482 0.492855 0.483009
80000 1.16e+06 0.426883 0.474257 -0.140184 0.513728 0.475958
81000 1.17e+06 0.5265 0.538551 0.0055933 0.522945 0.533766
82000 1.16e+06 0.56478 0.48413 -0.1429 0.486334 0.488458
83000 1.17e+06 0.470878 0.379577 0.228446 0.389545 0.411844
84000 1.17e+06 0.50885 0.385825 -0.0558687 0.367865 0.447654
85000 1.17e+06 0.476194 0.522471 -0.00387472 0.487502 0.492132
86000 1.17e+06 0.716768 0.582567 -0.2799 0.623957 0.475571
87000 1.16e+06 0.690993 0.474942 -0.128092 0.47766 0.472075
88000 1.17e+06 0.526596 0.501796 0.0347382 0.463041 0.48056
89000 1.17e+06 0.622061 0.432048 -0.254385 0.460636 0.443854
90000 1.17e+06 0.58982 0.431286 0.0303268 0.414233 0.455774
91000 1.17e+06 0.464545 0.504365 -0.0860054 0.452511 0.472408
92000 1.17e+06 0.570445 0.548623 0.154103 0.573243 0.510319
93000 1.17e+06 0.647505 0.431329 0.0745097 0.432773 0.42238
94000 1.16e+06 0.752772 0.522177 -0.374033 0.606648 0.439819
95000 1.17e+06 0.587199 0.487875 -0.0300926 0.496528 0.47581
96000 1.17e+06 0.517667 0.475266 0.149056 0.500436 0.467887
97000 1.17e+06 0.580503 0.62494 -0.106291 0.62939 0.547416
98000 1.17e+06 0.47475 0.50146 -0.0260836 0.47287 0.468622
99000 1.16e+06 0.753637 0.383868 -0.0485001 0.37932 0.435588
