n t PE VE R R2 BS
9000 0 2.57093 2.57093 -0.00986557 2.28931 0
19000 70000 2.70425 2.70425 -0.0962794 2.50309 0
29000 80000 2.76386 2.76386 0.00630241 2.51271 0
39000 70000 2.79414 2.79414 -0.0303918 2.5335 0
49000 80000 2.83726 2.83726 0.0227981 2.52891 0
59000 80000 2.75087 2.75087 0.01622 2.50769 0
69000 70000 2.60884 2.60884 -0.0034644 2.47274 0
79000 80000 2.68484 2.68484 -0.00912011 2.49888 0
89000 70000 2.82026 2.82026 -0.0226564 2.53741 0
99000 80000 2.80853 2.80853 0.0717786 2.52808 0
109000 70000 2.79848 2.79848 -0.021925 2.52515 0
119000 80000 2.74833 2.74833 0.0213478 2.51191 0
129000 70000 2.77955 2.77955 -0.0133841 2.52027 0
139000 80000 2.83788 2.83788 -0.0104389 2.53636 0
149000 80000 2.72607 2.72607 -0.0292093 2.50107 0
159000 70000 2.70755 2.70755 0.0245086 2.50024 0
169000 80000 2.70751 2.70751 -0.0448949 2.49968 0
179000 70000 2.79861 2.79861 -0.0267163 2.52084 0
189000 80000 2.79487 2.79487 0.076884 2.52708 0
199000 70000 2.64762 2.64762 0.014446 2.48161 0
209000 80000 2.69009 2.69009 -0.0149087 2.50066 0
219000 70000 2.71534 2.71534 0.00453095 2.5067 0
229000 80000 2.68355 2.68355 -0.0291578 2.49696 0
239000 80000 2.70221 2.70221 0.0306947 2.49745 0
249000 70000 2.77186 2.77186 0.00645159 2.51818 0
259000 80000 2.7804 2.7804 0.00762657 2.53111 0
269000 70000 2.79178 2.79178 -0.0165866 2.52735 0
279000 80000 2.65534 2.65534 -0.0014567 2.4905 0
289000 70000 2.72845 2.72845 0.0414395 2.51176 0
299000 80000 2.85363 2.85363 -0.0336255 2.54524 0
309000 70000 2.76556 2.76556 -0.030378 2.51467 0
319000 80000 2.82925 2.82925 0.00848235 2.53628 0
329000 70000 2.74704 2.74704 0.00562035 2.5166 0
339000 80000 2.7792 2.7792 -0.00726471 2.51991 0
349000 80000 2.71 2.71 0.0291792 2.49795 0
359000 70000 2.67445 2.67445 0.0103994 2.49278 0
369000 80000 2.77595 2.77595 0.000854962 2.52413 0
379000 70000 2.7478 2.7478 0.0100604 2.5124 0
389000 80000 2.77006 2.77006 -0.0122364 2.50971 0
