n t PE VE R R2 BS
9000 0 33.6514 56.2406 -0.0466928 9.67686 0.42591
19000 680000 37.829 63.0169 0.00316833 10.8414 0.470384
29000 680000 37.3484 62.2312 0.0297209 10.7481 0.468537
39000 680000 37.3833 62.2323 0.0218345 10.7706 0.472909
49000 690000 37.4548 61.7082 -0.00794925 10.7918 0.46871
59000 680000 37.1185 61.7433 -0.0249152 10.7432 0.471524
69000 680000 37.666 62.2652 -0.0124863 10.8043 0.469995
79000 680000 37.9447 62.4008 0.00967537 10.8228 0.464253
89000 690000 37.586 62.8474 0.0148096 10.8044 0.472909
99000 680000 37.6876 62.0591 0.00320545 10.8002 0.468234
109000 680000 37.5837 62.2405 -0.00592889 10.7857 0.467334
119000 680000 37.577 62.0315 -0.00196932 10.8128 0.472258
129000 690000 37.8909 62.4004 0.00352543 10.8089 0.465861
139000 680000 37.4955 61.4798 -0.00264924 10.7839 0.468792
149000 680000 37.499 62.6916 -0.0113555 10.8013 0.472929
159000 680000 37.7508 61.9292 -0.00565273 10.7978 0.465898
169000 690000 37.6395 62.431 0.0132417 10.8003 0.470094
179000 680000 37.3506 61.8127 0.0219631 10.7697 0.471917
189000 680000 37.739 61.7612 0.00364791 10.8192 0.467935
199000 680000 37.4011 61.9642 -0.0235359 10.7724 0.468612
209000 680000 37.4684 61.8404 -0.0266842 10.7689 0.470557
219000 690000 37.9271 62.7482 0.00139743 10.8518 0.472682
229000 680000 37.6333 62.8868 0.030354 10.7748 0.469104
239000 680000 37.4752 62.1146 0.0253589 10.7765 0.471807
249000 690000 37.5764 62.5263 -0.00802343 10.8161 0.46936
259000 680000 37.162 61.6959 -0.0313782 10.7251 0.469911
269000 680000 37.5599 62.262 -0.01932 10.796 0.469902
279000 680000 37.5491 62.5042 0.0126747 10.7972 0.470319
289000 690000 37.1578 61.5639 0.026849 10.7365 0.472611
299000 680000 37.6928 62.7955 0.0106276 10.8088 0.466693
309000 680000 37.7205 61.4788 -0.0126957 10.803 0.468142
319000 680000 37.2766 62.4428 -0.0170283 10.7758 0.472961
329000 690000 37.8556 61.7924 -0.00266855 10.8091 0.46827
339000 680000 37.5341 62.0167 0.00773353 10.7855 0.469238
349000 680000 37.6712 62.6371 0.00352965 10.8225 0.472395
359000 680000 37.8954 61.5745 -0.00239773 10.8025 0.462183
369000 690000 37.8272 62.7118 0.00185447 10.8219 0.46786
379000 680000 37.5145 63.1757 0.00948114 10.796 0.470284
389000 680000 37.8855 62.2514 0.00372731 10.8119 0.465676
399000 680000 37.4615 61.8104 -0.0136154 10.7866 0.469328
409000 690000 37.588 62.452 -0.0190205 10.7911 0.472131
419000 680000 37.7428 62.9036 -0.000427257 10.8167 0.466985
429000 680000 37.4866 62.4915 0.0240161 10.7764 0.472073
439000 680000 37.2903 62.0203 0.0234353 10.757 0.470506
449000 690000 37.5999 62.4397 -0.00614171 10.8119 0.468146
459000 680000 37.5629 61.7341 -0.0311583 10.7641 0.468064
469000 680000 37.5556 62.2245 -0.0217421 10.7934 0.470699
479000 680000 37.7427 62.6821 0.0127431 10.8307 0.470784
489000 690000 37.4558 62.4917 0.0330384 10.7536 0.470558
499000 680000 37.8383 62.7021 0.015891 10.827 0.472279
509000 680000 37.6245 62.4218 -0.0168424 10.8051 0.470987
519000 680000 37.4594 62.8868 -0.0281286 10.7643 0.474031
529000 690000 37.6628 62.4786 -0.00858609 10.8051 0.466249
539000 680000 37.5601 62.3417 0.016108 10.7899 0.469237
549000 680000 37.41 62.8716 0.0179764 10.7808 0.472704
559000 680000 37.7771 62.5688 0.00145045 10.8028 0.465356
569000 690000 37.484 61.6241 -0.00966984 10.7875 0.469575
579000 680000 37.6569 63.7533 -0.0051475 10.8162 0.471253
589000 680000 37.8721 61.9738 0.00271728 10.8045 0.467768
599000 680000 37.5237 61.973 -0.000580582 10.7982 0.46989
609000 690000 37.5951 62.2683 -0.00744186 10.8046 0.468854
619000 680000 37.8333 61.9317 -0.00198165 10.7977 0.467115
629000 680000 37.4889 61.9097 0.0126043 10.7956 0.473449
639000 680000 37.5374 61.8611 0.0160486 10.7889 0.468852
649000 690000 37.6862 62.6613 -0.00277891 10.806 0.466942
659000 680000 37.19 61.6981 -0.0241489 10.7497 0.471564
669000 680000 37.6232 62.0479 -0.0193188 10.7954 0.468946
679000 680000 37.7719 62.7658 0.0101429 10.8279 0.470281
689000 680000 37.4725 62.2355 0.0317317 10.7546 0.470787
699000 690000 37.5252 62.3626 0.0179722 10.7983 0.47257
709000 680000 37.5022 61.7298 -0.0173474 10.8005 0.469322
719000 680000 37.4683 62.2551 -0.0333114 10.7501 0.472963
