n t PE VE R R2 BS
9000 0 0.313725 0.299293 0.021616 0.326751 0.337766
19000 160000 0.323557 0.293584 -0.00602228 0.326591 0.374569
29000 170000 0.342253 0.305583 0.0153278 0.336842 0.381504
39000 160000 0.326107 0.343817 -0.013372 0.343081 0.448287
49000 170000 0.323099 0.303867 0.0144974 0.325695 0.378925
59000 160000 0.323279 0.262464 -0.014632 0.298296 0.321693
69000 170000 0.325254 0.316014 -0.048151 0.320017 0.379883
79000 160000 0.34352 0.380764 0.0321986 0.38321 0.487638
89000 170000 0.334044 0.356291 0.0151507 0.371749 0.44701
99000 160000 0.328584 0.315308 0.0254328 0.337441 0.383926
109000 170000 0.338797 0.318796 0.0255996 0.342874 0.359123
119000 160000 0.324069 0.317756 0.00622393 0.324696 0.414895
129000 170000 0.315623 0.306695 0.0120342 0.301946 0.432872
139000 160000 0.344812 0.356205 -0.0306267 0.371821 0.426978
149000 170000 0.317668 0.270443 -0.0108481 0.290672 0.347645
159000 160000 0.339395 0.332753 0.0302517 0.351504 0.418309
169000 170000 0.324782 0.291573 -0.00513979 0.306347 0.388418
179000 160000 0.332952 0.322484 0.0250061 0.347169 0.387054
189000 170000 0.315983 0.288365 0.0448858 0.309566 0.352943
199000 160000 0.339032 0.317101 -0.0242644 0.348905 0.367006
209000 170000 0.339568 0.337791 0.0303951 0.362332 0.407257
219000 160000 0.285452 0.287937 0.00157462 0.284018 0.405683
229000 170000 0.345425 0.265623 0.0370222 0.321755 0.306945
239000 160000 0.314398 0.326686 0.0171405 0.322636 0.420313
249000 160000 0.309481 0.261055 0.0108363 0.265753 0.334785
259000 170000 0.333677 0.274949 0.044615 0.316136 0.328702
269000 160000 0.319837 0.240934 0.00910501 0.281549 0.313237
279000 170000 0.352667 0.337516 -0.0285173 0.378622 0.399607
289000 160000 0.33864 0.321425 0.0117132 0.348961 0.374449
299000 170000 0.307735 0.307394 0.0110977 0.306518 0.378733
309000 160000 0.302868 0.302527 -0.0172561 0.295128 0.389221
319000 170000 0.328824 0.297008 0.0196111 0.31175 0.366025
329000 160000 0.319122 0.266358 -0.0266105 0.291593 0.335668
339000 170000 0.290174 0.274281 -0.0163794 0.260219 0.386017
349000 160000 0.335203 0.272918 0.0126312 0.31191 0.318092
359000 170000 0.41379 0.335113 -0.000487826 0.450011 0.282248
369000 160000 0.315374 0.302372 0.00117674 0.317374 0.386843
379000 170000 0.278787 0.338436 0.0108259 0.310805 0.429152
389000 160000 0.291871 0.278753 0.0239402 0.27843 0.382989
399000 170000 0.380527 0.29915 -0.0257837 0.392588 0.296093
409000 160000 0.369316 0.291866 -0.0156808 0.3706 0.296072
419000 170000 0.395737 0.310115 0.0308075 0.411396 0.288803
429000 160000 0.300977 0.280994 0.0174049 0.29441 0.373979
439000 170000 0.331803 0.276204 0.00504703 0.313501 0.335318
449000 160000 0.319532 0.287015 0.00313895 0.297503 0.378401
459000 160000 0.330144 0.322332 0.0169958 0.330867 0.397947
469000 170000 0.317887 0.325677 0.00736925 0.310321 0.428275
479000 160000 0.337512 0.386401 0.0304592 0.373732 0.463833
489000 170000 0.338054 0.308821 0.00012382 0.348676 0.366339
499000 160000 0.303759 0.238235 0.00663703 0.257747 0.307473
509000 170000 0.326523 0.265348 0.0173798 0.300101 0.350419
519000 160000 0.299856 0.317659 -0.0162675 0.313424 0.411054
529000 170000 0.390007 0.3102 0.00261617 0.404642 0.286319
539000 160000 0.428855 0.319672 -0.020606 0.462081 0.2268
