n t PE VE R R2 BS
0 0 0.101431 0.190173 0.0115128 0.0795761 0.0710941
10 1946 1.00924 1.88025 0.105334 0.790827 0.70705
20 1914 0.990734 1.79777 0.0875318 0.766352 0.691788
30 1919 0.961379 1.69535 0.0658663 0.7343 0.66916
40 1973 0.916603 1.5955 0.0418438 0.703289 0.646577
50 1921 0.882428 1.52159 0.00587258 0.680949 0.628404
60 1964 0.865481 1.47159 -0.0249125 0.667416 0.614471
70 1922 0.860131 1.45902 -0.0413103 0.668412 0.608695
80 1912 0.866705 1.43096 -0.054484 0.659453 0.601332
90 1929 0.866642 1.34879 -0.0702908 0.627604 0.582915
100 1911 0.877414 1.24729 -0.0898833 0.58863 0.563122
110 1931 0.890594 1.15756 -0.100087 0.555351 0.542174
120 1926 0.915931 1.09332 -0.101862 0.529854 0.525243
130 1929 0.962202 1.04136 -0.10909 0.508844 0.508295
140 1940 1.00312 1.00523 -0.128455 0.496785 0.508601
150 1911 1.03992 0.983661 -0.146325 0.493969 0.517657
160 1931 1.04376 0.954913 -0.161262 0.486981 0.52676
170 1918 1.038 0.937144 -0.1798 0.481263 0.530531
180 1931 1.03969 0.941049 -0.196388 0.481362 0.533704
190 1962 1.01625 0.949729 -0.204125 0.476086 0.533263
200 1914 0.991849 0.968472 -0.202198 0.471243 0.530045
210 1949 0.958001 0.980547 -0.187555 0.461667 0.532442
220 1924 0.913273 0.998967 -0.165769 0.455716 0.537698
230 1915 0.864325 1.03627 -0.131423 0.459365 0.54227
240 1950 0.829311 1.07666 -0.101322 0.469104 0.544833
250 1911 0.817832 1.1076 -0.0838501 0.480116 0.549611
260 1942 0.828146 1.11963 -0.0738681 0.486086 0.548023
270 1920 0.845031 1.09367 -0.0535676 0.476289 0.538222
280 1910 0.870275 1.04057 -0.029034 0.456186 0.528639
290 1935 0.883678 0.990843 0.0169655 0.43764 0.524671
300 1953 0.895326 0.98266 0.065149 0.436853 0.529995
310 1935 0.907206 1.00811 0.0939561 0.448906 0.541881
320 1920 0.892931 1.06449 0.0981774 0.470541 0.560113
330 1919 0.883007 1.14096 0.102046 0.499145 0.577582
340 1920 0.892206 1.21935 0.107915 0.528282 0.589899
350 1931 0.902656 1.26895 0.106111 0.546283 0.595738
360 1934 0.927561 1.30906 0.110314 0.56165 0.598906
370 1930 0.946031 1.3742 0.122495 0.587252 0.608003
380 1927 0.97678 1.44361 0.133755 0.613244 0.619196
390 1920 1.00788 1.51031 0.130338 0.638292 0.6307
400 1935 1.02773 1.55227 0.118887 0.654734 0.638072
410 1940 1.06839 1.58968 0.106592 0.66828 0.642661
420 1939 1.09788 1.61932 0.0847475 0.678091 0.648149
430 1921 1.10812 1.58594 0.0587362 0.665242 0.646965
440 1910 1.09068 1.49876 0.0273582 0.6318 0.633931
450 1961 1.07822 1.39803 -0.00220762 0.59335 0.615563
460 1948 1.09021 1.25587 -0.0394251 0.540036 0.587741
470 1931 1.0948 1.10916 -0.0796509 0.485421 0.552741
480 1924 1.09719 0.977823 -0.120394 0.437019 0.517147
490 1915 1.11689 0.868969 -0.157132 0.397073 0.479552
500 1922 1.14309 0.780396 -0.195431 0.366414 0.442447
510 1932 1.18932 0.720325 -0.236587 0.350817 0.411768
520 1919 1.23784 0.677228 -0.275682 0.345438 0.390198
530 1912 1.27331 0.646939 -0.311833 0.347345 0.377088
540 1921 1.32201 0.632653 -0.352432 0.359101 0.364834
550 1927 1.37504 0.63227 -0.393895 0.377001 0.35308
560 1930 1.45101 0.646307 -0.434461 0.400963 0.346088
570 1923 1.53381 0.666227 -0.477156 0.427152 0.344002
580 1921 1.60856 0.687707 -0.513369 0.450969 0.343009
590 1910 1.68583 0.713528 -0.545297 0.474731 0.341583
600 1934 1.74006 0.746911 -0.572197 0.501432 0.338946
610 1940 1.78169 0.779578 -0.589468 0.525158 0.333698
620 1924 1.8198 0.801751 -0.598367 0.541244 0.329159
630 1914 1.85323 0.840618 -0.607227 0.566991 0.334491
640 1924 1.89263 0.881883 -0.617405 0.596479 0.345261
650 1934 1.91982 0.909552 -0.615529 0.612784 0.358731
660 1923 1.92061 0.934011 -0.609745 0.624203 0.373226
670 1948 1.89422 0.959303 -0.591906 0.628531 0.395008
680 1931 1.86466 0.970923 -0.569011 0.623973 0.412366
690 1913 1.82958 0.973683 -0.548082 0.616543 0.424063
700 1918 1.79826 0.975794 -0.5357 0.612107 0.432881
710 1910 1.75662 0.975132 -0.521555 0.603771 0.438285
720 1933 1.69634 0.970087 -0.500101 0.589255 0.445744
730 1929 1.62933 0.973107 -0.479462 0.580795 0.452035
740 1911 1.56608 0.983546 -0.460545 0.580087 0.458596
750 1918 1.54023 0.997737 -0.44769 0.58934 0.466075
760 1931 1.54511 1.00948 -0.438729 0.604462 0.469812
770 1964 1.57729 1.01983 -0.427019 0.620972 0.471012
780 1940 1.62191 1.02449 -0.411008 0.633215 0.47192
790 1918 1.63367 1.03589 -0.39551 0.647111 0.478389
800 1921 1.63573 1.05522 -0.400353 0.671253 0.482164
810 1925 1.62112 1.07984 -0.40698 0.695721 0.487652
820 1943 1.58175 1.08785 -0.402784 0.705532 0.489412
830 2184 1.52814 1.08886 -0.398061 0.705765 0.489892
840 1914 1.47156 1.10608 -0.392415 0.712268 0.49381
850 1939 1.42737 1.11985 -0.384049 0.72158 0.49387
860 1933 1.37454 1.12045 -0.370475 0.7182 0.49147
870 1956 1.31241 1.12176 -0.348901 0.703441 0.49277
880 1910 1.27757 1.13733 -0.311138 0.688518 0.503013
890 1927 1.24213 1.14594 -0.273882 0.664755 0.525351
900 1914 1.1972 1.15183 -0.238528 0.636121 0.551085
910 1925 1.16193 1.1608 -0.210228 0.61153 0.572552
920 1935 1.1411 1.16948 -0.183585 0.589379 0.589815
930 1913 1.14498 1.17675 -0.154324 0.569347 0.597177
940 1935 1.15141 1.17583 -0.112181 0.546657 0.59614
950 1923 1.1542 1.16393 -0.0650526 0.522161 0.585689
960 1921 1.13634 1.14801 -0.024276 0.502028 0.572689
970 1980 1.10965 1.12888 0.0109685 0.487326 0.559217
980 1929 1.07243 1.11015 0.0404762 0.476287 0.545722
990 1912 1.0309 1.07795 0.0542956 0.462429 0.531943
1000 1909 0.959397 1.0433 0.0556872 0.450285 0.518352
1010 1933 0.867206 1.02105 0.0567801 0.446708 0.50746
1020 1928 0.786639 1.01326 0.061456 0.450033 0.501287
1030 1932 0.710118 1.00536 0.0684689 0.455098 0.499039
1040 1910 0.643511 0.960252 0.072027 0.444134 0.493974
1050 1910 0.581487 0.895318 0.0754639 0.421681 0.487678
1060 1939 0.530764 0.827708 0.0642867 0.394666 0.481201
1070 1953 0.512765 0.770689 0.0377056 0.36988 0.470809
1080 1928 0.50855 0.716769 0.00606387 0.345643 0.461082
1090 1915 0.518346 0.689893 -0.0276852 0.336184 0.458572
1100 1928 0.502322 0.695259 -0.0653089 0.341848 0.46774
1110 1921 0.481784 0.716504 -0.0988941 0.354486 0.479367
1120 1923 0.485003 0.749975 -0.142331 0.37237 0.489658
1130 1933 0.511392 0.796545 -0.19148 0.397121 0.497586
1140 1910 0.553284 0.844645 -0.234694 0.423459 0.50472
1150 1926 0.59271 0.881326 -0.262514 0.443908 0.50823
1160 1917 0.613463 0.893489 -0.275299 0.451148 0.504561
1170 1918 0.644398 0.884107 -0.279299 0.449096 0.498164
1180 1955 0.666112 0.873983 -0.280926 0.447942 0.49498
1190 1947 0.676142 0.845339 -0.270356 0.434569 0.487918
1200 1947 0.674486 0.816706 -0.253537 0.420091 0.481562
1210 1941 0.686995 0.793245 -0.24088 0.410826 0.473142
1220 1919 0.697352 0.767652 -0.216902 0.399632 0.462266
1230 1925 0.707787 0.750127 -0.190638 0.392109 0.456012
1240 1930 0.713421 0.741327 -0.171957 0.389046 0.45362
1250 1914 0.728298 0.739673 -0.161932 0.390428 0.452063
1260 1956 0.749353 0.720458 -0.159796 0.379078 0.447373
1270 1940 0.770119 0.691129 -0.168432 0.364 0.438883
1280 1926 0.795545 0.6591 -0.176929 0.344968 0.427368
1290 1913 0.812876 0.626069 -0.177456 0.32388 0.419361
1300 1923 0.836042 0.59772 -0.171884 0.305272 0.41564
1310 1929 0.83919 0.570662 -0.15998 0.286025 0.411614
1320 1909 0.834795 0.536395 -0.147303 0.262678 0.401543
1330 1924 0.839247 0.504185 -0.133319 0.240348 0.388943
1340 1922 0.831963 0.484533 -0.117376 0.225413 0.378671
1350 1911 0.808609 0.479025 -0.102312 0.218784 0.373402
1360 1934 0.788305 0.486458 -0.0943338 0.220704 0.367947
1370 1912 0.796509 0.491525 -0.100351 0.224213 0.364165
1380 1919 0.810631 0.499748 -0.109419 0.230873 0.362452
1390 1912 0.812169 0.501762 -0.10694 0.234878 0.360952
1400 1916 0.810077 0.499315 -0.0972172 0.235255 0.356279
1410 1935 0.81599 0.490804 -0.0839425 0.233121 0.354007
1420 1930 0.824644 0.488817 -0.0825596 0.235031 0.358854
1430 1924 0.835483 0.49283 -0.0844575 0.241882 0.362773
1440 1921 0.852655 0.513486 -0.091831 0.258784 0.365386
1450 1911 0.875635 0.546257 -0.10062 0.282956 0.368364
1460 1937 0.891616 0.586542 -0.10786 0.308923 0.373181
1470 1914 0.904662 0.636102 -0.127437 0.341033 0.382596
1480 1952 0.92097 0.685867 -0.149716 0.372481 0.393857
1490 1949 0.923128 0.722251 -0.160801 0.395402 0.403913
1500 1911 0.924094 0.759131 -0.173884 0.419795 0.411463
1510 1911 0.879946 0.814397 -0.182873 0.453671 0.422613
1520 1941 0.839317 0.872577 -0.185792 0.489794 0.436619
1530 1926 0.810327 0.907637 -0.189944 0.514646 0.449064
1540 1922 0.752134 0.912007 -0.185217 0.524986 0.454134
1550 1913 0.704959 0.921218 -0.180176 0.541967 0.456034
1560 1913 0.692858 0.936146 -0.179471 0.565173 0.458436
1570 1925 0.675899 0.946746 -0.186146 0.584455 0.458504
1580 1923 0.645667 0.967801 -0.189918 0.609203 0.456806
1590 1913 0.616841 0.981853 -0.184227 0.62655 0.45384
1600 1920 0.616996 0.976935 -0.175184 0.628867 0.445698
1610 1912 0.623174 0.966276 -0.174351 0.621473 0.437123
1620 1925 0.601059 0.94698 -0.178901 0.598398 0.43368
1630 1919 0.577279 0.934501 -0.193163 0.577005 0.436204
1640 1910 0.544001 0.914999 -0.196009 0.548976 0.438827
1650 1930 0.502208 0.898205 -0.199207 0.524713 0.438688
1660 1937 0.440935 0.902507 -0.208106 0.510562 0.444386
1670 1942 0.394449 0.909173 -0.212768 0.50238 0.454255
1680 1931 0.377376 0.9102 -0.208958 0.495564 0.460265
1690 1925 0.382082 0.902132 -0.203595 0.483294 0.464429
1700 1978 0.388459 0.878262 -0.193297 0.458764 0.466617
1710 1940 0.36157 0.845139 -0.180463 0.428583 0.468299
1720 1923 0.308128 0.801109 -0.150579 0.393896 0.465539
1730 1923 0.27304 0.749517 -0.106921 0.357282 0.459779
1740 1921 0.250592 0.694611 -0.0534328 0.322355 0.450152
1750 1930 0.226055 0.64989 0.000659043 0.296386 0.438282
1760 1924 0.219781 0.626634 0.0469964 0.285037 0.43082
1770 1931 0.232132 0.617908 0.0789492 0.28284 0.424454
1780 1920 0.272962 0.621518 0.106473 0.287623 0.419105
1790 1919 0.325524 0.646453 0.147666 0.304777 0.420433
1800 1910 0.379257 0.677235 0.194803 0.32845 0.420892
1810 1911 0.434358 0.706091 0.243671 0.354737 0.418296
1820 1924 0.489313 0.742403 0.293437 0.38711 0.419841
1830 1957 0.541998 0.800924 0.346047 0.431323 0.425034
1840 2310 0.600709 0.8647 0.400555 0.480127 0.430067
1850 1936 0.618278 0.932391 0.445793 0.52808 0.438174
1860 1911 0.626245 0.999008 0.480731 0.57219 0.448836
1870 1936 0.620141 1.05089 0.499648 0.603762 0.459193
1880 1931 0.607594 1.09247 0.504879 0.625116 0.469717
1890 1949 0.610121 1.13838 0.514817 0.652122 0.480609
1900 1918 0.617622 1.18733 0.516718 0.675554 0.49608
1910 1926 0.635753 1.25339 0.527069 0.709512 0.514282
1920 1919 0.649404 1.30259 0.53087 0.731792 0.529254
1930 2001 0.675121 1.34668 0.539374 0.754081 0.541077
1940 1934 0.733266 1.34177 0.54966 0.757484 0.539041
1950 1921 0.762008 1.30915 0.558636 0.750164 0.532981
1960 1910 0.767388 1.26464 0.562636 0.734873 0.525167
1970 1918 0.772732 1.20428 0.558179 0.705838 0.508972
1980 1925 0.786671 1.15338 0.540819 0.67312 0.49993
1990 1941 0.810386 1.10553 0.52958 0.644774 0.487694
2000 1923 0.851983 1.06508 0.525455 0.623765 0.477934
2010 1921 0.859457 1.0222 0.517546 0.600605 0.469166
2020 1930 0.829747 0.997295 0.490836 0.576945 0.468967
2030 1917 0.780412 0.978445 0.460836 0.555171 0.466227
2040 1936 0.730654 0.975694 0.432113 0.541334 0.468721
2050 1911 0.711837 0.973031 0.413091 0.530229 0.466483
2060 1917 0.703935 0.982619 0.409067 0.530112 0.460591
2070 1958 0.703058 0.984318 0.405489 0.527787 0.453159
2080 1921 0.710865 0.944569 0.381481 0.500801 0.440966
2090 1958 0.698482 0.893759 0.347548 0.468539 0.428156
2100 1914 0.683926 0.83917 0.298592 0.432874 0.418886
2110 1909 0.657302 0.797582 0.235686 0.404559 0.416303
2120 1921 0.624191 0.761949 0.175874 0.384976 0.41382
2130 1921 0.628708 0.741481 0.11859 0.375128 0.414318
2140 1927 0.697179 0.722709 0.0783067 0.372362 0.417948
2150 1912 0.773981 0.728156 0.0441822 0.381201 0.427105
2160 1909 0.822496 0.749674 0.0196961 0.398251 0.434533
2170 1909 0.830698 0.781595 -0.00508007 0.417496 0.444264
2180 1938 0.818534 0.816096 -0.027792 0.434755 0.457818
2190 1951 0.788675 0.852492 -0.0517608 0.448426 0.471888
2200 1913 0.75559 0.8941 -0.0705625 0.461162 0.484846
2210 1911 0.726499 0.948528 -0.0868163 0.478396 0.500048
2220 1910 0.696077 0.991989 -0.105214 0.490937 0.510349
2230 1942 0.667021 1.00719 -0.132787 0.495918 0.509389
2240 1951 0.62618 0.994721 -0.157674 0.493125 0.496888
2250 1912 0.610051 0.981233 -0.185047 0.49315 0.484882
2260 1909 0.631607 0.979523 -0.21752 0.497245 0.486285
2270 1936 0.663683 0.978561 -0.25711 0.501115 0.490704
2280 1949 0.704681 0.983411 -0.288043 0.503257 0.49306
2290 1953 0.722147 0.994746 -0.303371 0.503569 0.492675
2300 1922 0.704725 1.01614 -0.307324 0.506664 0.492254
2310 1950 0.693441 1.01411 -0.2941 0.496359 0.486906
2320 1929 0.701906 1.01571 -0.282515 0.49096 0.491691
2330 1933 0.700372 1.02612 -0.263155 0.487086 0.500304
2340 1929 0.69171 1.05623 -0.234456 0.490203 0.513273
2350 1911 0.678483 1.08716 -0.200047 0.494162 0.526188
2360 1938 0.689308 1.09637 -0.156585 0.49069 0.535339
2370 1929 0.713426 1.10515 -0.113449 0.490406 0.544855
2380 1938 0.74346 1.09777 -0.0701336 0.486349 0.550559
2390 1975 0.754557 1.09443 -0.0344232 0.48588 0.556177
